Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2018-12-10 18:00:00, 44.708938, -59.582886, 2018, 344, 18, 0, 2018, 321, 7, 0, 7.6, 8, 14.52, 254, 2, 43, -33.6, 4AB1202404A82702FCD5EAAEC3FFAB08BC5200
2018-12-10 17:00:00, 44.708938, -59.582886, 2018, 344, 17, 0, 2018, 321, 7, 0, 7.5, 9, 14.60, 254, 2, 36, -33.6, 4AB11023F4A82702FCD5EAAEC3FFA409BE5200
2018-12-10 16:00:00, 44.708938, -59.582886, 2018, 344, 16, 0, 2018, 321, 7, 0, 7.5, 11, 14.60, 254, 2, 46, -33.6, 4AB10023F4A82702FCD5EAAEC3FFAE0BBE5200
2018-12-10 15:00:00, 44.708938, -59.582886, 2018, 344, 15, 0, 2018, 321, 7, 0, 7.5, 19, 14.60, 254, 2, 39, -33.6, 4AB0F023F4A82702FCD5EAAEC3FFA713BE5200
2018-12-10 14:00:00, 44.708938, -59.582886, 2018, 344, 14, 0, 2018, 321, 7, 0, 7.6, 9, 14.60, 254, 2, 46, -33.6, 4AB0E02404A82702FCD5EAAEC3FFAE09BE5200
2018-12-10 13:00:00, 44.708938, -59.582886, 2018, 344, 13, 0, 2018, 321, 7, 0, 7.5, 12, 14.60, 254, 2, 45, -33.6, 4AB0D023F4A82702FCD5EAAEC3FFAD0CBE5200
2018-12-10 12:00:00, 44.708938, -59.582886, 2018, 344, 12, 0, 2018, 321, 7, 0, 7.5, 9, 14.60, 254, 2, 45, -33.6, 4AB0C023F4A82702FCD5EAAEC3FFAD09BE5200
2018-12-10 11:00:00, 44.708938, -59.582886, 2018, 344, 11, 0, 2018, 321, 7, 0, 7.6, 8, 14.60, 254, 2, 45, -33.6, 4AB0B02404A82702FCD5EAAEC3FFAD08BE5200
2018-12-10 10:00:00, 44.708938, -59.582886, 2018, 344, 10, 0, 2018, 321, 7, 0, 7.5, 7, 14.60, 254, 2, 45, -33.6, 4AB0A023F4A82702FCD5EAAEC3FFAD07BE5200
2018-12-10 09:00:00, 44.708938, -59.582886, 2018, 344, 9, 0, 2018, 321, 7, 0, 7.5, 11, 14.60, 254, 2, 44, -33.6, 4AB09023F4A82702FCD5EAAEC3FFAC0BBE5200
2018-12-10 08:00:00, 44.708938, -59.582886, 2018, 344, 8, 0, 2018, 321, 7, 0, 7.4, 10, 14.60, 254, 2, 40, -33.6, 4AB08023E4A82702FCD5EAAEC3FFA80ABE5200
2018-12-10 07:00:00, 44.708938, -59.582886, 2018, 344, 7, 0, 2018, 321, 7, 0, 7.3, 8, 14.60, 254, 2, 46, -33.6, 4AB07023D4A82702FCD5EAAEC3FFAE08BE5200
2018-12-10 06:00:00, 44.708938, -59.582886, 2018, 344, 6, 0, 2018, 321, 7, 0, 7.3, 22, 14.60, 254, 2, 47, -33.6, 4AB06023D4A82702FCD5EAAEC3FFAF16BE5200
2018-12-10 05:00:00, 44.708938, -59.582886, 2018, 344, 5, 0, 2018, 321, 7, 0, 7.2, 19, 14.60, 254, 2, 42, -33.6, 4AB05023C4A82702FCD5EAAEC3FFAA13BE5200
