Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2019-08-04 20:00:00, 44.822974, -61.521498, 2019, 216, 20, 0, 2019, 210, 17, 0, 19.7, 11, 14.20, 254, 2, 29, -33.6, 4DB1402B94DA5102FD7BAA82BCFF9D0BB45200
2019-08-04 19:00:00, 44.822974, -61.521498, 2019, 216, 19, 0, 2019, 210, 17, 0, 19.7, 10, 14.20, 254, 2, 37, -33.6, 4DB1302B94DA5102FD7BAA82BCFFA50AB45200
2019-08-04 18:00:00, 44.822974, -61.521498, 2019, 216, 18, 0, 2019, 210, 17, 0, 19.7, 19, 14.20, 254, 2, 37, -33.6, 4DB1202B94DA5102FD7BAA82BCFFA513B45200
2019-08-04 17:00:00, 44.822974, -61.521498, 2019, 216, 17, 0, 2019, 210, 17, 0, 19.7, 15, 14.20, 254, 2, 30, -33.6, 4DB1102B94DA5102FD7BAA82BCFF9E0FB45200
2019-08-04 16:00:00, 44.822974, -61.521498, 2019, 216, 16, 0, 2019, 210, 17, 0, 19.7, 11, 14.20, 254, 2, 37, -33.6, 4DB1002B94DA5102FD7BAA82BCFFA50BB45200
2019-08-04 15:00:00, 44.822974, -61.521498, 2019, 216, 15, 0, 2019, 210, 17, 0, 19.7, 15, 14.20, 254, 2, 43, -33.6, 4DB0F02B94DA5102FD7BAA82BCFFAB0FB45200
2019-08-04 14:00:00, 44.822974, -61.521498, 2019, 216, 14, 0, 2019, 210, 17, 0, 19.7, 19, 14.20, 254, 2, 43, -33.6, 4DB0E02B94DA5102FD7BAA82BCFFAB13B45200
2019-08-04 13:00:00, 44.822974, -61.521498, 2019, 216, 13, 0, 2019, 210, 17, 0, 19.6, 3, 14.20, 254, 2, 41, -33.6, 4DB0D02B84DA5102FD7BAA82BCFFA903B45200
2019-08-04 12:00:00, 44.822974, -61.521498, 2019, 216, 12, 0, 2019, 210, 17, 0, 19.6, 22, 14.20, 254, 2, 44, -33.6, 4DB0C02B84DA5102FD7BAA82BCFFAC16B45200
2019-08-04 11:00:00, 44.822974, -61.521498, 2019, 216, 11, 0, 2019, 210, 17, 0, 19.6, 10, 14.20, 254, 2, 34, -33.6, 4DB0B02B84DA5102FD7BAA82BCFFA20AB45200
2019-08-04 10:00:00, 44.822974, -61.521498, 2019, 216, 10, 0, 2019, 210, 17, 0, 19.6, 18, 14.20, 254, 2, 38, -33.6, 4DB0A02B84DA5102FD7BAA82BCFFA612B45200
2019-08-04 09:00:00, 44.822974, -61.521498, 2019, 216, 9, 0, 2019, 210, 17, 0, 19.6, 10, 14.20, 254, 2, 40, -33.6, 4DB0902B84DA5102FD7BAA82BCFFA80AB45200
2019-08-04 08:00:00, 44.822974, -61.521498, 2019, 216, 8, 0, 2019, 210, 17, 0, 19.6, 18, 14.20, 254, 2, 37, -33.6, 4DB0802B84DA5102FD7BAA82BCFFA512B45200
2019-08-04 07:00:00, 44.822974, -61.521498, 2019, 216, 7, 0, 2019, 210, 17, 0, 19.7, 14, 14.20, 254, 2, 33, -33.6, 4DB0702B94DA5102FD7BAA82BCFFA10EB45200
2019-08-04 06:00:00, 44.822974, -61.521498, 2019, 216, 6, 0, 2019, 210, 17, 0, 19.7, 14, 14.20, 254, 2, 40, -33.6, 4DB0602B94DA5102FD7BAA82BCFFA80EB45200
2019-08-04 05:00:00, 44.822974, -61.521498, 2019, 216, 5, 0, 2019, 210, 17, 0, 19.7, 14, 14.20, 254, 2, 45, -33.6, 4DB0502B94DA5102FD7BAA82BCFFAD0EB45200
2019-08-04 04:00:00, 44.822974, -61.521498, 2019, 216, 4, 0, 2019, 210, 17, 0, 19.7, 12, 14.20, 254, 2, 45, -33.6, 4DB0402B94DA5102FD7BAA82BCFFAD0CB45200
2019-08-04 03:00:00, 44.822974, -61.521498, 2019, 216, 3, 0, 2019, 210, 17, 0, 19.8, 12, 14.20, 254, 2, 31, -33.6, 4DB0302BA4DA5102FD7BAA82BCFF9F0CB45200
2019-08-04 02:00:00, 44.822974, -61.521498, 2019, 216, 2, 0, 2019, 210, 17, 0, 19.8, 17, 14.20, 254, 2, 47, -33.6, 4DB0202BA4DA5102FD7BAA82BCFFAF11B45200
2019-08-04 01:00:00, 44.822974, -61.521498, 2019, 216, 1, 0, 2019, 210, 17, 0, 19.9, 18, 14.20, 254, 2, 39, -33.6, 4DB0102BB4DA5102FD7BAA82BCFFA712B45200
2019-08-04 00:00:00, 44.822974, -61.521498, 2019, 216, 0, 0, 2019, 210, 17, 0, 19.9, 1, 14.20, 254, 2, 35, -33.6, 4DB0002BB4DA5102FD7BAA82BCFFA301B45200
2019-08-03 23:00:00, 44.822974, -61.521498, 2019, 215, 23, 0, 2019, 210, 17, 0, 19.9, 14, 14.20, 254, 2, 42, -33.6, 4DAF702BB4DA5102FD7BAA82BCFFAA0EB45200
2019-08-03 22:00:00, 44.822974, -61.521498, 2019, 215, 22, 0, 2019, 210, 17, 0, 20.0, 14, 14.20, 254, 2, 40, -33.6, 4DAF602BC4DA5102FD7BAA82BCFFA80EB45200
2019-08-03 21:00:00, 44.822974, -61.521498, 2019, 215, 21, 0, 2019, 210, 17, 0, 20.0, 8, 14.20, 254, 2, 37, -33.6, 4DAF502BC4DA5102FD7BAA82BCFFA508B45200
