Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2019-09-08 08:00:00, 44.273778, -60.502140, 2019, 251, 8, 0, 2019, 220, 5, 0, 14.2, 10, 13.88, 254, 2, 42, -33.0, 4DF6802824DB8502FA5D6A99E37FAA0AAC5500
2019-09-08 07:00:00, 44.273778, -60.502140, 2019, 251, 7, 0, 2019, 220, 5, 0, 14.1, 22, 13.88, 254, 2, 30, -33.0, 4DF6702814DB8502FA5D6A99E37F9E16AC5500
2019-09-08 06:00:00, 44.273778, -60.502140, 2019, 251, 6, 0, 2019, 220, 5, 0, 13.9, 15, 13.88, 254, 2, 36, -33.0, 4DF66027F4DB8502FA5D6A99E37FA40FAC5500
2019-09-08 05:00:00, 44.273778, -60.502140, 2019, 251, 5, 0, 2019, 220, 5, 0, 13.8, 11, 13.88, 254, 2, 42, -33.0, 4DF65027E4DB8502FA5D6A99E37FAA0BAC5500
2019-09-08 04:00:00, 44.273778, -60.502140, 2019, 251, 4, 0, 2019, 220, 5, 0, 13.8, 2, 13.88, 254, 2, 41, -33.0, 4DF64027E4DB8502FA5D6A99E37FA902AC5500
2019-09-08 03:00:00, 44.273778, -60.502140, 2019, 251, 3, 0, 2019, 220, 5, 0, 14.0, 13, 13.88, 254, 2, 40, -33.0, 4DF6302804DB8502FA5D6A99E37FA80DAC5500
2019-09-08 02:00:00, 44.273778, -60.502140, 2019, 251, 2, 0, 2019, 220, 5, 0, 14.1, 11, 13.88, 254, 2, 47, -33.0, 4DF6202814DB8502FA5D6A99E37FAF0BAC5500
2019-09-08 01:00:00, 44.273778, -60.502140, 2019, 251, 1, 0, 2019, 220, 5, 0, 14.3, 11, 13.88, 254, 2, 33, -33.0, 4DF6102834DB8502FA5D6A99E37FA10BAC5500
2019-09-08 00:00:00, 44.273778, -60.502140, 2019, 251, 0, 0, 2019, 220, 5, 0, 14.6, 9, 13.88, 254, 2, 43, -33.0, 4DF6002864DB8502FA5D6A99E37FAB09AC5500
2019-09-07 23:00:00, 44.273778, -60.502140, 2019, 250, 23, 0, 2019, 220, 5, 0, 15.2, 1, 13.88, 254, 2, 39, -33.0, 4DF57028C4DB8502FA5D6A99E37FA701AC5500
2019-09-07 22:00:00, 44.273778, -60.502140, 2019, 250, 22, 0, 2019, 220, 5, 0, 15.4, 12, 13.88, 254, 2, 34, -33.0, 4DF56028E4DB8502FA5D6A99E37FA20CAC5500
2019-09-07 21:00:00, 44.273778, -60.502140, 2019, 250, 21, 0, 2019, 220, 5, 0, 15.5, 11, 13.88, 254, 2, 41, -33.0, 4DF55028F4DB8502FA5D6A99E37FA90BAC5500
