Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2019-06-30 03:00:00, 44.788832, -59.757810, 2019, 181, 3, 0, 2019, 180, 17, 3, 11.9, 10, 14.28, 254, 3, 43, -33.6, 4D6A3026B4D6910EFD4A0AAACAFFEB0AB65200
2019-06-30 02:00:00, 44.788832, -59.757810, 2019, 181, 2, 0, 2019, 180, 17, 3, 12.1, 10, 14.28, 254, 3, 45, -33.6, 4D6A2026D4D6910EFD4A0AAACAFFED0AB65200
2019-06-30 01:00:00, 44.788832, -59.757810, 2019, 181, 1, 0, 2019, 180, 17, 3, 12.3, 7, 14.28, 254, 3, 45, -33.6, 4D6A1026F4D6910EFD4A0AAACAFFED07B65200
2019-06-30 00:00:00, 44.788832, -59.757810, 2019, 181, 0, 0, 2019, 180, 17, 3, 12.5, 10, 14.28, 254, 3, 46, -33.6, 4D6A002714D6910EFD4A0AAACAFFEE0AB65200
2019-06-29 23:00:00, 44.788832, -59.757810, 2019, 180, 23, 0, 2019, 180, 17, 3, 12.8, 11, 14.28, 254, 3, 45, -33.6, 4D69702744D6910EFD4A0AAACAFFED0BB65200
2019-06-29 22:00:00, 44.788832, -59.757810, 2019, 180, 22, 0, 2019, 180, 17, 3, 13.0, 8, 14.28, 254, 3, 44, -33.6, 4D69602764D6910EFD4A0AAACAFFEC08B65200
2019-06-29 21:00:00, 44.788832, -59.757810, 2019, 180, 21, 0, 2019, 180, 17, 3, 13.1, 10, 14.28, 254, 3, 42, -33.6, 4D69502774D6910EFD4A0AAACAFFEA0AB65200
2019-06-29 20:00:00, 44.788832, -59.757810, 2019, 180, 20, 0, 2019, 180, 17, 3, 13.2, 11, 14.28, 254, 3, 47, -33.6, 4D69402784D6910EFD4A0AAACAFFEF0BB65200
2019-06-29 19:00:00, 44.788832, -59.757810, 2019, 180, 19, 0, 2019, 180, 17, 3, 13.3, 7, 14.28, 254, 3, 43, -33.6, 4D69302794D6910EFD4A0AAACAFFEB07B65200
2019-06-29 18:00:00, 44.788832, -59.757810, 2019, 180, 18, 0, 2019, 180, 17, 3, 13.2, 14, 14.28, 254, 3, 45, -33.6, 4D69202784D6910EFD4A0AAACAFFED0EB65200
2019-06-29 17:00:00, 44.788832, -59.757810, 2019, 180, 17, 0, 2019, 180, 17, 3, 13.3, 11, 14.28, 176, 3, 47, -33.6, 4D69102794D6910EFD4A0AAACAD8EF0BB65200
2019-06-29 16:00:00, 44.802592, -59.763830, 2019, 180, 16, 0, 2019, 180, 8, 2, 13.2, 7, 14.28, 254, 2, 46, -33.6, 4D69002784D6880AFD5E0AAAA7FFAE07B65200
2019-06-29 15:00:00, 44.802592, -59.763830, 2019, 180, 15, 0, 2019, 180, 8, 2, 13.0, 13, 14.28, 254, 2, 45, -33.6, 4D68F02764D6880AFD5E0AAAA7FFAD0DB65200
2019-06-29 14:00:00, 44.802592, -59.763830, 2019, 180, 14, 0, 2019, 180, 8, 2, 12.8, 9, 14.28, 254, 2, 44, -33.6, 4D68E02744D6880AFD5E0AAAA7FFAC09B65200
2019-06-29 13:00:00, 44.802592, -59.763830, 2019, 180, 13, 0, 2019, 180, 8, 2, 12.7, 9, 14.28, 254, 2, 46, -33.6, 4D68D02734D6880AFD5E0AAAA7FFAE09B65200
2019-06-29 12:00:00, 44.802592, -59.763830, 2019, 180, 12, 0, 2019, 180, 8, 2, 12.6, 10, 14.28, 254, 2, 46, -33.6, 4D68C02724D6880AFD5E0AAAA7FFAE0AB65200
2019-06-29 11:00:00, 44.802592, -59.763830, 2019, 180, 11, 0, 2019, 180, 8, 2, 12.5, 8, 14.28, 254, 2, 45, -33.6, 4D68B02714D6880AFD5E0AAAA7FFAD08B65200
2019-06-29 10:00:00, 44.802592, -59.763830, 2019, 180, 10, 0, 2019, 180, 8, 2, 12.6, 7, 14.28, 254, 2, 44, -33.6, 4D68A02724D6880AFD5E0AAAA7FFAC07B65200
2019-06-29 09:00:00, 44.802592, -59.763830, 2019, 180, 9, 0, 2019, 180, 8, 2, 12.6, 11, 14.28, 254, 2, 43, -33.6, 4D68902724D6880AFD5E0AAAA7FFAB0BB65200
2019-06-29 08:00:00, 44.802592, -59.763830, 2019, 180, 8, 0, 2019, 180, 8, 2, 12.8, 19, 14.28, 112, 2, 46, -33.7, 4D68802744D6880AFD5E0AAAA7B8AE13B65180
2019-06-29 07:00:00, 44.804656, -59.758326, 2019, 180, 7, 0, 2019, 180, 7, 1, 12.8, 8, 14.28, 84, 3, 47, -33.7, 4D68702744D68706FD610AAAC7AAEF08B65180
2019-06-29 06:00:00, 44.807666, -59.752134, 2019, 180, 6, 0, 2019, 180, 6, 1, 13.0, 11, 14.28, 84, 3, 46, -33.7, 4D68602764D68606FD656AAAEBAAEE0BB65180
2019-06-29 05:00:00, 44.812052, -59.745426, 2019, 180, 5, 0, 2019, 180, 5, 1, 13.0, 7, 14.28, 72, 2, 46, -33.7, 4D68502764D68506FD6BCAAB12A4AE07B65180
2019-06-29 04:00:00, 44.817384, -59.740438, 2019, 180, 4, 0, 2019, 180, 4, 0, 13.0, 7, 14.28, 24, 3, 48, -33.6, 4D68402764D68402FD738AAB2F8CF007B65200
2019-06-29 03:00:00, 44.823060, -59.737514, 2019, 180, 3, 0, 2019, 180, 3, 0, 13.1, 8, 14.28, 28, 3, 47, -33.7, 4D68302774D68302FD7BCAAB408EEF08B65180
