Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2019-04-17 02:00:00, 45.014582, -58.368222, 2019, 107, 2, 0, 2019, 107, 2, 1, 0.1, 7, 14.52, 50, 2, 48, -34.1, 4CD6201F54CD6206FE922ACA5999B007BC4F80
2019-04-17 01:00:00, 45.018624, -58.386798, 2019, 107, 1, 0, 2019, 107, 1, 1, 0.0, 12, 14.52, 54, 2, 49, -34.1, 4CD6101F44CD6106FE980AC9ED9BB10CBC4F80
2019-04-17 00:00:00, 45.023526, -58.400988, 2019, 107, 0, 0, 2019, 107, 0, 0, 0.0, 10, 14.52, 24, 2, 48, -34.1, 4CD6001F44CD6002FE9F2AC99B0CB00ABC4F80
2019-04-16 23:00:00, 45.030234, -58.410706, 2019, 106, 23, 0, 2019, 106, 23, 0, 0.0, 11, 14.52, 24, 3, 48, -34.1, 4CD5701F44CD5702FEA8EAC9628CF00BBC4F80
2019-04-16 22:00:00, 45.039522, -58.417758, 2019, 106, 22, 0, 2019, 106, 22, 0, -0.1, 10, 14.52, 24, 3, 48, -34.1, 4CD5601F34CD5602FEB66AC9398CF00ABC4F80
2019-04-16 21:00:00, 45.049670, -58.421628, 2019, 106, 21, 0, 2019, 106, 21, 0, -0.1, 9, 14.52, 24, 2, 49, -34.1, 4CD5501F34CD5502FEC52AC9230CB109BC4F80
2019-04-16 20:00:00, 45.062226, -58.425584, 2019, 106, 20, 0, 2019, 106, 20, 0, -0.1, 9, 14.52, 24, 2, 47, -34.1, 4CD5401F34CD5402FED76AC90C0CAF09BC4F80
2019-04-16 19:00:00, 45.075900, -58.430572, 2019, 106, 19, 0, 2019, 106, 19, 0, -0.1, 7, 14.52, 20, 2, 49, -34.1, 4CD5301F34CD5302FEEB4AC8EF0AB107BC4F80
2019-04-16 18:00:00, 45.089144, -58.438484, 2019, 106, 18, 0, 2019, 106, 18, 0, -0.2, 7, 14.52, 24, 2, 48, -34.1, 4CD5201F24CD5202FEFE8AC8C10CB007BC4F80
2019-04-16 17:00:00, 45.101700, -58.449664, 2019, 106, 17, 0, 2019, 106, 17, 0, -0.2, 7, 14.52, 24, 3, 47, -34.1, 4CD5101F24CD5102FF10CAC8800CEF07BC4F80
2019-04-16 16:00:00, 45.113224, -58.466090, 2019, 106, 16, 0, 2019, 106, 16, 0, -0.3, 7, 14.52, 24, 2, 48, -34.1, 4CD5001F14CD5002FF218AC8208CB007BC4F80
2019-04-16 15:00:00, 45.121738, -58.484580, 2019, 106, 15, 0, 2019, 106, 15, 0, -0.3, 7, 14.60, 24, 2, 48, -34.1, 4CD4F01F14CD4F02FF2DEAC7B50CB007BE4F80
2019-04-16 14:00:00, 45.128360, -58.502898, 2019, 106, 14, 0, 2019, 106, 14, 0, -0.4, 12, 14.60, 24, 2, 49, -34.1, 4CD4E01F04CD4E02FF378AC74A8CB10CBE4F80
2019-04-16 13:00:00, 45.133864, -58.520700, 2019, 106, 13, 0, 2019, 106, 13, 0, -0.4, 7, 14.60, 24, 3, 48, -34.1, 4CD4D01F04CD4D02FF3F8AC6E30CF007BE4F80
2019-04-16 12:00:00, 45.137992, -58.535492, 2019, 106, 12, 0, 2019, 106, 12, 0, -0.4, 8, 14.60, 24, 2, 48, -34.1, 4CD4C01F04CD4C02FF458AC68D0CB008BE4F80
2019-04-16 11:00:00, 45.141002, -58.548478, 2019, 106, 11, 0, 2019, 106, 11, 0, -0.4, 11, 14.60, 22, 2, 48, -34.1, 4CD4B01F04CD4B02FF49EAC6418BB00BBE4F80
2019-04-16 10:00:00, 45.143668, -58.558368, 2019, 106, 10, 0, 2019, 106, 10, 0, -0.4, 9, 14.60, 24, 2, 48, -34.1, 4CD4A01F04CD4A02FF4DCAC6080CB009BE4F80
2019-04-16 09:00:00, 45.146076, -58.566452, 2019, 106, 9, 0, 2019, 106, 9, 0, -0.5, 7, 14.60, 24, 3, 49, -34.1, 4CD4901EF4CD4902FF514AC5D90CF107BE4F80
2019-04-16 08:00:00, 45.148226, -58.572816, 2019, 106, 8, 0, 2019, 106, 8, 0, -0.5, 7, 14.60, 24, 3, 48, -34.1, 4CD4801EF4CD4802FF546AC5B40CF007BE4F80
2019-04-16 07:00:00, 45.150290, -58.577460, 2019, 106, 7, 0, 2019, 106, 7, 0, -0.4, 10, 14.60, 30, 2, 50, -34.1, 4CD4701F04CD4702FF576AC5990FB20ABE4F80
2019-04-16 06:00:00, 45.152440, -58.582792, 2019, 106, 6, 0, 2019, 106, 6, 0, -0.4, 7, 14.60, 24, 2, 48, -34.1, 4CD4601F04CD4602FF5A8AC57A0CB007BE4F80
2019-04-16 05:00:00, 45.154246, -58.588382, 2019, 106, 5, 0, 2019, 106, 5, 0, -0.4, 10, 14.60, 24, 2, 48, -34.1, 4CD4501F04CD4502FF5D2AC5598CB00ABE4F80
2019-04-16 04:00:00, 45.156224, -58.593886, 2019, 106, 4, 0, 2019, 106, 4, 0, -0.4, 7, 14.60, 24, 3, 49, -34.1, 4CD4401F04CD4402FF600AC5398CF107BE4F80
2019-04-16 03:00:00, 45.157514, -58.600766, 2019, 106, 3, 0, 2019, 106, 3, 0, -0.4, 7, 14.60, 42, 2, 47, -34.1, 4CD4301F04CD4302FF61EAC51195AF07BE4F80
2019-04-16 02:00:00, 45.157600, -58.609366, 2019, 106, 2, 0, 2019, 106, 2, 0, -0.4, 7, 14.60, 48, 2, 48, -34.1, 4CD4201F04CD4202FF620AC4DF98B007BE4F80
2019-04-16 01:00:00, 45.156224, -58.619600, 2019, 106, 1, 0, 2019, 106, 1, 0, -0.4, 10, 14.68, 24, 2, 48, -34.1, 4CD4101F04CD4102FF600AC4A40CB00AC04F80
2019-04-16 00:00:00, 45.153730, -58.627856, 2019, 106, 0, 0, 2019, 106, 0, 0, -0.4, 12, 14.60, 24, 2, 48, -34.1, 4CD4001F04CD4002FF5C6AC4740CB00CBE4F80
2019-04-15 23:00:00, 45.149516, -58.636026, 2019, 105, 23, 0, 2019, 105, 23, 0, -0.4, 6, 14.68, 24, 2, 48, -34.1, 4CD3701F04CD3702FF564AC4448CB006C04F80
2019-04-15 22:00:00, 45.144270, -58.641100, 2019, 105, 22, 0, 2019, 105, 22, 0, -0.4, 7, 14.68, 24, 2, 48, -34.0, 4CD3601F04CD3602FF4EAAC4270CB007C05000
2019-04-15 21:00:00, 45.139024, -58.641616, 2019, 105, 21, 0, 2019, 105, 21, 0, -0.4, 9, 14.68, 34, 2, 49, -34.1, 4CD3501F04CD3502FF470AC42411B109C04F80
2019-04-15 20:00:00, 45.133950, -58.637918, 2019, 105, 20, 0, 2019, 105, 20, 0, -0.4, 11, 14.68, 24, 2, 48, -34.1, 4CD3401F04CD3402FF3FAAC4398CB00BC04F80
2019-04-15 19:00:00, 45.128962, -58.632328, 2019, 105, 19, 0, 2019, 105, 19, 0, -0.4, 10, 14.68, 24, 2, 49, -34.1, 4CD3301F04CD3302FF386AC45A0CB10AC04F80
2019-04-15 18:00:00, 45.125178, -58.621664, 2019, 105, 18, 0, 2019, 105, 18, 0, -0.5, 7, 14.68, 34, 2, 48, -34.1, 4CD3201EF4CD3202FF32EAC49811B007C04F80
2019-04-15 17:00:00, 45.124318, -58.609194, 2019, 105, 17, 0, 2019, 105, 17, 0, -0.4, 9, 14.68, 24, 3, 47, -34.1, 4CD3101F04CD3102FF31AAC4E08CEF09C04F80
2019-04-15 16:00:00, 45.126468, -58.597068, 2019, 105, 16, 0, 2019, 105, 16, 0, -0.4, 10, 14.68, 24, 2, 47, -34.1, 4CD3001F04CD3002FF34CAC5270CAF0AC04F80
2019-04-15 15:00:00, 45.130252, -58.587694, 2019, 105, 15, 0, 2019, 105, 15, 0, -0.4, 10, 14.68, 36, 2, 48, -34.1, 4CD2F01F04CD2F02FF3A4AC55D92B00AC04F80
2019-04-15 14:00:00, 45.134036, -58.581072, 2019, 105, 14, 0, 2019, 105, 14, 0, -0.3, 7, 14.68, 24, 2, 48, -34.1, 4CD2E01F14CD2E02FF3FCAC5840CB007C04F80
2019-04-15 13:00:00, 45.137390, -58.578320, 2019, 105, 13, 0, 2019, 105, 13, 0, -0.3, 18, 14.76, 24, 2, 48, -34.1, 4CD2D01F14CD2D02FF44AAC5940CB012C24F80
2019-04-15 12:00:00, 45.140142, -58.579352, 2019, 105, 12, 0, 2019, 105, 12, 0, -0.3, 14, 14.76, 22, 2, 48, -34.1, 4CD2C01F14CD2C02FF48AAC58E0BB00EC24F80
2019-04-15 11:00:00, 45.141604, -58.582792, 2019, 105, 11, 0, 2019, 105, 11, 0, -0.3, 12, 14.76, 24, 2, 48, -34.1, 4CD2B01F14CD2B02FF4ACAC57A0CB00CC24F80
2019-04-15 10:00:00, 45.141690, -58.586232, 2019, 105, 10, 0, 2019, 105, 10, 0, -0.3, 9, 14.76, 22, 2, 48, -34.1, 4CD2A01F14CD2A02FF4AEAC5660BB009C24F80
2019-04-15 09:00:00, 45.140916, -58.590274, 2019, 105, 9, 0, 2019, 105, 9, 0, -0.3, 8, 14.76, 24, 3, 49, -34.1, 4CD2901F14CD2902FF49CAC54E8CF108C24F80
