Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2019-07-20 12:32:00, 43.677798, -58.204822, 2019, 201, 12, 32, 2019, 201, 12, 32, 17.1, 0, 13.00, 36, 2, 48, -34.0, 4D92C829F4D92C82F6FB2ACE0F92B000965000
2019-07-20 12:31:00, 43.677970, -58.205166, 2019, 201, 12, 31, 2019, 201, 12, 31, 17.1, 0, 13.00, 20, 2, 48, -34.0, 4D92C7E9F4D92C7EF6FB6ACE0D8AB000965000
2019-07-20 12:30:00, 43.678228, -58.205424, 2019, 201, 12, 30, 2019, 201, 12, 30, 17.1, 0, 13.00, 50, 3, 48, -34.0, 4D92C7A9F4D92C7AF6FBCACE0C19F000965000
2019-07-20 12:28:00, 43.678486, -58.205768, 2019, 201, 12, 28, 2019, 201, 12, 28, 17.1, 0, 13.00, 40, 2, 48, -34.0, 4D92C729F4D92C72F6FC2ACE0A14B000965000
2019-07-20 12:27:00, 43.678744, -58.206112, 2019, 201, 12, 27, 2019, 201, 12, 27, 17.1, 0, 12.92, 20, 2, 48, -34.0, 4D92C6E9F4D92C6EF6FC8ACE080AB000945000
2019-07-20 12:25:00, 43.678916, -58.206370, 2019, 201, 12, 25, 2019, 201, 12, 25, 17.1, 0, 13.08, 70, 2, 48, -34.0, 4D92C669F4D92C66F6FCCACE06A3B000985000
2019-07-20 12:23:00, 43.679346, -58.206972, 2019, 201, 12, 23, 2019, 201, 12, 23, 17.1, 0, 13.08, 56, 3, 47, -34.0, 4D92C5E9F4D92C5EF6FD6ACE031CEF00985000
2019-07-19 20:55:00, 43.691816, -58.258916, 2019, 200, 20, 55, 2019, 200, 20, 55, 17.1, 0, 13.08, 48, 3, 46, -34.0, 4D914DE9F4D914DEF70F8ACCD518EE00985000
2019-07-10 21:47:00, 43.715122, -58.714200, 2019, 191, 21, 47, 2019, 191, 21, 47, 15.8, 0, 12.68, 30, 2, 48, -34.0, 4D7F5BE924D7F5BEF7316AC27E0FB0008E5000
2019-07-10 21:45:00, 43.715294, -58.714028, 2019, 191, 21, 45, 2019, 191, 21, 45, 15.8, 0, 12.84, 34, 2, 48, -34.0, 4D7F5B6924D7F5B6F731AAC27F11B000925000
2019-07-10 21:44:00, 43.715466, -58.713942, 2019, 191, 21, 44, 2019, 191, 21, 44, 15.7, 0, 12.84, 34, 2, 48, -34.0, 4D7F5B2914D7F5B2F731EAC27F91B000925000
2019-07-10 21:42:00, 43.715638, -58.713770, 2019, 191, 21, 42, 2019, 191, 21, 42, 15.8, 0, 12.76, 32, 2, 48, -34.0, 4D7F5AA924D7F5AAF7322AC28090B000905000
2019-07-10 21:41:00, 43.715724, -58.713684, 2019, 191, 21, 41, 2019, 191, 21, 41, 15.8, 0, 12.92, 36, 2, 48, -34.0, 4D7F5A6924D7F5A6F7324AC28112B000945000
2019-07-10 21:39:00, 43.715896, -58.713512, 2019, 191, 21, 39, 2019, 191, 21, 39, 15.8, 0, 12.84, 36, 2, 48, -34.0, 4D7F59E924D7F59EF7328AC28212B000925000
2019-07-10 21:38:00, 43.716068, -58.713340, 2019, 191, 21, 38, 2019, 191, 21, 38, 15.8, 0, 13.00, 34, 2, 48, -34.0, 4D7F59A924D7F59AF732CAC28311B000965000
2019-07-10 21:36:00, 43.716240, -58.713168, 2019, 191, 21, 36, 2019, 191, 21, 36, 15.8, 0, 12.76, 34, 2, 48, -34.0, 4D7F592924D7F592F7330AC28411B000905000
2019-07-10 21:35:00, 43.716412, -58.712996, 2019, 191, 21, 35, 2019, 191, 21, 35, 15.8, 0, 12.92, 34, 2, 49, -34.0, 4D7F58E924D7F58EF7334AC28511B100945000
2019-07-10 21:33:00, 43.716584, -58.712824, 2019, 191, 21, 33, 2019, 191, 21, 33, 15.8, 0, 12.92, 34, 2, 49, -34.0, 4D7F586924D7F586F7338AC28611B100945000
2019-07-10 21:32:00, 43.716756, -58.712652, 2019, 191, 21, 32, 2019, 191, 21, 32, 15.7, 0, 12.84, 36, 2, 48, -34.0, 4D7F582914D7F582F733CAC28712B000925000
2019-07-10 21:30:00, 43.716928, -58.712480, 2019, 191, 21, 30, 2019, 191, 21, 30, 15.8, 0, 12.84, 34, 2, 49, -34.0, 4D7F57A924D7F57AF7340AC28811B100925000
2019-07-10 21:29:00, 43.717100, -58.712394, 2019, 191, 21, 29, 2019, 191, 21, 29, 15.8, 0, 12.92, 30, 2, 49, -34.0, 4D7F576924D7F576F7344AC2888FB100945000
2019-07-10 21:27:00, 43.717272, -58.712222, 2019, 191, 21, 27, 2019, 191, 21, 27, 15.7, 0, 12.68, 32, 2, 48, -34.0, 4D7F56E914D7F56EF7348AC28990B0008E5000
2019-07-10 21:26:00, 43.717530, -58.712136, 2019, 191, 21, 26, 2019, 191, 21, 26, 15.8, 0, 12.68, 30, 2, 49, -34.0, 4D7F56A924D7F56AF734EAC28A0FB1008E5000
2019-07-10 21:24:00, 43.717616, -58.712050, 2019, 191, 21, 24, 2019, 191, 21, 24, 15.8, 0, 12.92, 30, 2, 49, -34.0, 4D7F562924D7F562F7350AC28A8FB100945000
2019-07-10 21:23:00, 43.717788, -58.711964, 2019, 191, 21, 23, 2019, 191, 21, 23, 15.8, 0, 12.76, 30, 2, 49, -34.0, 4D7F55E924D7F55EF7354AC28B0FB100905000
2019-07-10 21:21:00, 43.717960, -58.711792, 2019, 191, 21, 21, 2019, 191, 21, 21, 15.8, 0, 12.84, 30, 2, 49, -34.0, 4D7F556924D7F556F7358AC28C0FB100925000
2019-07-10 21:20:00, 43.718132, -58.711706, 2019, 191, 21, 20, 2019, 191, 21, 20, 15.8, 0, 12.92, 30, 2, 49, -34.0, 4D7F552924D7F552F735CAC28C8FB100945000
2019-07-10 21:18:00, 43.718304, -58.711620, 2019, 191, 21, 18, 2019, 191, 21, 18, 15.8, 0, 12.68, 30, 2, 49, -34.0, 4D7F54A924D7F54AF7360AC28D0FB1008E5000
2019-07-10 21:17:00, 43.718390, -58.711534, 2019, 191, 21, 17, 2019, 191, 21, 17, 15.8, 0, 12.68, 28, 2, 49, -34.0, 4D7F546924D7F546F7362AC28D8EB1008E5000
2019-07-10 21:15:00, 43.718562, -58.711448, 2019, 191, 21, 15, 2019, 191, 21, 15, 15.8, 0, 12.84, 26, 2, 49, -34.0, 4D7F53E924D7F53EF7366AC28E0DB100925000
2019-07-10 21:14:00, 43.718820, -58.711362, 2019, 191, 21, 14, 2019, 191, 21, 14, 15.8, 0, 12.92, 30, 2, 49, -34.0, 4D7F53A924D7F53AF736CAC28E8FB100945000
2019-07-10 21:12:00, 43.718992, -58.711276, 2019, 191, 21, 12, 2019, 191, 21, 12, 15.8, 0, 13.00, 30, 2, 49, -34.0, 4D7F532924D7F532F7370AC28F0FB100965000
2019-07-10 21:11:00, 43.719164, -58.711276, 2019, 191, 21, 11, 2019, 191, 21, 11, 15.8, 0, 12.92, 30, 2, 49, -34.0, 4D7F52E924D7F52EF7374AC28F0FB100945000
2019-07-10 21:09:00, 43.719336, -58.711190, 2019, 191, 21, 9, 2019, 191, 21, 9, 15.8, 0, 12.68, 26, 2, 48, -34.0, 4D7F526924D7F526F7378AC28F8DB0008E5000
2019-07-10 21:08:00, 43.719508, -58.711190, 2019, 191, 21, 8, 2019, 191, 21, 8, 15.8, 0, 12.68, 28, 2, 48, -34.0, 4D7F522924D7F522F737CAC28F8EB0008E5000
2019-07-10 21:06:00, 43.719680, -58.711104, 2019, 191, 21, 6, 2019, 191, 21, 6, 15.8, 0, 12.92, 22, 2, 48, -34.0, 4D7F51A924D7F51AF7380AC2900BB000945000
2019-07-10 21:05:00, 43.719852, -58.711104, 2019, 191, 21, 5, 2019, 191, 21, 5, 15.8, 0, 12.84, 28, 2, 48, -34.0, 4D7F516924D7F516F7384AC2900EB000925000
2019-07-10 21:03:00, 43.720024, -58.711018, 2019, 191, 21, 3, 2019, 191, 21, 3, 15.8, 0, 12.92, 26, 2, 48, -34.0, 4D7F50E924D7F50EF7388AC2908DB000945000
2019-07-10 21:02:00, 43.720196, -58.710932, 2019, 191, 21, 2, 2019, 191, 21, 2, 15.8, 0, 12.92, 22, 2, 48, -34.0, 4D7F50A924D7F50AF738CAC2910BB000945000
2019-07-10 21:00:00, 43.720368, -58.710932, 2019, 191, 21, 0, 2019, 191, 21, 0, 15.8, 7, 13.24, 24, 2, 48, -34.0, 4D7F502924D7F502F7390AC2910CB0079C5000
2019-07-10 20:57:00, 43.720712, -58.710846, 2019, 191, 20, 57, 2019, 191, 20, 57, 15.8, 0, 12.84, 26, 2, 47, -34.0, 4D7F4E6924D7F4E6F7398AC2918DAF00925000
2019-07-10 20:56:00, 43.720884, -58.710846, 2019, 191, 20, 56, 2019, 191, 20, 56, 15.8, 0, 12.84, 28, 2, 47, -34.0, 4D7F4E2924D7F4E2F739CAC2918EAF00925000
2019-07-10 20:54:00, 43.721056, -58.710846, 2019, 191, 20, 54, 2019, 191, 20, 54, 15.9, 0, 12.92, 22, 2, 47, -34.0, 4D7F4DA934D7F4DAF73A0AC2918BAF00945000
2019-07-10 20:53:00, 43.721142, -58.710846, 2019, 191, 20, 53, 2019, 191, 20, 53, 15.9, 0, 12.92, 30, 2, 47, -34.0, 4D7F4D6934D7F4D6F73A2AC2918FAF00945000
2019-07-10 20:51:00, 43.721314, -58.710846, 2019, 191, 20, 51, 2019, 191, 20, 51, 15.9, 0, 13.00, 36, 2, 47, -34.0, 4D7F4CE934D7F4CEF73A6AC29192AF00965000
2019-07-10 20:49:00, 43.721400, -58.710760, 2019, 191, 20, 49, 2019, 191, 20, 49, 15.9, 0, 12.76, 20, 3, 47, -34.0, 4D7F4C6934D7F4C6F73A8AC2920AEF00905000
2019-07-10 20:48:00, 43.721572, -58.710760, 2019, 191, 20, 48, 2019, 191, 20, 48, 15.9, 0, 12.84, 20, 2, 47, -34.0, 4D7F4C2934D7F4C2F73ACAC2920AAF00925000
2019-07-10 20:46:00, 43.721744, -58.710760, 2019, 191, 20, 46, 2019, 191, 20, 46, 15.9, 0, 13.08, 24, 2, 47, -34.0, 4D7F4BA934D7F4BAF73B0AC2920CAF00985000
2019-07-10 20:44:00, 43.721916, -58.710760, 2019, 191, 20, 44, 2019, 191, 20, 44, 15.9, 0, 13.00, 34, 2, 47, -34.0, 4D7F4B2934D7F4B2F73B4AC29211AF00965000
2019-07-10 20:43:00, 43.722088, -58.710846, 2019, 191, 20, 43, 2019, 191, 20, 43, 15.9, 0, 13.00, 36, 2, 47, -34.0, 4D7F4AE934D7F4AEF73B8AC29192AF00965000
2019-07-10 20:41:00, 43.722346, -58.710846, 2019, 191, 20, 41, 2019, 191, 20, 41, 15.8, 0, 12.92, 30, 2, 47, -34.0, 4D7F4A6924D7F4A6F73BEAC2918FAF00945000
2019-07-10 20:39:00, 43.722518, -58.710846, 2019, 191, 20, 39, 2019, 191, 20, 39, 15.9, 0, 12.84, 36, 2, 47, -34.0, 4D7F49E934D7F49EF73C2AC29192AF00925000
2019-07-10 20:37:00, 43.722690, -58.710846, 2019, 191, 20, 37, 2019, 191, 20, 37, 15.8, 0, 12.84, 28, 2, 47, -34.0, 4D7F496924D7F496F73C6AC2918EAF00925000
2019-07-10 20:35:00, 43.722862, -58.710932, 2019, 191, 20, 35, 2019, 191, 20, 35, 15.9, 0, 13.00, 36, 2, 47, -34.0, 4D7F48E934D7F48EF73CAAC29112AF00965000
