Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2019-09-11 09:00:00, 63.457454, 8.066434, 2019, 254, 9, 0, 2019, 251, 22, 44, 13.2, 10, 14.44, 254, 3, 32, -33.7, 4DFC902784DF76B36748B0AF21FFE00ABA5180
2019-09-11 08:00:00, 63.457454, 8.066434, 2019, 254, 8, 0, 2019, 251, 22, 44, 13.2, 7, 14.44, 254, 3, 29, -33.7, 4DFC802784DF76B36748B0AF21FFDD07BA5180
2019-09-11 07:00:00, 63.457454, 8.066434, 2019, 254, 7, 0, 2019, 251, 22, 44, 13.2, 12, 14.44, 254, 3, 38, -33.7, 4DFC702784DF76B36748B0AF21FFE60CBA5180
2019-09-11 06:00:00, 63.457454, 8.066434, 2019, 254, 6, 0, 2019, 251, 22, 44, 13.1, 8, 14.44, 254, 3, 37, -33.7, 4DFC602774DF76B36748B0AF21FFE508BA5180
2019-09-11 05:00:00, 63.457454, 8.066434, 2019, 254, 5, 0, 2019, 251, 22, 44, 13.2, 9, 14.44, 254, 3, 29, -33.7, 4DFC502784DF76B36748B0AF21FFDD09BA5180
2019-09-11 04:00:00, 63.457454, 8.066434, 2019, 254, 4, 0, 2019, 251, 22, 44, 13.3, 8, 14.44, 254, 3, 30, -33.7, 4DFC402794DF76B36748B0AF21FFDE08BA5180
2019-09-11 03:00:00, 63.457454, 8.066434, 2019, 254, 3, 0, 2019, 251, 22, 44, 13.3, 8, 14.44, 254, 3, 29, -33.7, 4DFC302794DF76B36748B0AF21FFDD08BA5180
2019-09-11 02:00:00, 63.457454, 8.066434, 2019, 254, 2, 0, 2019, 251, 22, 44, 13.4, 8, 14.44, 254, 3, 31, -33.7, 4DFC2027A4DF76B36748B0AF21FFDF08BA5180
2019-09-11 01:00:00, 63.457454, 8.066434, 2019, 254, 1, 0, 2019, 251, 22, 44, 13.5, 8, 14.44, 254, 3, 33, -33.7, 4DFC1027B4DF76B36748B0AF21FFE108BA5180
2019-09-11 00:00:00, 63.457454, 8.066434, 2019, 254, 0, 0, 2019, 251, 22, 44, 13.6, 8, 14.44, 254, 3, 35, -33.7, 4DFC0027C4DF76B36748B0AF21FFE308BA5180
2019-09-10 23:00:00, 63.457454, 8.066434, 2019, 253, 23, 0, 2019, 251, 22, 44, 13.7, 9, 14.44, 254, 3, 26, -33.7, 4DFB7027D4DF76B36748B0AF21FFDA09BA5180
2019-09-10 22:00:00, 63.457454, 8.066434, 2019, 253, 22, 0, 2019, 251, 22, 44, 13.8, 8, 14.44, 254, 3, 30, -33.7, 4DFB6027E4DF76B36748B0AF21FFDE08BA5180
2019-09-10 21:00:00, 63.457454, 8.066434, 2019, 253, 21, 0, 2019, 251, 22, 44, 13.9, 19, 14.44, 254, 3, 36, -33.7, 4DFB5027F4DF76B36748B0AF21FFE413BA5180
2019-09-10 20:00:00, 63.457454, 8.066434, 2019, 253, 20, 0, 2019, 251, 22, 44, 13.9, 8, 14.44, 254, 3, 36, -33.7, 4DFB4027F4DF76B36748B0AF21FFE408BA5180
2019-09-10 19:00:00, 63.457454, 8.066434, 2019, 253, 19, 0, 2019, 251, 22, 44, 14.0, 8, 14.44, 254, 3, 28, -33.7, 4DFB302804DF76B36748B0AF21FFDC08BA5180
2019-09-10 18:00:00, 63.457454, 8.066434, 2019, 253, 18, 0, 2019, 251, 22, 44, 14.0, 8, 14.44, 254, 3, 29, -33.7, 4DFB202804DF76B36748B0AF21FFDD08BA5180
2019-09-10 17:00:00, 63.457454, 8.066434, 2019, 253, 17, 0, 2019, 251, 22, 44, 14.0, 7, 14.44, 254, 3, 32, -33.7, 4DFB102804DF76B36748B0AF21FFE007BA5180
