Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2020-04-05 02:00:00, 45.111332, -64.976978, 2020, 96, 2, 0, 2020, 96, 2, 0, 3.7, 10, 15.32, 36, 2, 46, -35.0, 50C02021950C0202FF1ECA344292AE0AD04B00
2020-04-05 01:00:00, 45.117094, -64.963218, 2020, 96, 1, 0, 2020, 96, 1, 0, 3.7, 9, 15.32, 24, 2, 47, -35.0, 50C01021950C0102FF272A34928CAF09D04B00
2020-04-05 00:00:00, 45.113912, -64.974398, 2020, 96, 0, 0, 2020, 96, 0, 0, 3.7, 8, 15.32, 34, 2, 47, -35.0, 50C00021950C0002FF228A345191AF08D04B00
2020-04-04 23:00:00, 45.104280, -65.004068, 2020, 95, 23, 0, 2020, 95, 23, 0, 3.8, 9, 15.32, 24, 3, 46, -35.0, 50BF7021A50BF702FF148A33A50CEE09D04B00
2020-04-04 22:00:00, 45.087682, -65.045520, 2020, 95, 22, 0, 2020, 95, 22, 0, 3.8, 10, 15.32, 24, 2, 46, -35.0, 50BF6021A50BF602FEFC6A32B40CAE0AD04B00
2020-04-04 21:00:00, 45.068332, -65.090326, 2020, 95, 21, 0, 2020, 95, 21, 0, 3.8, 6, 15.32, 24, 2, 46, -35.0, 50BF5021A50BF502FEE04A31AF8CAE06D04B00
2020-04-04 20:00:00, 45.050788, -65.125672, 2020, 95, 20, 0, 2020, 95, 20, 0, 3.8, 8, 15.32, 24, 2, 47, -35.0, 50BF4021A50BF402FEC6CA30E20CAF08D04B00
2020-04-04 19:00:00, 45.042274, -65.142356, 2020, 95, 19, 0, 2020, 95, 19, 0, 3.8, 6, 15.32, 24, 2, 46, -35.0, 50BF3021A50BF302FEBA6A30810CAE06D04B00
2020-04-04 18:00:00, 45.044166, -65.139776, 2020, 95, 18, 0, 2020, 95, 18, 0, 3.8, 12, 15.32, 24, 2, 47, -35.0, 50BF2021A50BF202FEBD2A30900CAF0CD04B00
2020-04-04 17:00:00, 45.055776, -65.116040, 2020, 95, 17, 0, 2020, 95, 17, 0, 3.8, 9, 15.32, 24, 2, 47, -35.0, 50BF1021A50BF102FECE0A311A0CAF09D04B00
