"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"2969396","16891102","OskerCansoBank201902_5","Mar 27 2019 11:53:30.001 AM","45.029613","-60.406726","0","41","5","false","315.0","1.800","0.972","2.0"
"2969401","16891168","OskerCansoBank201902_5","Mar 27 2019 12:00:07.001 PM","45.028928","-60.408378","0","41","5","false","159.0","2.160","1.166","3.0"
"2969448","16891323","OskerCansoBank201902_5","Mar 27 2019 12:10:09.001 PM","45.027866","-60.410842","0","40","5","false","0.0","0.360","0.194","1.8"
"2969458","16892127","OskerCansoBank201902_5","Mar 27 2019 12:20:08.001 PM","45.026714","-60.413312","0","45","5","false","285.0","1.440","0.778","1.4"
"2969466","16892626","OskerCansoBank201902_5","Mar 27 2019 12:30:07.001 PM","45.025677","-60.415635","0","46","5","false","261.0","0.720","0.389","1.4"
"2969478","16893068","OskerCansoBank201902_5","Mar 27 2019 12:42:54.001 PM","45.024294","-60.418957","0","40","5","false","219.0","1.440","0.778","1.6"
"2969485","16893149","OskerCansoBank201902_5","Mar 27 2019 12:52:36.001 PM","45.023296","-60.421466","0","40","5","false","246.0","1.440","0.778","2.0"
"2969500","16893235","OskerCansoBank201902_5","Mar 27 2019 01:00:08.001 PM","45.022560","-60.423462","0","46","5","false","276.0","2.520","1.361","2.4"
"2969512","16893319","OskerCansoBank201902_5","Mar 27 2019 01:10:07.001 PM","45.021645","-60.426214","0","47","5","false","171.0","1.440","0.778","3.0"
"2969518","16894098","OskerCansoBank201902_5","Mar 27 2019 01:20:08.001 PM","45.020672","-60.428915","0","47","5","false","294.0","2.160","1.166","4.0"
"2969535","16894658","OskerCansoBank201902_5","Mar 27 2019 01:30:08.001 PM","45.019725","-60.431392","0","47","5","false","165.0","1.800","0.972","5.2"
"2969542","16895060","OskerCansoBank201902_5","Mar 27 2019 01:40:08.001 PM","45.018790","-60.434042","0","47","6","false","222.0","1.800","0.972","1.8"
"2969550","16895173","OskerCansoBank201902_5","Mar 27 2019 01:50:08.001 PM","45.017946","-60.436723","0","39","6","false","267.0","2.520","1.361","2.0"
"2969554","16895183","OskerCansoBank201902_4","Mar 27 2019 01:50:41.001 PM","45.196166","-60.441850","0","38","6","false","60.0","2.160","1.166","4.0"
"2969572","16895306","OskerCansoBank201902_4","Mar 27 2019 02:00:06.001 PM","45.195379","-60.443168","0","43","5","false","189.0","1.080","0.583","4.4"
"2969560","16895267","OskerCansoBank201902_5","Mar 27 2019 02:00:08.001 PM","45.017075","-60.439456","0","38","5","false","252.0","3.600","1.944","2.6"
"2969585","16895442","OskerCansoBank201902_4","Mar 27 2019 02:10:06.001 PM","45.194483","-60.444269","0","44","5","false","201.0","1.800","0.972","4.0"
"2969582","16895436","OskerCansoBank201902_5","Mar 27 2019 02:10:08.001 PM","45.016346","-60.442355","0","38","5","false","99.0","2.880","1.555","3.0"
"2969595","16896228","OskerCansoBank201902_4","Mar 27 2019 02:20:08.001 PM","45.193696","-60.445504","0","44","5","false","222.0","0.360","0.194","4.0"
"2969592","16896194","OskerCansoBank201902_5","Mar 27 2019 02:20:08.001 PM","45.015533","-60.445254","0","40","5","false","222.0","2.160","1.166","4.4"
"2969604","16896746","OskerCansoBank201902_4","Mar 27 2019 02:30:08.001 PM","45.192890","-60.446726","0","43","5","false","9.0","0.720","0.389","4.0"
"2969615","16897232","OskerCansoBank201902_5","Mar 27 2019 02:40:08.001 PM","45.013875","-60.450618","0","40","5","false","276.0","2.520","1.361","2.4"
"2969616","16897234","OskerCansoBank201902_4","Mar 27 2019 02:40:10.001 PM","45.192122","-60.447904","0","43","5","false","288.0","1.080","0.583","4.0"
"2969625","16897318","OskerCansoBank201902_5","Mar 27 2019 02:50:07.001 PM","45.013197","-60.453306","0","46","6","false","210.0","1.080","0.583","1.6"
"2969631","16897344","OskerCansoBank201902_4","Mar 27 2019 02:50:08.001 PM","45.191482","-60.448877","0","43","5","false","0.0","0.360","0.194","4.0"
"2969637","16897411","OskerCansoBank201902_5","Mar 27 2019 03:00:08.001 PM","45.012570","-60.455859","0","46","6","false","252.0","2.520","1.361","1.4"
"2969660","16897453","OskerCansoBank201902_4","Mar 27 2019 03:00:09.001 PM","45.190688","-60.449952","0","44","5","false","150.0","1.080","0.583","4.0"
"2969671","16897775","OskerCansoBank201902_5","Mar 27 2019 03:10:08.001 PM","45.011987","-60.458502","0","45","6","false","237.0","2.520","1.361","1.4"
"2969664","16897531","OskerCansoBank201902_4","Mar 27 2019 03:10:09.001 PM","45.189946","-60.451098","0","43","5","false","222.0","0.360","0.194","3.8"
"2969680","16898274","OskerCansoBank201902_5","Mar 27 2019 03:20:07.001 PM","45.011552","-60.460819","0","45","5","false","243.0","0.720","0.389","1.6"
"2969681","16898313","OskerCansoBank201902_4","Mar 27 2019 03:20:16.001 PM","45.189197","-60.452192","0","43","5","false","213.0","1.800","0.972","3.6"
"2969693","16898871","OskerCansoBank201902_5","Mar 27 2019 03:30:07.001 PM","45.011021","-60.463110","0","45","5","false","201.0","1.800","0.972","1.6"
"2969685","16898761","OskerCansoBank201902_4","Mar 27 2019 03:30:08.001 PM","45.188442","-60.453274","0","43","5","false","225.0","2.520","1.361","3.6"
"2969707","16899213","OskerCansoBank201902_5","Mar 27 2019 03:40:08.001 PM","45.010541","-60.465459","0","45","5","false","222.0","2.160","1.166","1.6"
"2969695","16899171","OskerCansoBank201902_4","Mar 27 2019 03:40:09.001 PM","45.187731","-60.454138","0","45","5","false","198.0","1.440","0.778","3.6"
"2969718","16899287","OskerCansoBank201902_5","Mar 27 2019 03:50:08.001 PM","45.009978","-60.467699","0","45","5","false","231.0","1.440","0.778","1.6"
"2969719","16899289","OskerCansoBank201902_4","Mar 27 2019 03:50:35.001 PM","45.187021","-60.455117","0","41","6","false","15.0","1.080","0.583","1.0"
"2969731","16899375","OskerCansoBank201902_4","Mar 27 2019 04:00:08.001 PM","45.186419","-60.456096","0","44","5","false","231.0","0.720","0.389","1.2"
"2969735","16899381","OskerCansoBank201902_5","Mar 27 2019 04:00:36.001 PM","45.009408","-60.469754","0","45","5","false","222.0","1.080","0.583","1.6"
