"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"3351903","25758440","778","Sep 3 2019 03:03:24.001 PM","45.757741","-57.585427","166","41","7","false","15.0","1.800","0.972","1.4"
"3351917","25759132","763","Sep 3 2019 03:10:07.001 PM","45.810150","-57.449222","10","43","5","false","351.0","2.520","1.361","3.2"
"3351907","25758985","761","Sep 3 2019 03:10:07.001 PM","46.045978","-56.660870","11","36","5","false","354.0","1.080","0.583","3.2"
"3351906","25758977","770","Sep 3 2019 03:10:07.001 PM","45.824397","-57.568877","9","40","5","false","270.0","2.880","1.555","3.2"
"3351909","25758991","759","Sep 3 2019 03:10:07.001 PM","45.926598","-57.513786","11","39","5","false","6.0","3.240","1.749","3.2"
"3351908","25758986","762","Sep 3 2019 03:10:08.001 PM","46.049376","-56.521670","10","36","6","false","12.0","2.520","1.361","2.2"
"3351910","25758994","758","Sep 3 2019 03:10:09.001 PM","46.035149","-56.542470","11","42","7","false","21.0","2.160","1.166","1.6"
"3351911","25758996","764","Sep 3 2019 03:10:10.001 PM","46.038368","-56.613011","11","34","5","false","18.0","0.720","0.389","2.6"
"3351920","25760285","778","Sep 3 2019 03:10:11.001 PM","45.759546","-57.584186","11","40","7","false","15.0","2.520","1.361","1.4"
"3351914","25759012","760","Sep 3 2019 03:10:11.001 PM","45.833216","-57.475443","11","42","5","false","354.0","1.800","0.972","3.2"
"3351918","25759152","765","Sep 3 2019 03:10:12.001 PM","46.043398","-56.646234","11","35","5","false","24.0","1.440","0.778","3.2"
"3351915","25759073","765","Sep 3 2019 03:10:12.001 PM","46.043398","-56.646234","11","35","5","false","24.0","1.440","0.778","3.2"
"3351922","25760911","759","Sep 3 2019 03:20:06.001 PM","45.929658","-57.512038","10","39","5","false","216.0","3.600","1.944","2.2"
"3351929","25760948","762","Sep 3 2019 03:20:07.001 PM","46.051936","-56.520915","9","43","6","false","318.0","3.960","2.138","2.0"
"3351923","25760923","761","Sep 3 2019 03:20:07.001 PM","46.048109","-56.659795","11","38","5","false","9.0","2.520","1.361","2.2"
"3351933","25760995","763","Sep 3 2019 03:20:08.001 PM","45.812506","-57.448256","11","40","5","false","18.0","3.960","2.138","2.2"
"3351931","25760967","770","Sep 3 2019 03:20:09.001 PM","45.827258","-57.566816","11","44","5","false","18.0","3.240","1.749","2.2"
"3351924","25760926","758","Sep 3 2019 03:20:09.001 PM","46.037389","-56.541331","11","42","7","false","18.0","3.240","1.749","1.6"
"3351928","25760947","765","Sep 3 2019 03:20:10.001 PM","46.045446","-56.645037","9","45","5","false","276.0","2.880","1.555","2.2"
"3351930","25760963","764","Sep 3 2019 03:20:10.001 PM","46.040634","-56.612077","11","37","5","false","21.0","2.160","1.166","2.6"
"3351925","25760941","778","Sep 3 2019 03:20:11.001 PM","45.762214","-57.582195","11","41","7","false","9.0","0.720","0.389","1.4"
"3351926","25760942","760","Sep 3 2019 03:20:11.001 PM","45.835789","-57.473958","11","41","5","false","327.0","2.520","1.361","2.2"
"3351937","25761088","761","Sep 3 2019 03:30:07.001 PM","46.050112","-56.658746","11","36","5","false","12.0","0.360","0.194","1.8"
"3351935","25761086","770","Sep 3 2019 03:30:07.001 PM","45.829952","-57.564653","9","41","5","false","357.0","5.040","2.721","1.8"
"3351936","25761087","759","Sep 3 2019 03:30:07.001 PM","45.932890","-57.509651","11","36","5","false","99.0","1.080","0.583","1.8"
"3351938","25761089","763","Sep 3 2019 03:30:08.001 PM","45.814784","-57.447206","11","40","5","false","6.0","3.240","1.749","1.8"
"3351945","25761099","762","Sep 3 2019 03:30:08.001 PM","46.054208","-56.520186","10","42","6","false","84.0","1.800","0.972","1.6"
"3351939","25761091","758","Sep 3 2019 03:30:09.001 PM","46.039488","-56.540320","11","35","7","false","3.0","2.880","1.555","1.6"
"3351940","25761092","764","Sep 3 2019 03:30:10.001 PM","46.042643","-56.610982","11","37","5","false","312.0","0.720","0.389","4.2"
"3351942","25761094","778","Sep 3 2019 03:30:10.001 PM","45.764877","-57.580390","10","40","6","false","9.0","0.720","0.389","1.6"
"3351943","25761095","760","Sep 3 2019 03:30:11.001 PM","45.838464","-57.472646","11","42","5","false","12.0","2.160","1.166","1.8"
"3351941","25761093","765","Sep 3 2019 03:30:12.001 PM","46.047430","-56.643866","11","43","5","false","21.0","3.960","2.138","1.8"
"3351956","25761155","759","Sep 3 2019 03:40:07.001 PM","45.936026","-57.507194","11","36","4","false","15.0","0.720","0.389","3.4"
"3351951","25761149","762","Sep 3 2019 03:40:07.001 PM","46.056186","-56.519392","9","37","5","false","90.0","1.800","0.972","1.6"
"3351954","25761152","761","Sep 3 2019 03:40:07.001 PM","46.052013","-56.657856","11","43","5","false","9.0","3.600","1.944","1.6"
"3351952","25761150","770","Sep 3 2019 03:40:08.001 PM","45.832890","-57.562739","10","43","5","false","48.0","1.440","0.778","1.6"
"3351953","25761151","763","Sep 3 2019 03:40:08.001 PM","45.817075","-57.446182","11","44","5","false","75.0","4.320","2.333","1.6"
"3351955","25761153","778","Sep 3 2019 03:40:09.001 PM","45.767462","-57.578432","9","43","6","false","33.0","3.960","2.138","1.4"
"3351950","25761148","758","Sep 3 2019 03:40:09.001 PM","46.041402","-56.539277","11","40","7","false","12.0","3.240","1.749","1.4"
"3351948","25761146","760","Sep 3 2019 03:40:10.001 PM","45.840813","-57.471386","10","42","5","false","0.0","6.120","3.305","1.6"
"3351949","25761147","765","Sep 3 2019 03:40:11.001 PM","46.049197","-56.643034","10","37","5","false","267.0","2.880","1.555","1.6"
"3351958","25761182","764","Sep 3 2019 03:42:34.001 PM","46.045126","-56.609702","158","45","5","false","30.0","2.160","1.166","1.4"
"3351969","25761216","761","Sep 3 2019 03:50:07.001 PM","46.053747","-56.656934","11","38","5","false","15.0","3.240","1.749","1.4"
"3351967","25761212","758","Sep 3 2019 03:50:07.001 PM","46.043270","-56.538298","9","41","7","false","42.0","0.360","0.194","1.2"
"3351966","25761211","770","Sep 3 2019 03:50:07.001 PM","45.835590","-57.560416","10","43","5","false","357.0","3.240","1.749","1.4"
"3351961","25761204","759","Sep 3 2019 03:50:07.001 PM","45.939040","-57.504525","11","40","5","false","21.0","3.600","1.944","1.4"
"3351970","25761229","763","Sep 3 2019 03:50:08.001 PM","45.819155","-57.445312","11","39","5","false","336.0","1.800","0.972","1.4"
"3351962","25761205","762","Sep 3 2019 03:50:09.001 PM","46.058150","-56.518381","11","36","5","false","30.0","1.440","0.778","1.4"
"3351971","25761235","778","Sep 3 2019 03:50:10.001 PM","45.769683","-57.576262","10","40","6","false","348.0","3.240","1.749","1.4"
"3351965","25761209","760","Sep 3 2019 03:50:11.001 PM","45.843091","-57.470214","11","42","5","false","33.0","0.360","0.194","1.4"
"3351964","25761208","765","Sep 3 2019 03:50:11.001 PM","46.050835","-56.642419","10","44","5","false","261.0","1.080","0.583","1.4"
"3351963","25761207","764","Sep 3 2019 03:50:12.001 PM","46.046522","-56.608800","13","37","5","false","9.0","1.440","0.778","1.4"
"3351974","25761316","759","Sep 3 2019 04:00:05.001 PM","45.941946","-57.502323","9","37","5","false","330.0","2.160","1.166","1.2"
"3351973","25761314","761","Sep 3 2019 04:00:07.001 PM","46.055411","-56.656243","11","37","5","false","87.0","1.440","0.778","1.2"
"3351976","25761318","770","Sep 3 2019 04:00:08.001 PM","45.838112","-57.558086","11","42","5","false","24.0","6.840","3.693","1.2"
"3351972","25761313","763","Sep 3 2019 04:00:08.001 PM","45.821312","-57.444493","11","40","5","false","300.0","0.720","0.389","1.2"
"3352008","25761378","758","Sep 3 2019 04:00:09.001 PM","46.045069","-56.537126","11","41","7","false","45.0","3.600","1.944","1.2"
"3351987","25761332","764","Sep 3 2019 04:00:10.001 PM","46.048250","-56.607840","11","44","5","false","30.0","2.160","1.166","1.2"
"3352011","25761390","778","Sep 3 2019 04:00:10.001 PM","45.771770","-57.574125","11","42","6","false","30.0","3.240","1.749","1.2"
"3351975","25761317","760","Sep 3 2019 04:00:11.001 PM","45.845376","-57.468890","11","43","5","false","15.0","6.120","3.305","1.2"
"3352009","25761384","765","Sep 3 2019 04:00:12.001 PM","46.052390","-56.641754","11","44","5","false","300.0","1.440","0.778","1.2"
"3351978","25761326","762","Sep 3 2019 04:00:36.001 PM","46.060192","-56.517126","38","42","6","false","30.0","2.160","1.166","1.4"
"3352017","25762259","761","Sep 3 2019 04:10:06.001 PM","46.056909","-56.655565","10","38","5","false","48.0","2.880","1.555","1.2"
"3352023","25762342","759","Sep 3 2019 04:10:06.001 PM","45.944634","-57.499456","10","36","5","false","24.0","3.960","2.138","1.2"
"3352024","25762469","758","Sep 3 2019 04:10:07.001 PM","46.046688","-56.536083","9","40","7","false","24.0","0.720","0.389","1.0"
"3352027","25763092","762","Sep 3 2019 04:10:08.001 PM","46.061805","-56.516058","10","41","6","false","30.0","1.440","0.778","1.4"
"3352022","25762294","763","Sep 3 2019 04:10:08.001 PM","45.823232","-57.443347","11","41","5","false","15.0","2.520","1.361","1.2"
"3352016","25762252","764","Sep 3 2019 04:10:08.001 PM","46.049786","-56.607078","9","44","5","false","33.0","3.240","1.749","1.2"
"3352025","25762551","770","Sep 3 2019 04:10:08.001 PM","45.840390","-57.555866","11","41","5","false","30.0","3.960","2.138","1.2"
"3352018","25762274","778","Sep 3 2019 04:10:10.001 PM","45.773830","-57.572019","11","41","6","false","9.0","1.080","0.583","1.2"
"3352026","25762940","760","Sep 3 2019 04:10:11.001 PM","45.847258","-57.467277","11","42","5","false","129.0","3.240","1.749","1.2"
"3352019","25762277","765","Sep 3 2019 04:10:11.001 PM","46.054003","-56.641216","10","39","5","false","303.0","5.760","3.110","1.2"
"3352034","25764208","761","Sep 3 2019 04:20:06.001 PM","46.058534","-56.654931","10","42","5","false","117.0","1.440","0.778","1.2"
"3352031","25764180","759","Sep 3 2019 04:20:07.001 PM","45.947168","-57.496864","11","36","5","false","15.0","3.600","1.944","1.2"
"3352033","25764192","770","Sep 3 2019 04:20:08.001 PM","45.842502","-57.553549","11","39","5","false","348.0","0.720","0.389","1.2"
"3352032","25764181","763","Sep 3 2019 04:20:08.001 PM","45.825178","-57.442854","11","39","5","false","102.0","0.720","0.389","1.2"
"3352035","25764212","762","Sep 3 2019 04:20:08.001 PM","46.063520","-56.515053","10","41","6","false","39.0","1.800","0.972","1.4"
