Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-06-07 14:00:00, 43.942400, -59.889200, 0, 2019, 6, 7, 14, 0, 7.55, 1, 15.4, 0, 48, 36, 7, 0026C3B80FFE9CFFF07407FF000A3810494F512C
2019-06-07 13:00:00, 43.942400, -59.889200, 0, 2019, 6, 7, 13, 0, 7.49, 1, 15.4, 0, 44, 20, 9, 0026C3B40FFE9C3FF07409FF000A3810494F50AB
2019-06-07 12:00:00, 43.942400, -59.889200, 0, 2019, 6, 7, 12, 0, 7.45, 1, 15.4, 0, 44, 36, 7, 0026C3B00FFE9BBFF07407FF000A3810494F512B
2019-06-07 11:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 11, 0, 7.42, 1, 15.4, 0, 48, 38, 7, 0026C3AC0FFE9B5FF07407FF000A3811494F513C
2019-06-07 10:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 10, 0, 7.41, 1, 15.4, 0, 48, 20, 7, 0026C3A80FFE9B3FF07407FF000A3811494F50AC
2019-06-07 09:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 9, 0, 7.40, 1, 15.4, 0, 48, 38, 7, 0026C3A40FFE9B1FF07407FF000A3811494F513C
2019-06-07 08:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 8, 0, 7.40, 1, 15.4, 0, 48, 36, 7, 0026C3A00FFE9B1FF07407FF000A3811494F512C
2019-06-07 07:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 7, 0, 7.42, 2, 15.4, 0, 48, 36, 7, 0026C39C0FFE9B5FF0B407FF000A3811494F512C
2019-06-07 06:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 6, 0, 7.40, 2, 15.4, 0, 44, 20, 9, 0026C3980FFE9B1FF0B409FF000A3811494F50AB
2019-06-07 05:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 5, 0, 7.35, 2, 15.4, 0, 48, 24, 6, 0026C3940FFE9A7FF0B406FF000A3811494F50CC
2019-06-07 04:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 4, 0, 7.33, 2, 15.4, 0, 48, 38, 11, 0026C3900FFE9A3FF0B40BFF000A3811494F513C
2019-06-07 03:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 3, 0, 7.33, 1, 15.4, 0, 52, 36, 10, 0026C38C0FFE9A3FF0740AFF000A3811494F512D
2019-06-07 02:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 2, 0, 7.16, 1, 15.4, 0, 48, 38, 12, 0026C3880FFE981FF0740CFF000A3811494F513C
2019-06-07 01:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 1, 0, 7.29, 1, 15.4, 0, 48, 20, 7, 0026C3840FFE99BFF07407FF000A3811494F50AC
2019-06-07 00:00:00, 43.942600, -59.889200, 0, 2019, 6, 7, 0, 0, 7.34, 1, 15.4, 0, 48, 24, 9, 0026C3800FFE9A5FF07409FF000A3811494F50CC
2019-06-06 23:00:00, 43.942600, -59.889200, 0, 2019, 6, 6, 23, 0, 7.38, 1, 15.4, 0, 44, 48, 8, 0026C35C0FFE9ADFF07408FF000A3811494F518B
2019-06-06 22:00:00, 43.942600, -59.889200, 0, 2019, 6, 6, 22, 0, 7.42, 1, 15.4, 0, 48, 36, 9, 0026C3580FFE9B5FF07409FF000A3811494F512C
2019-06-06 21:00:00, 43.942600, -59.889200, 0, 2019, 6, 6, 21, 0, 7.40, 1, 15.4, 0, 48, 36, 7, 0026C3540FFE9B1FF07407FF000A3811494F512C
2019-06-06 20:00:00, 43.942600, -59.889200, 0, 2019, 6, 6, 20, 0, 7.32, 1, 15.4, 0, 48, 20, 7, 0026C3500FFE9A1FF07407FF000A3811494F50AC
