Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-08-06 17:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 17, 0, 13.24, 2, 15.2, 0, 44, 24, 10, 002703440FFEE41FF0B30AFF000A4690476600CB
2019-08-06 16:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 16, 0, 12.91, 2, 15.2, 0, 48, 24, 10, 002703400FFEDFFFF0B30AFF000A4690476600CC
2019-08-06 15:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 15, 0, 13.01, 2, 15.2, 0, 44, 24, 7, 0027033C0FFEE13FF0B307FF000A4690476600CB
2019-08-06 14:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 14, 0, 13.66, 1, 15.2, 0, 44, 24, 7, 002703380FFEE95FF07307FF000A4690476600CB
2019-08-06 13:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 13, 0, 13.56, 4, 15.2, 0, 48, 24, 8, 002703340FFEE81FF13308FF000A4690476600CC
2019-08-06 12:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 12, 0, 14.28, 1, 15.2, 0, 44, 24, 6, 002703300FFEF11FF07306FF000A4690476600CB
2019-08-06 11:00:00, 44.684800, -63.021000, 0, 2019, 8, 6, 11, 0, 14.46, 3, 15.2, 0, 48, 24, 7, 0027032C0FFEF35FF0F307FF000A46904765F8CC
2019-08-06 10:00:00, 44.684800, -63.021000, 0, 2019, 8, 6, 10, 0, 13.88, 2, 15.2, 0, 48, 24, 8, 002703280FFEEC1FF0B308FF000A46904765F8CC
2019-08-06 09:00:00, 44.684800, -63.021000, 0, 2019, 8, 6, 9, 0, 13.23, 1, 15.2, 0, 44, 24, 6, 002703240FFEE3FFF07306FF000A46904765F8CB
2019-08-06 08:00:00, 44.684800, -63.021000, 0, 2019, 8, 6, 8, 0, 11.49, 1, 15.2, 0, 44, 24, 6, 002703200FFECE3FF07306FF000A46904765F8CB
2019-08-06 07:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 7, 0, 11.20, 2, 15.2, 0, 48, 24, 9, 0027031C0FFECA9FF0B309FF000A4690476600CC
2019-08-06 06:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 6, 0, 11.36, 2, 15.2, 0, 48, 24, 7, 002703180FFECC9FF0B307FF000A4690476600CC
2019-08-06 05:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 5, 0, 11.44, 2, 15.2, 0, 44, 24, 7, 002703140FFECD9FF0B307FF000A4690476600CB
2019-08-06 04:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 4, 0, 11.46, 2, 15.2, 0, 48, 26, 8, 002703100FFECDDFF0B308FF000A4690476600DC
2019-08-06 03:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 3, 0, 11.38, 2, 15.2, 0, 48, 24, 10, 0027030C0FFECCDFF0B30AFF000A4690476600CC
2019-08-06 02:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 2, 0, 11.29, 2, 15.2, 0, 48, 24, 11, 002703080FFECBBFF0B30BFF000A4690476600CC
2019-08-06 01:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 1, 0, 11.41, 2, 15.2, 0, 48, 24, 6, 002703040FFECD3FF0B306FF000A4690476600CC
2019-08-06 00:00:00, 44.684800, -63.020800, 0, 2019, 8, 6, 0, 0, 11.33, 3, 15.2, 0, 44, 24, 6, 002703000FFECC3FF0F306FF000A4690476600CB
2019-08-05 23:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 23, 0, 11.50, 2, 15.2, 0, 48, 24, 10, 002702DC0FFECE5FF0B30AFF000A4690476600CC
2019-08-05 22:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 22, 0, 11.65, 2, 15.2, 0, 48, 24, 9, 002702D80FFED03FF0B309FF000A4690476600CC
2019-08-05 21:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 21, 0, 11.93, 2, 15.2, 0, 44, 28, 7, 002702D40FFED3BFF0B307FF000A4690476600EB
2019-08-05 20:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 20, 0, 12.04, 2, 15.2, 0, 48, 24, 7, 002702D00FFED51FF0B307FF000A4690476600CC
2019-08-05 19:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 19, 0, 12.08, 3, 15.2, 0, 48, 24, 18, 002702CC0FFED59FF0F312FF000A4690476600CC
2019-08-05 18:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 18, 0, 12.43, 3, 15.2, 0, 48, 24, 10, 002702C80FFED9FFF0F30AFF000A4690476600CC
2019-08-05 17:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 17, 0, 12.81, 2, 15.2, 0, 44, 24, 10, 002702C40FFEDEBFF0B30AFF000A4690476600CB
2019-08-05 16:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 16, 0, 13.22, 2, 15.2, 0, 48, 24, 11, 002702C00FFEE3DFF0B30BFF000A4690476600CC
2019-08-05 15:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 15, 0, 12.97, 2, 15.2, 0, 44, 24, 21, 002702BC0FFEE0BFF0B315FF000A4690476600CB
2019-08-05 14:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 14, 0, 12.94, 3, 15.2, 0, 44, 24, 8, 002702B80FFEE05FF0F308FF000A4690476600CB
2019-08-05 13:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 13, 0, 14.07, 2, 15.2, 0, 48, 24, 10, 002702B40FFEEE7FF0B30AFF000A4690476600CC
2019-08-05 12:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 12, 0, 14.26, 1, 15.2, 0, 44, 24, 6, 002702B00FFEF0DFF07306FF000A4690476600CB
2019-08-05 11:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 11, 0, 14.32, 1, 15.2, 0, 48, 24, 10, 002702AC0FFEF19FF0730AFF000A4690476600CC
2019-08-05 10:00:00, 44.684800, -63.021000, 0, 2019, 8, 5, 10, 0, 14.26, 1, 15.2, 0, 48, 24, 12, 002702A80FFEF0DFF0730CFF000A46904765F8CC
2019-08-05 09:00:00, 44.684800, -63.021000, 0, 2019, 8, 5, 9, 0, 14.09, 1, 15.2, 0, 44, 24, 8, 002702A40FFEEEBFF07308FF000A46904765F8CB
2019-08-05 08:00:00, 44.684800, -63.021000, 0, 2019, 8, 5, 8, 0, 13.30, 1, 15.2, 0, 48, 24, 6, 002702A00FFEE4DFF07306FF000A46904765F8CC
2019-08-05 07:00:00, 44.684800, -63.021000, 0, 2019, 8, 5, 7, 0, 11.81, 2, 15.2, 0, 48, 24, 7, 0027029C0FFED23FF0B307FF000A46904765F8CC
2019-08-05 06:00:00, 44.684800, -63.021000, 0, 2019, 8, 5, 6, 0, 12.35, 1, 15.2, 0, 48, 24, 7, 002702980FFED8FFF07307FF000A46904765F8CC
2019-08-05 05:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 5, 0, 11.62, 3, 15.2, 0, 48, 22, 8, 002702940FFECFDFF0F308FF000A4690476600BC
2019-08-05 04:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 4, 0, 11.65, 3, 15.2, 0, 48, 24, 10, 002702900FFED03FF0F30AFF000A4690476600CC
2019-08-05 03:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 3, 0, 12.05, 2, 15.2, 0, 48, 24, 7, 0027028C0FFED53FF0B307FF000A4690476600CC
2019-08-05 02:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 2, 0, 12.57, 2, 15.2, 0, 48, 24, 10, 002702880FFEDBBFF0B30AFF000A4690476600CC
2019-08-05 01:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 1, 0, 12.42, 3, 15.2, 0, 48, 24, 6, 002702840FFED9DFF0F306FF000A4690476600CC
2019-08-05 00:00:00, 44.684800, -63.020800, 0, 2019, 8, 5, 0, 0, 13.25, 2, 15.2, 0, 44, 24, 7, 002702800FFEE43FF0B307FF000A4690476600CB
2019-08-04 23:00:00, 44.684800, -63.020800, 0, 2019, 8, 4, 23, 0, 13.19, 2, 15.2, 0, 48, 24, 6, 0027025C0FFEE37FF0B306FF000A4690476600CC
2019-08-04 22:00:00, 44.684800, -63.020800, 0, 2019, 8, 4, 22, 0, 12.92, 1, 15.2, 0, 48, 24, 6, 002702580FFEE01FF07306FF000A4690476600CC
2019-08-04 21:00:00, 44.684800, -63.020800, 0, 2019, 8, 4, 21, 0, 12.76, 2, 15.2, 0, 44, 24, 9, 002702540FFEDE1FF0B309FF000A4690476600CB
2019-08-04 20:00:00, 44.684800, -63.020800, 0, 2019, 8, 4, 20, 0, 12.80, 2, 15.2, 0, 48, 24, 10, 002702500FFEDE9FF0B30AFF000A4690476600CC
