Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-08-06 17:00:00, 43.657000, -65.205600, 0, 2019, 8, 6, 17, 0, 13.74, 2, 15.0, 0, 44, 20, 10, 002703440FFEEA5FF0B20AFF000A327D4610A0AB
2019-08-06 16:00:00, 43.656000, -65.202800, 0, 2019, 8, 6, 16, 0, 13.97, 2, 15.0, 0, 48, 38, 9, 002703400FFEED3FF0B209FF000A32784611113C
2019-08-06 15:00:00, 43.654600, -65.200400, 0, 2019, 8, 6, 15, 0, 14.25, 2, 15.0, 0, 44, 36, 8, 0027033C0FFEF0BFF0B208FF000A32714611712B
2019-08-06 14:00:00, 43.652200, -65.198600, 0, 2019, 8, 6, 14, 0, 14.33, 2, 15.0, 0, 44, 36, 11, 002703380FFEF1BFF0B20BFF000A32654611B92B
2019-08-06 13:00:00, 43.649000, -65.197600, 0, 2019, 8, 6, 13, 0, 14.65, 1, 15.0, 0, 44, 20, 7, 002703340FFEF5BFF07207FF000A32554611E0AB
2019-08-06 12:00:00, 43.646000, -65.196400, 0, 2019, 8, 6, 12, 0, 14.09, 2, 15.0, 0, 44, 24, 7, 002703300FFEEEBFF0B207FF000A3246461210CB
2019-08-06 11:00:00, 43.643600, -65.196200, 0, 2019, 8, 6, 11, 0, 13.88, 2, 15.0, 0, 48, 36, 11, 0027032C0FFEEC1FF0B20BFF000A323A4612192C
2019-08-06 10:00:00, 43.642200, -65.197400, 0, 2019, 8, 6, 10, 0, 14.28, 2, 15.0, 0, 44, 36, 7, 002703280FFEF11FF0B207FF000A32334611E92B
2019-08-06 09:00:00, 43.640600, -65.200400, 0, 2019, 8, 6, 9, 0, 14.81, 2, 15.0, 0, 44, 38, 8, 002703240FFEF7BFF0B208FF000A322B4611713B
2019-08-06 08:00:00, 43.639600, -65.204400, 0, 2019, 8, 6, 8, 0, 14.81, 2, 15.0, 0, 44, 36, 10, 002703200FFEF7BFF0B20AFF000A32264610D12B
2019-08-06 07:00:00, 43.638800, -65.208800, 0, 2019, 8, 6, 7, 0, 14.93, 2, 15.0, 0, 48, 36, 13, 0027031C0FFEF93FF0B20DFF000A32224610212C
2019-08-06 06:00:00, 43.638400, -65.212400, 0, 2019, 8, 6, 6, 0, 15.18, 2, 15.0, 0, 44, 36, 8, 002703180FFEFC5FF0B208FF000A3220460F912B
2019-08-06 05:00:00, 43.637800, -65.214600, 0, 2019, 8, 6, 5, 0, 15.75, 2, 15.0, 0, 44, 20, 7, 002703140FFF037FF0B207FF000A321D460F38AB
2019-08-06 04:00:00, 43.637200, -65.213400, 0, 2019, 8, 6, 4, 0, 16.07, 2, 15.0, 0, 48, 38, 9, 002703100FFF077FF0B209FF000A321A460F693C
2019-08-06 03:00:00, 43.636600, -65.210200, 0, 2019, 8, 6, 3, 0, 15.96, 2, 15.0, 0, 48, 36, 9, 0027030C0FFF061FF0B209FF000A3217460FE92C
2019-08-06 02:00:00, 43.635800, -65.205600, 0, 2019, 8, 6, 2, 0, 16.04, 2, 15.0, 0, 48, 20, 7, 002703080FFF071FF0B207FF000A32134610A0AC
2019-08-06 01:00:00, 43.634200, -65.200200, 0, 2019, 8, 6, 1, 0, 16.89, 1, 15.0, 0, 44, 26, 9, 002703040FFF11BFF07209FF000A320B461178DB
2019-08-06 00:00:00, 43.632400, -65.195600, 0, 2019, 8, 6, 0, 0, 16.22, 2, 15.0, 0, 44, 38, 7, 002703000FFF095FF0B207FF000A32024612313B
2019-08-05 23:00:00, 43.630200, -65.193600, 0, 2019, 8, 5, 23, 0, 16.15, 2, 15.0, 0, 48, 36, 9, 002702DC0FFF087FF0B209FF000A31F74612812C
2019-08-05 22:00:00, 43.628000, -65.193800, 0, 2019, 8, 5, 22, 0, 15.80, 2, 15.0, 0, 44, 38, 11, 002702D80FFF041FF0B20BFF000A31EC4612793B
2019-08-05 21:00:00, 43.625600, -65.195400, 0, 2019, 8, 5, 21, 0, 15.10, 2, 15.0, 0, 48, 42, 10, 002702D40FFEFB5FF0B20AFF000A31E04612395C
2019-08-05 20:00:00, 43.622000, -65.197600, 0, 2019, 8, 5, 20, 0, 15.01, 3, 15.0, 0, 48, 38, 7, 002702D00FFEFA3FF0F207FF000A31CE4611E13C
2019-08-05 19:00:00, 43.618200, -65.200000, 0, 2019, 8, 5, 19, 0, 12.48, 2, 15.0, 0, 48, 48, 9, 002702CC0FFEDA9FF0B209FF000A31BB4611818C
2019-08-05 18:00:00, 43.615400, -65.199200, 0, 2019, 8, 5, 18, 0, 13.11, 2, 15.0, 0, 44, 42, 7, 002702C80FFEE27FF0B207FF000A31AD4611A15B
2019-08-05 17:00:00, 43.614600, -65.195200, 0, 2019, 8, 5, 17, 0, 12.17, 2, 15.0, 0, 44, 20, 9, 002702C40FFED6BFF0B209FF000A31A9461240AB
2019-08-05 16:00:00, 43.616200, -65.189600, 0, 2019, 8, 5, 16, 0, 12.26, 3, 15.0, 0, 48, 26, 10, 002702C00FFED7DFF0F20AFF000A31B1461320DC
2019-08-05 15:00:00, 43.618400, -65.184200, 0, 2019, 8, 5, 15, 0, 12.66, 1, 15.0, 0, 48, 36, 8, 002702BC0FFEDCDFF07208FF000A31BC4613F92C
