Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-03-25 19:00:00, 37.543200, -23.136400, 0, 2022, 3, 25, 19, 0, 16.42, 1011.6, -2.4, 2, 12.6, 0, 44, 42, 7, 002C6CCC0CA10BCE70A607FF0009BB145FBDF15B
2022-03-25 18:00:00, 37.536000, -23.138200, 0, 2022, 3, 25, 18, 0, 16.52, 1012.1, -2.5, 2, 12.6, 0, 44, 48, 9, 002C6CC80CAB0D0E60A609FF0009BAF05FBDA98B
2022-03-25 17:00:00, 37.528000, -23.140000, 0, 2022, 3, 25, 17, 0, 16.58, 1012.9, -2.7, 2, 12.6, 0, 44, 30, 9, 002C6CC40CBB0DCE40A609FF0009BAC85FBD60FB
2022-03-25 16:00:00, 37.520800, -23.141200, 0, 2022, 3, 25, 16, 0, 16.53, 1014.0, -2.4, 2, 12.6, 0, 44, 30, 8, 002C6CC00CD10D2E70A608FF0009BAA45FBD30FB
2022-03-25 15:00:00, 37.513800, -23.141200, 0, 2022, 3, 25, 15, 0, 16.60, 1014.6, -2.5, 2, 12.6, 0, 44, 30, 7, 002C6CBC0CDD0E0E60A607FF0009BA815FBD30FB
2022-03-25 14:00:00, 37.506800, -23.139200, 0, 2022, 3, 25, 14, 0, 16.57, 1015.6, -1.7, 2, 12.6, 0, 44, 42, 7, 002C6CB80CF10DAEE0A607FF0009BA5E5FBD815B
2022-03-25 13:00:00, 37.501800, -23.135200, 0, 2022, 3, 25, 13, 0, 16.74, 1016.3, -0.7, 2, 12.6, 0, 48, 48, 9, 002C6CB40CFF0FCF80A609FF0009BA455FBE218C
2022-03-25 12:00:00, 37.498000, -23.131400, 0, 2022, 3, 25, 12, 0, 16.79, 1017.1, 0.2, 1, 12.6, 0, 44, 28, 10, 002C6CB00D0F107010660AFF0009BA325FBEB8EB
2022-03-25 11:00:00, 37.493600, -23.128800, 0, 2022, 3, 25, 11, 0, 16.75, 1017.3, 0.5, 1, 12.6, 0, 44, 28, 10, 002C6CAC0D130FF040660AFF0009BA1C5FBF20EB
2022-03-25 10:00:00, 37.489200, -23.126400, 0, 2022, 3, 25, 10, 0, 16.75, 1017.1, 0.2, 2, 12.6, 0, 44, 28, 8, 002C6CA80D0F0FF010A608FF0009BA065FBF80EB
2022-03-25 09:00:00, 37.484800, -23.123400, 0, 2022, 3, 25, 9, 0, 16.77, 1016.9, 0.1, 1, 12.6, 0, 48, 24, 8, 002C6CA40D0B1030006608FF0009B9F05FBFF8CC
2022-03-25 08:00:00, 37.481400, -23.121800, 0, 2022, 3, 25, 8, 0, 16.72, 1016.8, -0.6, 1, 12.6, 0, 44, 22, 8, 002C6CA00D090F8F906608FF0009B9DF5FC038BB
2022-03-25 07:00:00, 37.476200, -23.121800, 0, 2022, 3, 25, 7, 0, 16.82, 1016.8, -0.7, 1, 12.6, 0, 44, 54, 8, 002C6C9C0D0910CF806608FF0009B9C55FC039BB
2022-03-25 06:00:00, 37.470600, -23.122400, 0, 2022, 3, 25, 6, 0, 16.78, 1016.8, -1.6, 1, 12.6, 0, 44, 42, 7, 002C6C980D09104EF06607FF0009B9A95FC0215B
2022-03-25 05:00:00, 37.464000, -23.122000, 0, 2022, 3, 25, 5, 0, 16.86, 1017.3, -2.2, 1, 12.6, 0, 48, 24, 9, 002C6C940D13114E906609FF0009B9885FC030CC
2022-03-25 04:00:00, 37.457600, -23.120000, 0, 2022, 3, 25, 4, 0, 16.91, 1017.5, -2.7, 1, 12.6, 0, 44, 24, 9, 002C6C900D1711EE406609FF0009B9685FC080CB
2022-03-25 03:00:00, 37.453000, -23.116400, 0, 2022, 3, 25, 3, 0, 16.93, 1018.4, -1.8, 1, 12.6, 0, 44, 24, 11, 002C6C8C0D29122ED0660BFF0009B9515FC110CB
2022-03-25 02:00:00, 37.451400, -23.114400, 0, 2022, 3, 25, 2, 0, 16.94, 1019.5, -1.3, 1, 12.6, 0, 44, 24, 22, 002C6C880D3F124F206616FF0009B9495FC160CB
2022-03-25 01:00:00, 37.449000, -23.116200, 0, 2022, 3, 25, 1, 0, 17.07, 1020.2, -0.6, 1, 12.6, 0, 48, 24, 6, 002C6C840D4D13EF906606FF0009B93D5FC118CC
2022-03-25 00:00:00, 37.446400, -23.118000, 0, 2022, 3, 25, 0, 0, 17.07, 1020.3, -0.3, 1, 12.6, 0, 44, 28, 7, 002C6C800D4F13EFC06607FF0009B9305FC0D0EB
2022-03-24 23:00:00, 37.444400, -23.120800, 0, 2022, 3, 24, 23, 0, 17.04, 1020.8, 0.3, 1, 12.6, 0, 44, 36, 9, 002C6C5C0D591390206609FF0009B9265FC0612B
2022-03-24 22:00:00, 37.442000, -23.126400, 0, 2022, 3, 24, 22, 0, 17.06, 1020.8, 0.1, 1, 12.6, 0, 44, 24, 6, 002C6C580D5913D0006606FF0009B91A5FBF80CB
2022-03-24 21:00:00, 37.439200, -23.132600, 0, 2022, 3, 24, 21, 0, 17.12, 1020.5, -0.1, 1, 12.6, 0, 44, 30, 9, 002C6C540D53148FE06609FF0009B90C5FBE88FB
2022-03-24 20:00:00, 37.434200, -23.140400, 0, 2022, 3, 24, 20, 0, 17.15, 1020.5, -0.4, 1, 12.6, 0, 44, 30, 9, 002C6C500D5314EFB06609FF0009B8F35FBD50FB
2022-03-24 19:00:00, 37.427400, -23.148600, 0, 2022, 3, 24, 19, 0, 17.22, 1020.7, -0.9, 1, 12.6, 0, 44, 28, 7, 002C6C4C0D5715CF606607FF0009B8D15FBC08EB
2022-03-24 18:00:00, 37.419200, -23.155600, 0, 2022, 3, 24, 18, 0, 17.30, 1020.6, -1.4, 1, 12.6, 0, 44, 24, 8, 002C6C480D5516CF106608FF0009B8A85FBAF0CB
2022-03-24 17:00:00, 37.409800, -23.159400, 0, 2022, 3, 24, 17, 0, 17.35, 1020.9, -1.6, 1, 12.6, 0, 44, 24, 8, 002C6C440D5B176EF06608FF0009B8795FBA58CB
2022-03-24 16:00:00, 37.400800, -23.161000, 0, 2022, 3, 24, 16, 0, 17.32, 1021.6, -1.3, 1, 12.6, 0, 44, 24, 12, 002C6C400D69170F20660CFF0009B84C5FBA18CB
2022-03-24 15:00:00, 37.393400, -23.160000, 0, 2022, 3, 24, 15, 0, 17.09, 1022.1, -1.2, 1, 12.6, 0, 44, 28, 8, 002C6C3C0D73142F306608FF0009B8275FBA40EB
2022-03-24 14:00:00, 37.388000, -23.158400, 0, 2022, 3, 24, 14, 0, 16.93, 1022.5, -0.9, 1, 12.6, 0, 44, 36, 9, 002C6C380D7B122F606609FF0009B80C5FBA812B
2022-03-24 13:00:00, 37.385200, -23.155000, 0, 2022, 3, 24, 13, 0, 16.84, 1023.0, -0.2, 1, 12.6, 0, 48, 28, 10, 002C6C340D85110FD0660AFF0009B7FE5FBB08EC
2022-03-24 12:00:00, 37.385400, -23.150800, 0, 2022, 3, 24, 12, 0, 16.72, 1023.3, 0.3, 1, 12.6, 0, 44, 28, 8, 002C6C300D8B0F90206608FF0009B7FF5FBBB0EB
2022-03-24 11:00:00, 37.388000, -23.148000, 0, 2022, 3, 24, 11, 0, 16.53, 1023.4, 0.3, 1, 12.6, 0, 48, 24, 10, 002C6C2C0D8D0D3020660AFF0009B80C5FBC20CC
2022-03-24 10:00:00, 37.391400, -23.147600, 0, 2022, 3, 24, 10, 0, 16.57, 1023.2, 0.3, 1, 12.6, 0, 48, 24, 12, 002C6C280D890DB020660CFF0009B81D5FBC30CC
2022-03-24 09:00:00, 37.394600, -23.149800, 0, 2022, 3, 24, 9, 0, 16.54, 1023.1, 0.4, 1, 12.6, 0, 48, 24, 8, 002C6C240D870D50306608FF0009B82D5FBBD8CC
2022-03-24 08:00:00, 37.396800, -23.153800, 0, 2022, 3, 24, 8, 0, 16.49, 1023.1, 0.0, 2, 12.6, 0, 48, 30, 7, 002C6C200D870CAFF0A607FF0009B8385FBB38FC
2022-03-24 07:00:00, 37.396600, -23.158000, 0, 2022, 3, 24, 7, 0, 16.58, 1022.9, -0.7, 2, 12.6, 0, 48, 30, 10, 002C6C1C0D830DCF80A60AFF0009B8375FBA90FC
