Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2020-01-14 18:00:00, 44.706400, -63.912600, 0, 2020, 1, 14, 18, 0, 7.05, 1019.5, -7.2, 2, 15.2, 0, 40, 28, 7, 002827480D3E96AB70B307FF000A46FC46DAA8EA
2020-01-14 17:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 17, 0, 0.58, 1025.7, -0.9, 2, 15.2, 0, 48, 24, 9, 002827440DBA45CF60B309FF000A440046B838CC
2020-01-14 16:00:00, 44.553600, -64.132800, 0, 2020, 1, 14, 16, 0, 3.40, 1026.5, 0.9, 1, 15.2, 0, 48, 24, 9, 002827400DCA6910807309FF000A440046B840CC
2020-01-14 15:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 15, 0, 3.48, 1026.7, 0.7, 1, 15.2, 0, 48, 24, 10, 0028273C0DCE6A1060730AFF000A440046B838CC
2020-01-14 14:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 14, 0, 3.12, 1026.6, 1.2, 1, 15.2, 0, 48, 40, 10, 002827380DCC6590B0730AFF000A440046B8394C
2020-01-14 13:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 13, 0, 2.52, 1025.6, 0.1, 2, 15.2, 0, 44, 24, 9, 002827340DB85E1000B309FF000A440046B838CB
2020-01-14 12:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 12, 0, -0.81, 1026.1, 0.6, 1, 15.2, 0, 52, 24, 7, 002827300DC23470507307FF000A440046B838CD
2020-01-14 11:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 11, 0, -0.51, 1025.4, -0.7, 0, 15.2, 0, 48, 24, 9, 0028272C0DB4382F803309FF000A440046B838CC
2020-01-14 10:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 10, 0, -0.87, 1025.4, -0.9, 0, 15.2, 0, 44, 28, 25, 002827280DB433AF603319FF000A440046B838EB
2020-01-14 09:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 9, 0, -0.87, 1025.5, -1.1, 0, 15.2, 0, 52, 24, 6, 002827240DB633AF403306FF000A440046B838CD
2020-01-14 08:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 8, 0, -0.95, 1026.1, -1.2, 0, 15.2, 0, 48, 24, 10, 002827200DC232AF30330AFF000A440046B838CC
2020-01-14 07:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 7, 0, -0.79, 1026.3, -1.6, 1, 15.2, 0, 44, 24, 13, 0028271C0DC634AEF0730DFF000A440046B838CB
2020-01-14 06:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 6, 0, -0.70, 1026.7, -2.2, 1, 15.2, 0, 48, 24, 9, 002827180DCE35CE907309FF000A440046B838CC
2020-01-14 05:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 5, 0, -0.52, 1027.3, -1.9, 2, 15.2, 0, 48, 28, 7, 002827140DDA380EC0B307FF000A440046B838EC
2020-01-14 04:00:00, 44.553600, -64.132800, 0, 2020, 1, 14, 4, 0, 1.98, 1027.9, -2.2, 2, 15.2, 0, 48, 28, 10, 002827100DE6574E90B30AFF000A440046B840EC
2020-01-14 03:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 3, 0, 2.91, 1028.9, -1.6, 2, 15.2, 0, 44, 22, 9, 0028270C0DFA62EEF0B309FF000A440046B838BB
2020-01-14 02:00:00, 44.553600, -64.132800, 0, 2020, 1, 14, 2, 0, 2.63, 1029.2, -2.6, 6, 15.2, 0, 48, 24, 10, 002827080E005F6E51B30AFF000A440046B840CC
2020-01-14 01:00:00, 44.553600, -64.133000, 0, 2020, 1, 14, 1, 0, -1.67, 1030.1, -2.5, 0, 15.2, 0, 44, 24, 9, 002827040E1229AE603309FF000A440046B838CB
