Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2020-02-04 16:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 16, 0, 0.13, 1, 14.6, 0, 48, 34, 9, 002842400FFE403FF07009FF000BE484750F511C
2020-02-04 15:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 15, 0, 0.38, 1, 14.6, 0, 48, 24, 8, 0028423C0FFE435FF07008FF000BE484750F50CC
2020-02-04 14:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 14, 0, 0.75, 0, 14.6, 0, 48, 24, 7, 002842380FFE47FFF03007FF000BE484750F50CC
2020-02-04 13:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 13, 0, 0.48, 0, 14.6, 0, 48, 22, 10, 002842340FFE449FF0300AFF000BE484750F50BC
2020-02-04 12:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 12, 0, 0.53, 0, 14.6, 0, 48, 24, 9, 002842300FFE453FF03009FF000BE484750F50CC
2020-02-04 11:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 11, 0, -0.02, 1, 14.6, 0, 44, 32, 9, 0028422C0FFE3E5FF07009FF000BE484750F510B
2020-02-04 10:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 10, 0, 0.76, 1, 14.6, 0, 44, 24, 8, 002842280FFE481FF07008FF000BE484750F50CB
2020-02-04 09:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 9, 0, 0.43, 4, 14.6, 0, 48, 24, 7, 002842240FFE43FFF13007FF000BE484750F50CC
2020-02-04 08:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 8, 0, -1.80, 3, 14.6, 0, 48, 24, 10, 002842200FFE281FF0F00AFF000BE484750F50CC
2020-02-04 07:00:00, 65.879200, 11.791000, 0, 2020, 2, 4, 7, 0, -1.85, 1, 14.6, 0, 48, 24, 9, 0028421C0FFE277FF07009FF000BE484750F58CC
2020-02-04 06:00:00, 65.879200, 11.791000, 0, 2020, 2, 4, 6, 0, -1.68, 3, 14.6, 0, 48, 24, 11, 002842180FFE299FF0F00BFF000BE484750F58CC
2020-02-04 05:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 5, 0, -1.55, 2, 14.6, 0, 44, 34, 7, 002842140FFE2B3FF0B007FF000BE484750F511B
2020-02-04 04:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 4, 0, -1.44, 1, 14.6, 0, 48, 24, 7, 002842100FFE2C9FF07007FF000BE484750F50CC
2020-02-04 03:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 3, 0, -1.43, 2, 14.6, 0, 48, 34, 9, 0028420C0FFE2CBFF0B009FF000BE484750F511C
2020-02-04 02:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 2, 0, -1.37, 3, 14.6, 0, 48, 24, 10, 002842080FFE2D7FF0F00AFF000BE484750F50CC
2020-02-04 01:00:00, 65.879200, 11.791000, 0, 2020, 2, 4, 1, 0, -1.41, 3, 14.6, 0, 48, 24, 9, 002842040FFE2CFFF0F009FF000BE484750F58CC
2020-02-04 00:00:00, 65.879200, 11.790800, 0, 2020, 2, 4, 0, 0, -1.09, 1, 14.6, 0, 48, 24, 8, 002842000FFE30FFF07008FF000BE484750F50CC
2020-02-03 23:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 23, 0, -0.98, 2, 14.6, 0, 48, 24, 10, 002841DC0FFE325FF0B00AFF000BE484750F50CC
2020-02-03 22:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 22, 0, -0.78, 1, 14.6, 0, 48, 24, 10, 002841D80FFE34DFF0700AFF000BE484750F50CC
2020-02-03 21:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 21, 0, -0.45, 3, 14.6, 0, 48, 24, 6, 002841D40FFE38FFF0F006FF000BE484750F50CC
2020-02-03 20:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 20, 0, -0.03, 1, 14.6, 0, 48, 24, 7, 002841D00FFE3E3FF07007FF000BE484750F50CC
2020-02-03 19:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 19, 0, 0.04, 2, 14.6, 0, 48, 24, 7, 002841CC0FFE3F1FF0B007FF000BE484750F50CC
2020-02-03 18:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 18, 0, -0.12, 1, 14.6, 0, 48, 22, 7, 002841C80FFE3D1FF07007FF000BE484750F50BC
2020-02-03 17:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 17, 0, -0.77, 4, 14.6, 0, 48, 24, 9, 002841C40FFE34FFF13009FF000BE484750F50CC
2020-02-03 16:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 16, 0, -0.61, 1, 14.6, 0, 48, 24, 7, 002841C00FFE36FFF07007FF000BE484750F50CC
2020-02-03 15:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 15, 0, 0.15, 4, 14.8, 0, 48, 34, 7, 002841BC0FFE407FF13107FF000BE484750F511C
2020-02-03 14:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 14, 0, 3.10, 10, 14.6, 0, 44, 24, 7, 002841B80FFE655FF2B007FF000BE484750F50CB
2020-02-03 13:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 13, 0, 0.77, 44, 14.8, 0, 48, 24, 10, 002841B40FFE483FFB310AFF000BE484750F50CC
2020-02-03 12:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 12, 0, 6.25, 38, 14.8, 0, 44, 22, 8, 002841B00FFE8CBFF9B108FF000BE484750F50BB
2020-02-03 11:00:00, 65.879200, 11.791000, 0, 2020, 2, 3, 11, 0, 0.62, 17, 14.6, 0, 44, 22, 9, 002841AC0FFE465FF47009FF000BE484750F58BB
2020-02-03 10:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 10, 0, 0.03, 2, 14.6, 0, 44, 24, 9, 002841A80FFE3EFFF0B009FF000BE484750F50CB
2020-02-03 09:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 9, 0, -0.11, 1, 14.6, 0, 48, 24, 7, 002841A40FFE3D3FF07007FF000BE484750F50CC
2020-02-03 08:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 8, 0, -0.29, 2, 14.6, 0, 48, 24, 7, 002841A00FFE3AFFF0B007FF000BE484750F50CC
2020-02-03 07:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 7, 0, 0.46, 4, 14.6, 0, 48, 24, 10, 0028419C0FFE445FF1300AFF000BE484750F50CC
2020-02-03 06:00:00, 65.879200, 11.791000, 0, 2020, 2, 3, 6, 0, 0.64, 5, 14.6, 0, 48, 22, 7, 002841980FFE469FF17007FF000BE484750F58BC
2020-02-03 05:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 5, 0, 0.17, 4, 14.6, 0, 44, 34, 11, 002841940FFE40BFF1300BFF000BE484750F511B
2020-02-03 04:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 4, 0, 0.83, 3, 14.6, 0, 48, 24, 6, 002841900FFE48FFF0F006FF000BE484750F50CC
2020-02-03 03:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 3, 0, 0.89, 2, 14.6, 0, 48, 34, 7, 0028418C0FFE49BFF0B007FF000BE484750F511C
2020-02-03 02:00:00, 65.879200, 11.791000, 0, 2020, 2, 3, 2, 0, 0.80, 5, 14.8, 0, 48, 22, 10, 002841880FFE489FF1710AFF000BE484750F58BC
2020-02-03 01:00:00, 65.879200, 11.791000, 0, 2020, 2, 3, 1, 0, 0.84, 16, 14.8, 0, 44, 24, 8, 002841840FFE491FF43108FF000BE484750F58CB
2020-02-03 00:00:00, 65.879200, 11.790800, 0, 2020, 2, 3, 0, 0, 0.79, 3, 14.8, 0, 48, 24, 8, 002841800FFE487FF0F108FF000BE484750F50CC
2020-02-02 23:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 23, 0, 1.44, 5, 14.8, 0, 48, 24, 10, 0028415C0FFE509FF1710AFF000BE484750F50CC
2020-02-02 22:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 22, 0, 1.45, 9, 14.8, 0, 48, 24, 7, 002841580FFE50BFF27107FF000BE484750F50CC
2020-02-02 21:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 21, 0, 1.59, 1, 14.8, 0, 48, 28, 8, 002841540FFE527FF07108FF000BE484750F50EC
2020-02-02 20:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 20, 0, 1.34, 5, 14.8, 0, 48, 24, 7, 002841500FFE4F5FF17107FF000BE484750F50CC
2020-02-02 19:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 19, 0, 2.07, 4, 14.8, 0, 48, 22, 10, 0028414C0FFE587FF1310AFF000BE484750F50BC
2020-02-02 18:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 18, 0, 2.07, 3, 14.8, 0, 48, 24, 7, 002841480FFE587FF0F107FF000BE484750F50CC
2020-02-02 17:00:00, 65.879200, 11.791000, 0, 2020, 2, 2, 17, 0, 2.92, 1, 14.8, 0, 48, 24, 7, 002841440FFE631FF07107FF000BE484750F58CC
2020-02-02 16:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 16, 0, 3.08, 4, 14.8, 0, 48, 24, 10, 002841400FFE651FF1310AFF000BE484750F50CC
2020-02-02 15:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 15, 0, 2.79, 3, 14.8, 0, 44, 24, 10, 0028413C0FFE617FF0F10AFF000BE484750F50CB
2020-02-02 14:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 14, 0, 3.29, 1, 14.8, 0, 44, 24, 9, 002841380FFE67BFF07109FF000BE484750F50CB
2020-02-02 13:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 13, 0, 3.35, 1, 14.8, 0, 48, 24, 10, 002841340FFE687FF0710AFF000BE484750F50CC
2020-02-02 12:00:00, 65.879200, 11.791000, 0, 2020, 2, 2, 12, 0, 3.90, 1, 14.8, 0, 44, 24, 8, 002841300FFE6F5FF07108FF000BE484750F58CB
2020-02-02 11:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 11, 0, 3.15, 1, 14.8, 0, 44, 24, 7, 0028412C0FFE65FFF07107FF000BE484750F50CB
2020-02-02 10:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 10, 0, 3.04, 1, 14.8, 0, 48, 24, 9, 002841280FFE649FF07109FF000BE484750F50CC
2020-02-02 09:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 9, 0, 3.74, 1, 14.8, 0, 48, 24, 7, 002841240FFE6D5FF07107FF000BE484750F50CC
2020-02-02 08:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 8, 0, 2.85, 2, 14.8, 0, 48, 24, 10, 002841200FFE623FF0B10AFF000BE484750F50CC
2020-02-02 07:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 7, 0, 3.00, 1, 14.8, 0, 48, 20, 8, 0028411C0FFE641FF07108FF000BE484750F50AC
2020-02-02 06:00:00, 65.879200, 11.791000, 0, 2020, 2, 2, 6, 0, 3.40, 1, 14.8, 0, 48, 24, 7, 002841180FFE691FF07107FF000BE484750F58CC
2020-02-02 05:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 5, 0, 3.36, 2, 14.8, 0, 44, 24, 14, 002841140FFE689FF0B10EFF000BE484750F50CB
2020-02-02 04:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 4, 0, 3.80, 1, 14.8, 0, 48, 24, 7, 002841100FFE6E1FF07107FF000BE484750F50CC
2020-02-02 03:00:00, 65.879200, 11.790800, 0, 2020, 2, 2, 3, 0, 4.17, 1, 14.8, 0, 48, 34, 7, 0028410C0FFE72BFF07107FF000BE484750F511C
2020-02-02 02:00:00, 65.879200, 11.791000, 0, 2020, 2, 2, 2, 0, 4.13, 1, 14.8, 0, 48, 24, 10, 002841080FFE723FF0710AFF000BE484750F58CC
2020-02-02 01:00:00, 65.879200, 11.791000, 0, 2020, 2, 2, 1, 0, 4.40, 1, 14.8, 0, 44, 24, 10, 002841040FFE759FF0710AFF000BE484750F58CB
2020-02-02 00:00:00, 65.879200, 11.791000, 0, 2020, 2, 2, 0, 0, 3.74, 1, 14.8, 0, 48, 22, 8, 002841000FFE6D5FF07108FF000BE484750F58BC
2020-02-01 23:00:00, 65.879200, 11.791000, 0, 2020, 2, 1, 23, 0, 4.09, 1, 14.8, 0, 48, 24, 7, 002840DC0FFE71BFF07107FF000BE484750F58CC
2020-02-01 22:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 22, 0, 3.79, 1, 14.8, 0, 48, 24, 7, 002840D80FFE6DFFF07107FF000BE484750F50CC
2020-02-01 21:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 21, 0, 3.66, 1, 14.8, 0, 48, 24, 10, 002840D40FFE6C5FF0710AFF000BE484750F50CC
2020-02-01 20:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 20, 0, 3.72, 1, 14.8, 0, 44, 24, 16, 002840D00FFE6D1FF07110FF000BE484750F50CB
2020-02-01 19:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 19, 0, 3.23, 2, 14.8, 0, 48, 24, 9, 002840CC0FFE66FFF0B109FF000BE484750F50CC
2020-02-01 18:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 18, 0, 3.58, 2, 14.8, 0, 48, 24, 7, 002840C80FFE6B5FF0B107FF000BE484750F50CC
2020-02-01 17:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 17, 0, 3.60, 1, 14.8, 0, 48, 24, 10, 002840C40FFE6B9FF0710AFF000BE484750F50CC
2020-02-01 16:00:00, 65.879200, 11.790800, 0, 2020, 2, 1, 16, 0, 3.60, 2, 14.8, 0, 48, 24, 8, 002840C00FFE6B9FF0B108FF000BE484750F50CC
