Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-12-15 10:00:00, 45.053400, -66.740200, 0, 2019, 12, 15, 10, 0, 8.13, 30, 15.8, 63, 0, 254, 1, 002787A80FFEA43FF7B601FF03FA4DC34520DFF0
2019-12-15 09:00:00, 45.053400, -66.740200, 0, 2019, 12, 15, 9, 0, 8.12, 4, 15.8, 0, 44, 28, 9, 002787A40FFEA41FF13609FF000A4DC34520D8EB
2019-12-15 08:00:00, 45.053600, -66.740200, 0, 2019, 12, 15, 8, 0, 8.10, 4, 15.8, 0, 48, 22, 7, 002787A00FFEA3DFF13607FF000A4DC44520D8BC
2019-12-15 07:00:00, 45.053600, -66.740000, 0, 2019, 12, 15, 7, 0, 8.07, 5, 15.8, 0, 48, 118, 8, 0027879C0FFEA37FF17608FF000A4DC44520E3BC
2019-12-15 06:00:00, 45.055200, -66.737000, 0, 2019, 12, 15, 6, 0, 8.04, 7, 15.8, 0, 48, 88, 9, 002787980FFEA31FF1F609FF000A4DCC45215ACC
2019-12-15 05:00:00, 45.055800, -66.735400, 0, 2019, 12, 15, 5, 0, 8.05, 5, 15.8, 0, 44, 56, 11, 002787940FFEA33FF1760BFF000A4DCF452199CB
2019-12-15 04:00:00, 45.056000, -66.735200, 0, 2019, 12, 15, 4, 0, 8.05, 6, 15.8, 0, 48, 136, 10, 002787900FFEA33FF1B60AFF000A4DD04521A44C
2019-12-15 03:00:00, 45.053600, -66.737000, 0, 2019, 12, 15, 3, 0, 7.98, 5, 15.8, 0, 44, 216, 7, 0027878C0FFEA25FF17607FF000A4DC445215ECB
2019-12-15 02:00:00, 45.049600, -66.742600, 0, 2019, 12, 15, 2, 0, 8.04, 6, 15.8, 0, 48, 78, 9, 002787880FFEA31FF1B609FF000A4DB045207A7C
2019-12-15 01:00:00, 45.047200, -66.747800, 0, 2019, 12, 15, 1, 0, 7.99, 7, 15.8, 0, 48, 130, 9, 002787840FFEA27FF1F609FF000A4DA4451FAC1C
