Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-12-15 23:00:00, 45.156000, -66.189800, 0, 2019, 12, 15, 23, 0, 8.60, 996.9, 4.8, 3, 15.8, 0, 44, 72, 19, 002787DC0B7AAA12F0F613FF000A4FC44576DA4B
2019-12-15 22:00:00, 45.155800, -66.190800, 0, 2019, 12, 15, 22, 0, 8.61, 995.3, 5.4, 1, 15.8, 0, 48, 28, 9, 002787D80B5AAA33507609FF000A4FC34576B0EC
2019-12-15 21:00:00, 45.155800, -66.191000, 0, 2019, 12, 15, 21, 0, 8.69, 993.4, 4.5, 2, 15.8, 0, 48, 24, 7, 002787D40B34AB32C0B607FF000A4FC34576A8CC
2019-12-15 20:00:00, 45.155800, -66.191000, 0, 2019, 12, 15, 20, 0, 8.70, 992.1, 3.7, 3, 15.8, 0, 48, 42, 11, 002787D00B1AAB5240F60BFF000A4FC34576A95C
2019-12-15 19:00:00, 45.155800, -66.191600, 0, 2019, 12, 15, 19, 0, 8.69, 989.9, 1.6, 3, 15.8, 0, 48, 78, 12, 002787CC0AEEAB30F0F60CFF000A4FC34576927C
2019-12-15 18:00:00, 45.155800, -66.190400, 0, 2019, 12, 15, 18, 0, 8.61, 988.9, 0.8, 4, 15.8, 0, 48, 58, 8, 002787C80ADAAA30713608FF000A4FC34576C1DC
2019-12-15 17:00:00, 45.155200, -66.186800, 0, 2019, 12, 15, 17, 0, 8.44, 988.4, 1.2, 3, 15.8, 0, 48, 148, 21, 002787C40AD0A810B0F615FF000A4FC0457754AC
2019-12-15 16:00:00, 45.149400, -66.195600, 0, 2019, 12, 15, 16, 0, 8.24, 988.3, 1.6, 4, 15.8, 0, 48, 104, 9, 002787C00ACEA590F13609FF000A4FA34575F34C
2019-12-15 15:00:00, 45.140400, -66.224000, 0, 2019, 12, 15, 15, 0, 8.11, 988.1, 2.5, 5, 15.8, 0, 40, 196, 8, 002787BC0ACAA3F1817608FF000A4F764571862A
2019-12-15 14:00:00, 45.133200, -66.263600, 0, 2019, 12, 15, 14, 0, 8.08, 987.3, 1.6, 5, 15.8, 0, 48, 232, 9, 002787B80ABAA390F17609FF000A4F52456B574C
2019-12-15 13:00:00, 45.124000, -66.303400, 0, 2019, 12, 15, 13, 0, 8.03, 986.7, 1.2, 6, 15.8, 0, 44, 188, 9, 002787B40AAEA2F0B1B609FF000A4F2445651DEB
2019-12-15 12:00:00, 45.117800, -66.331800, 0, 2019, 12, 15, 12, 0, 7.99, 985.6, 0.1, 4, 15.8, 0, 48, 136, 11, 002787B00A98A27001360BFF000A4F054560AC4C
2019-12-15 11:00:00, 45.115000, -66.340200, 0, 2019, 12, 15, 11, 0, 7.91, 985.7, -0.1, 4, 15.8, 0, 40, 138, 9, 002787AC0A9AA16FE13609FF000A4EF7455F5C5A
2019-12-15 10:00:00, 45.114600, -66.336600, 0, 2019, 12, 15, 10, 0, 7.92, 985.5, 0.0, 4, 15.8, 0, 44, 182, 7, 002787A80A96A18FF13607FF000A4EF5455FEDBB
2019-12-15 09:00:00, 45.126400, -66.293200, 0, 2019, 12, 15, 9, 0, 7.97, 985.5, -1.2, 5, 15.8, 60, 48, 254, 14, 002787A40A96A22F31760EFF03CA4F304566B7FC
2019-12-15 08:00:00, 45.126400, -66.293200, 0, 2019, 12, 15, 8, 0, 7.91, 985.8, -2.3, 5, 15.8, 0, 48, 198, 8, 002787A00A9CA16E817608FF000A4F304566B63C
2019-12-15 07:00:00, 45.131600, -66.262600, 0, 2019, 12, 15, 7, 0, 7.77, 985.5, -4.8, 5, 15.8, 0, 48, 172, 17, 0027879C0A969FACF17611FF000A4F4A456B7D6C
2019-12-15 06:00:00, 45.138400, -66.244200, 0, 2019, 12, 15, 6, 0, 7.71, 986.8, -5.1, 3, 15.8, 0, 48, 54, 9, 002787980AB09EECC0F609FF000A4F6C456E59BC
2019-12-15 05:00:00, 45.139400, -66.240800, 0, 2019, 12, 15, 5, 0, 7.70, 988.1, -4.8, 3, 15.8, 0, 48, 24, 10, 002787940ACA9ECCF0F60AFF000A4F71456EE0CC
2019-12-15 04:00:00, 45.139200, -66.240600, 0, 2019, 12, 15, 4, 0, 7.69, 990.3, -3.4, 4, 15.8, 0, 48, 106, 7, 002787900AF69EADD13607FF000A4F70456EEB5C
2019-12-15 03:00:00, 45.139200, -66.240600, 0, 2019, 12, 15, 3, 0, 7.80, 991.9, -3.3, 8, 15.8, 122, 44, 254, 11, 0027878C0B16A00DE2360BFF07AA4F70456EEFFB
2019-12-15 02:00:00, 45.139200, -66.240600, 0, 2019, 12, 15, 2, 0, 7.92, 992.9, -3.4, 8, 15.8, 62, 48, 254, 24, 002787880B2AA18DD23618FF03EA4F70456EEFFC
2019-12-15 01:00:00, 45.139200, -66.240600, 0, 2019, 12, 15, 1, 0, 7.67, 993.7, -3.4, 2, 15.8, 0, 48, 108, 7, 002787840B3A9E6DD0B607FF000A4F70456EEB6C
2019-12-15 00:00:00, 45.139000, -66.240600, 0, 2019, 12, 15, 0, 0, 6.59, 995.2, -3.7, 1, 15.8, 0, 44, 30, 9, 002787800B5890EDA07609FF000A4F6F456EE8FB
2019-12-14 23:00:00, 45.138600, -66.241200, 0, 2019, 12, 14, 23, 0, 6.76, 996.3, -5.2, 1, 15.8, 0, 44, 28, 17, 0027875C0B6E930CB07611FF000A4F6D456ED0EB
2019-12-14 22:00:00, 45.138600, -66.241200, 0, 2019, 12, 14, 22, 0, 7.42, 997.0, -7.0, 1, 15.8, 0, 48, 24, 10, 002787580B7C9B4B90760AFF000A4F6D456ED0CC
2019-12-14 21:00:00, 45.138600, -66.241400, 0, 2019, 12, 14, 21, 0, 7.95, 999.0, -8.2, 2, 15.8, 0, 44, 54, 10, 002787540BA4A1EAD0B60AFF000A4F6D456EC9BB
2019-12-14 20:00:00, 45.138800, -66.242000, 0, 2019, 12, 14, 20, 0, 8.04, 1001.5, -8.4, 2, 15.8, 0, 48, 54, 7, 002787500BD6A30AB0B607FF000A4F6E456EB1BC
2019-12-14 19:00:00, 45.138800, -66.242000, 0, 2019, 12, 14, 19, 0, 7.84, 1004.0, -8.6, 7, 15.8, 0, 48, 28, 10, 0027874C0C08A08A91F60AFF000A4F6E456EB0EC
2019-12-14 18:00:00, 45.139000, -66.242000, 0, 2019, 12, 14, 18, 0, 8.00, 1007.2, -9.3, 8, 15.8, 122, 44, 254, 10, 002787480C48A28A22360AFF07AA4F6F456EB7FB
2019-12-14 17:00:00, 45.139000, -66.242000, 0, 2019, 12, 14, 17, 0, 7.89, 1009.9, -8.8, 3, 15.8, 62, 44, 254, 8, 002787440C7EA12A70F608FF03EA4F6F456EB7FB
2019-12-14 16:00:00, 45.139000, -66.242000, 0, 2019, 12, 14, 16, 0, 7.72, 1012.6, -8.5, 2, 15.8, 0, 44, 102, 9, 002787400CB49F0AA0B609FF000A4F6F456EB33B
2019-12-14 15:00:00, 45.139200, -66.241200, 0, 2019, 12, 14, 15, 0, 7.68, 1016.5, -6.2, 3, 15.8, 0, 44, 90, 12, 0027873C0D029E8C10F60CFF000A4F70456ED2DB
2019-12-14 14:00:00, 45.139200, -66.241000, 0, 2019, 12, 14, 14, 0, 7.60, 1018.7, -5.1, 3, 15.8, 0, 52, 34, 9, 002787380D2E9D8CC0F609FF000A4F70456ED91D
