platform_code,time,latitude,longitude,sst,slp,observation_depth
,UTC,degrees_north,degrees_east,Deg C,hPa,
4401827,2019-09-02T09:00:00Z,45.4526,-57.6374,16.57,1029.7,0
4401827,2019-09-02T10:00:00Z,45.4408,-57.635,16.59,1030.1,0
4401827,2019-09-02T11:00:00Z,45.431,-57.638,16.58,1029.6,0
4401827,2019-09-02T12:00:00Z,45.4242,-57.646,16.62,1029.5,0
4401827,2019-09-02T13:00:00Z,45.4204,-57.6578,16.73,1029.4,0
4401827,2019-09-02T14:00:00Z,45.4236,-57.6702,16.88,1029.1,0
4401827,2019-09-02T15:01:00Z,45.4298,-57.68,16.95,1028.8,0
4401827,2019-09-02T16:01:00Z,45.4342,-57.688,17,1028.4,0
4401827,2019-09-02T17:00:00Z,45.441,-57.6894,17.08,1028.3,0
4401827,2019-09-02T18:00:00Z,45.4472,-57.6866,17.09,1028.1,0
4401827,2019-09-02T19:00:00Z,45.4518,-57.6816,17.09,1027.5,0
4401827,2019-09-02T20:00:00Z,45.4536,-57.6722,17.05,1026.8,0
4401827,2019-09-02T21:00:00Z,45.4524,-57.6622,16.95,1026.3,0
4401827,2019-09-02T22:01:00Z,45.449,-57.6504,16.89,1026.2,0
4401827,2019-09-02T23:00:00Z,45.4444,-57.6438,16.85,1026.4,0
4401827,2019-09-03T00:01:00Z,45.442,-57.6376,16.84,1026,0
4401827,2019-09-03T01:00:00Z,45.44,-57.6342,16.87,1025.4,0
4401827,2019-09-03T02:00:00Z,45.441,-57.6346,16.84,1024.7,0
4401827,2019-09-03T03:00:00Z,45.4414,-57.634,16.81,1024.3,0
4401827,2019-09-03T04:00:00Z,45.441,-57.6342,16.8,1024,0
4401827,2019-09-03T05:00:00Z,45.4408,-57.6354,16.79,1023.4,0
4401827,2019-09-03T06:00:00Z,45.4396,-57.6364,16.77,1022.5,0
4401827,2019-09-03T07:00:00Z,45.44,-57.6364,16.76,1022,0
4401827,2019-09-03T08:00:00Z,45.4414,-57.6334,16.74,1021.3,0
4401827,2019-09-03T09:00:00Z,45.4406,-57.6288,16.72,1021,0
4401827,2019-09-03T10:00:00Z,45.4386,-57.6264,16.72,1020.8,0
4401827,2019-09-03T11:00:00Z,45.4402,-57.6252,16.72,1020.2,0
4401827,2019-09-03T12:00:00Z,45.444,-57.6234,16.71,1019.9,0
4401827,2019-09-03T13:00:00Z,45.4478,-57.6196,16.72,1019.2,0
4401827,2019-09-03T14:00:00Z,45.4548,-57.6142,16.71,1018.7,0
4401827,2019-09-03T15:00:00Z,45.4632,-57.6074,16.69,1018.1,0
4401827,2019-09-03T16:00:00Z,45.4706,-57.596,16.69,1017.5,0
4401827,2019-09-03T17:00:00Z,45.4766,-57.5814,16.7,1017.3,0
4401827,2019-09-03T18:00:00Z,45.4792,-57.5624,16.71,1017.3,0
4401827,2019-09-03T19:00:00Z,45.475,-57.541,16.7,1017.1,0
4401827,2019-09-03T20:00:00Z,45.4662,-57.5222,16.71,1016.9,0
4401827,2019-09-03T21:00:00Z,45.4552,-57.5076,16.71,1016.9,0
4401827,2019-09-03T22:00:00Z,45.444,-57.4968,16.7,1017.5,0
4401827,2019-09-03T23:00:00Z,45.4324,-57.4928,16.71,1017.9,0
4401827,2019-09-04T00:00:00Z,45.422,-57.4968,16.71,1018.3,0
4401827,2019-09-04T01:00:00Z,45.4158,-57.5066,16.68,1018.8,0
4401827,2019-09-04T02:00:00Z,45.414,-57.5176,16.64,1019.1,0
4401827,2019-09-04T03:00:00Z,45.4178,-57.5288,16.61,1018.9,0
4401827,2019-09-04T04:00:00Z,45.4238,-57.5364,16.59,1019,0
4401827,2019-09-04T05:00:00Z,45.4312,-57.5382,16.57,1019.3,0
4401827,2019-09-04T06:00:00Z,45.4376,-57.535,16.56,1019.3,0
4401827,2019-09-04T07:01:00Z,45.4436,-57.5278,16.57,1019.8,0
4401827,2019-09-04T08:00:00Z,45.4456,-57.517,16.58,1020.2,0
4401827,2019-09-04T09:00:00Z,45.4466,-57.5046,16.59,1020.6,0
4401827,2019-09-04T10:00:00Z,45.444,-57.4908,16.59,1020.9,0
4401827,2019-09-04T11:00:00Z,45.4432,-57.4774,16.63,1021.4,0
4401827,2019-09-04T12:00:00Z,45.4424,-57.463,16.68,1021.4,0
4401827,2019-09-04T13:00:00Z,45.4412,-57.4536,16.71,1021.1,0
4401827,2019-09-04T14:00:00Z,45.4402,-57.446,16.84,1020.9,0
4401827,2019-09-04T15:00:00Z,45.4374,-57.4382,17.07,1020.7,0
4401827,2019-09-04T16:00:00Z,45.4328,-57.4318,17.18,1020.7,0
4401827,2019-09-04T17:00:00Z,45.4272,-57.4276,17.33,1020.1,0
4401827,2019-09-04T18:00:00Z,45.4224,-57.4276,17.38,1019.9,0
4401827,2019-09-04T19:00:00Z,45.4176,-57.4314,17.3,1019.7,0
4401827,2019-09-04T20:00:00Z,45.4152,-57.4374,17.35,1019.5,0
4401827,2019-09-04T21:00:00Z,45.4152,-57.4408,17.21,1019.5,0
4401827,2019-09-04T22:00:00Z,45.419,-57.4426,17.13,1019.3,0
4401827,2019-09-04T23:00:00Z,45.4262,-57.4458,17.12,1018.6,0
4401827,2019-09-05T00:00:00Z,45.432,-57.4436,17.02,1018.8,0
4401827,2019-09-05T01:00:00Z,45.44,-57.4374,16.98,1018.3,0
4401827,2019-09-05T02:00:00Z,45.4506,-57.4296,16.97,1017.5,0
4401827,2019-09-05T03:00:00Z,45.4616,-57.417,16.95,1017,0
4401827,2019-09-05T04:00:00Z,45.4698,-57.3984,16.95,1016.7,0
4401827,2019-09-05T05:00:00Z,45.4704,-57.3762,16.93,1016.2,0
4401827,2019-09-05T06:00:00Z,45.4636,-57.3542,16.9,1015.1,0
4401827,2019-09-05T07:00:00Z,45.4516,-57.3348,16.88,1014.6,0
4401827,2019-09-05T08:00:00Z,45.4374,-57.3218,16.84,1014.5,0
4401827,2019-09-05T09:00:00Z,45.4252,-57.318,16.81,1014.2,0
4401827,2019-09-05T10:01:00Z,45.419,-57.3204,16.8,1013.7,0
4401827,2019-09-05T11:00:00Z,45.4082,-57.3282,16.8,1013.8,0
4401827,2019-09-05T12:00:00Z,45.4062,-57.335,16.81,1013,0
4401827,2019-09-05T13:00:00Z,45.41,-57.3414,16.83,1013.2,0
4401827,2019-09-05T14:00:00Z,45.4192,-57.3444,16.87,1012.4,0
4401827,2019-09-05T15:00:00Z,45.43,-57.3434,16.95,1012.1,0
4401827,2019-09-05T17:02:00Z,45.45,-57.3228,17.02,1011.6,0
4401827,2019-09-05T18:00:00Z,45.456,-57.3072,17.03,1011.8,0
4401827,2019-09-05T19:00:00Z,45.459,-57.2918,17.03,1011.9,0
4401827,2019-09-05T20:00:00Z,45.4592,-57.2722,17.02,1012.6,0
4401827,2019-09-05T21:00:00Z,45.4532,-57.2532,17.06,1012.5,0
4401827,2019-09-05T22:01:00Z,45.4496,-57.238,17.05,1013.1,0
4401827,2019-09-05T23:01:00Z,45.4448,-57.2292,17.01,1013.5,0
4401827,2019-09-06T00:00:00Z,45.4388,-57.2256,16.93,1013.9,0
4401827,2019-09-06T01:00:00Z,45.4346,-57.2244,16.91,1014,0
4401827,2019-09-06T02:01:00Z,45.4316,-57.2252,16.89,1014,0
4401827,2019-09-06T03:01:00Z,45.432,-57.2296,16.86,1014.3,0
4401827,2019-09-06T04:00:00Z,45.4336,-57.2356,16.84,1014.3,0
4401827,2019-09-06T05:00:00Z,45.4358,-57.2426,16.84,1014.2,0
4401827,2019-09-06T06:00:00Z,45.4418,-57.251,16.84,1014.2,0
4401827,2019-09-06T07:00:00Z,45.4488,-57.2534,16.82,1014,0
4401827,2019-09-06T08:00:00Z,45.4546,-57.2468,16.81,1014.5,0
4401827,2019-09-06T09:00:00Z,45.4604,-57.2422,16.82,1015.4,0
4401827,2019-09-06T10:00:00Z,45.468,-57.2326,16.81,1015.8,0
4401827,2019-09-06T11:00:00Z,45.4764,-57.2166,16.82,1015.9,0
4401827,2019-09-06T12:00:00Z,45.4832,-57.193,16.85,1016.5,0
4401827,2019-09-06T13:00:00Z,45.4836,-57.1726,16.89,1016.8,0
4401827,2019-09-06T14:03:00Z,45.4798,-57.1556,16.99,1017.2,0
4401827,2019-09-06T15:00:00Z,45.473,-57.1426,17.06,1017.3,0
4401827,2019-09-06T16:00:00Z,45.4664,-57.135,17.14,1017.5,0
4401827,2019-09-06T17:00:00Z,45.4582,-57.1328,17.16,1017.4,0
4401827,2019-09-06T18:02:00Z,45.4516,-57.1366,17.16,1017.7,0
4401827,2019-09-06T19:00:00Z,45.446,-57.1426,17.17,1017.9,0
4401827,2019-09-06T20:00:00Z,45.4436,-57.1526,17.16,1018.4,0
4401827,2019-09-06T21:00:00Z,45.4434,-57.1618,17.09,1019,0
4401827,2019-09-06T22:00:00Z,45.4474,-57.167,17.05,1019.6,0
