"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"3490382","31567681","Osker 888","Nov 4 2019 09:57:54.001 AM","45.386733","-61.001414","50","41","6","false","0.0","0.360","0.194","1.2"
"3490381","31567677","Osker 887","Nov 4 2019 09:58:24.001 AM","45.386752","-61.001203","79","43","8","false","57.0","0.720","0.389","1.0"
"3490388","31567693","Osker 887","Nov 4 2019 10:00:09.001 AM","45.386726","-61.001024","11","36","8","false","360.0","0.360","0.194","1.0"
"3490414","31568203","Osker 888","Nov 4 2019 10:01:06.001 AM","45.386739","-61.001101","11","39","6","false","108.0","2.160","1.166","1.2"
"3490421","31569084","Osker 888","Nov 4 2019 10:10:07.001 AM","45.386682","-61.000346","9","43","6","false","87.0","2.520","1.361","1.2"
"3490418","31568869","Osker 887","Nov 4 2019 10:10:09.001 AM","45.386669","-61.000237","11","45","8","false","93.0","1.800","0.972","1.0"
"3490433","31570757","Osker 888","Nov 4 2019 10:20:07.001 AM","45.386490","-60.999622","9","43","6","false","0.0","0.360","0.194","1.0"
"3490436","31570802","Osker 887","Nov 4 2019 10:20:08.001 AM","45.386534","-60.999456","10","43","8","false","207.0","1.080","0.583","1.0"
"3490440","31570916","Osker 888","Nov 4 2019 10:30:08.001 AM","45.386304","-60.998906","10","44","5","false","48.0","0.720","0.389","1.2"
"3490444","31570925","Osker 887","Nov 4 2019 10:30:09.001 AM","45.386406","-60.998573","11","40","7","false","147.0","0.360","0.194","1.0"
"3490448","31571014","Osker 887","Nov 4 2019 10:40:09.001 AM","45.386349","-60.997850","11","40","6","false","165.0","1.080","0.583","2.0"
"3490452","31571037","Osker 888","Nov 4 2019 10:40:36.001 AM","45.386157","-60.998202","38","42","5","false","102.0","0.720","0.389","3.4"
"3490455","31571120","Osker 887","Nov 4 2019 10:50:09.001 AM","45.386266","-60.997114","11","39","6","false","90.0","2.880","1.555","2.0"
"3490457","31571149","Osker 888","Nov 4 2019 10:50:09.001 AM","45.386112","-60.997491","11","45","5","false","36.0","0.360","0.194","2.6"
"3490469","31571247","Osker 888","Nov 4 2019 11:00:07.001 AM","45.385958","-60.996960","9","44","5","false","90.0","0.720","0.389","2.2"
"3490470","31571249","Osker 887","Nov 4 2019 11:00:09.001 AM","45.386074","-60.996486","11","39","6","false","36.0","2.520","1.361","1.8"
"3490527","31573364","Osker 888","Nov 4 2019 11:10:08.001 AM","45.385869","-60.996410","10","41","5","false","27.0","1.080","0.583","1.8"
"3490520","31572559","Osker 887","Nov 4 2019 11:10:08.001 AM","45.385958","-60.996032","10","40","6","false","288.0","0.720","0.389","1.8"
"3490537","31574310","Osker 887","Nov 4 2019 11:20:07.001 AM","45.385882","-60.995526","9","41","5","false","327.0","0.720","0.389","5.6"
"3490550","31574452","Osker 887","Nov 4 2019 11:30:09.001 AM","45.385965","-60.995059","11","45","5","false","0.0","0.720","0.389","5.0"
"3490574","31574629","Osker 887","Nov 4 2019 11:40:09.001 AM","45.385914","-60.994579","11","45","5","false","0.0","0.360","0.194","4.4"
"3490568","31574573","Osker 888","Nov 4 2019 11:41:36.001 AM","45.385824","-60.994976","35","44","5","false","249.0","0.360","0.194","1.2"
"3490586","31574688","Osker 888","Nov 4 2019 11:50:07.001 AM","45.385805","-60.994656","10","44","5","false","213.0","1.440","0.778","1.2"
"3490587","31574689","Osker 887","Nov 4 2019 11:50:08.001 AM","45.385805","-60.994227","10","34","5","false","201.0","0.720","0.389","3.8"
"3490593","31574786","Osker 888","Nov 4 2019 12:00:07.001 PM","45.385958","-60.994611","10","43","5","false","201.0","0.720","0.389","1.2"
"3490597","31574800","Osker 887","Nov 4 2019 12:00:37.001 PM","45.385965","-60.994093","39","44","6","false","0.0","0.360","0.194","1.6"
"3490684","31576176","Osker 888","Nov 4 2019 12:10:08.001 PM","45.386093","-60.994573","11","42","5","false","165.0","0.720","0.389","1.2"
"3490682","31576128","Osker 887","Nov 4 2019 12:10:09.001 PM","45.386150","-60.994086","11","44","6","false","12.0","0.720","0.389","1.6"
"3490712","31578088","Osker 888","Nov 4 2019 12:20:08.001 PM","45.386176","-60.994413","11","39","5","false","150.0","0.720","0.389","1.0"
"3490701","31578003","Osker 887","Nov 4 2019 12:20:09.001 PM","45.386202","-60.993914","11","42","6","false","351.0","0.720","0.389","1.6"
"3490727","31578177","Osker 887","Nov 4 2019 12:30:09.001 PM","45.386099","-60.993709","11","42","5","false","0.0","0.360","0.194","1.6"
"3490734","31578224","Osker 888","Nov 4 2019 12:30:36.001 PM","45.386144","-60.994221","39","42","5","false","0.0","0.360","0.194","1.2"
"3490749","31578330","Osker 887","Nov 4 2019 12:40:09.001 PM","45.386112","-60.993530","11","42","5","false","48.0","0.360","0.194","1.6"
"3490760","31578393","Osker 887","Nov 4 2019 12:50:09.001 PM","45.386131","-60.993376","11","43","5","false","255.0","0.720","0.389","1.4"
"3490802","31578575","Osker 887","Nov 4 2019 01:00:09.001 PM","45.386157","-60.993274","11","42","5","false","144.0","0.360","0.194","1.4"
"3490856","31581778","Osker 886","Nov 4 2019 01:27:35.001 PM","45.039130","-60.644826","86","45","6","false","96.0","0.360","0.194","1.0"
"3490852","31581766","Osker 884","Nov 4 2019 01:27:36.001 PM","45.038989","-60.645043","73","40","6","false","27.0","1.080","0.583","1.0"
"3490863","31581831","Osker 886","Nov 4 2019 01:30:08.001 PM","45.039219","-60.644416","10","38","6","false","48.0","3.240","1.749","1.0"
"3490864","31581835","Osker 884","Nov 4 2019 01:30:10.001 PM","45.039027","-60.644755","12","38","6","false","189.0","0.360","0.194","1.0"
"3490885","31581947","Osker 884","Nov 4 2019 01:40:08.001 PM","45.039149","-60.643219","10","43","6","false","126.0","1.080","0.583","1.0"
"3490878","31581909","Osker 886","Nov 4 2019 01:40:09.001 PM","45.039424","-60.642925","11","43","6","false","42.0","3.600","1.944","1.0"
"3490893","31582006","Osker 886","Nov 4 2019 01:50:07.001 PM","45.039622","-60.641395","9","41","5","false","198.0","1.440","0.778","1.6"
"3490894","31582007","Osker 884","Nov 4 2019 01:50:09.001 PM","45.039290","-60.641651","11","43","5","false","42.0","1.080","0.583","1.6"
"3490908","31582147","Osker 886","Nov 4 2019 02:00:07.001 PM","45.039770","-60.639821","9","41","6","false","270.0","1.080","0.583","1.2"
"3490906","31582139","Osker 884","Nov 4 2019 02:00:09.001 PM","45.039578","-60.640000","11","44","6","false","168.0","1.440","0.778","1.2"
"3490929","31582177","OskerCansoBank201911_1","Nov 4 2019 02:01:25.001 PM","45.386285","-60.994611","87","44","5","false","48.0","0.360","0.194","2.2"
