"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"3117253","20955825","Norway OSKER 4","Jun 10 2019 08:16:34.001 PM","58.929478","5.585894","0","45","5","false","0.0","0.360","0.194","3.2"
"3120357","21027530","Norway OSKER 4","Jun 12 2019 05:40:31.001 AM","59.865875","2.479328","0","44","5","false","141.0","2.160","1.166","1.8"
"3120359","21027556","Norway OSKER 4","Jun 12 2019 05:50:09.001 AM","59.864211","2.478368","0","40","5","false","144.0","2.880","1.555","2.0"
"3120426","21029552","Norway OSKER 1","Jun 12 2019 06:25:52.001 AM","59.857843","2.512326","0","42","6","false","195.0","1.440","0.778","1.0"
"3120429","21029574","Norway OSKER 1","Jun 12 2019 06:30:08.001 AM","59.857062","2.511942","0","37","6","false","189.0","4.320","2.333","1.0"
"3120433","21029665","Norway OSKER 1","Jun 12 2019 06:40:06.001 AM","59.855213","2.511014","0","42","6","false","240.0","0.720","0.389","1.0"
"3120436","21029729","Norway OSKER 7","Jun 12 2019 06:40:07.001 AM","59.853440","2.510675","0","42","6","false","201.0","2.160","1.166","1.8"
"3120437","21029748","Norway OSKER 1","Jun 12 2019 06:50:07.001 AM","59.853152","2.509510","0","43","5","false","141.0","1.800","0.972","1.8"
"3120438","21029750","Norway OSKER 7","Jun 12 2019 06:50:09.001 AM","59.851392","2.509370","0","38","7","false","279.0","2.520","1.361","1.6"
"3120450","21029892","Norway OSKER 7","Jun 12 2019 07:00:30.001 AM","59.849254","2.508365","0","43","6","false","183.0","0.360","0.194","5.0"
"3120473","21030057","Norway OSKER 7","Jun 12 2019 07:10:08.001 AM","59.847443","2.507226","0","43","6","false","177.0","1.440","0.778","4.2"
"3120489","21031140","Norway OSKER 7","Jun 12 2019 07:20:16.001 AM","59.845267","2.505670","0","44","6","false","198.0","1.800","0.972","2.8"
"3120490","21031183","Norway OSKER 1","Jun 12 2019 07:20:34.001 AM","59.846515","2.505677","0","42","5","false","192.0","3.960","2.138","3.0"
"3120499","21031736","Norway OSKER 7","Jun 12 2019 07:30:08.001 AM","59.843309","2.504243","0","40","6","false","0.0","0.360","0.194","2.0"
"3120495","21031728","Norway OSKER 1","Jun 12 2019 07:30:08.001 AM","59.844678","2.504218","0","41","5","false","222.0","3.600","1.944","2.2"
"3120501","21031812","Norway OSKER 1","Jun 12 2019 07:40:07.001 AM","59.842534","2.502310","0","44","5","false","189.0","0.720","0.389","1.8"
"3120503","21031819","Norway OSKER 7","Jun 12 2019 07:40:08.001 AM","59.841274","2.502451","0","42","6","false","171.0","1.440","0.778","1.6"
"3120507","21031905","Norway OSKER 7","Jun 12 2019 07:50:08.001 AM","59.839443","2.500499","0","44","5","false","270.0","2.160","1.166","1.6"
"3120518","21032018","Norway OSKER 7","Jun 12 2019 08:00:08.001 AM","59.837536","2.498195","0","43","5","false","219.0","2.520","1.361","1.4"
"3120536","21032211","Norway OSKER 7","Jun 12 2019 08:10:07.001 AM","59.835763","2.495994","0","40","5","false","213.0","0.720","0.389","1.2"
"3120534","21032207","Norway OSKER 1","Jun 12 2019 08:10:08.001 AM","59.836710","2.495654","0","40","5","false","114.0","1.080","0.583","1.2"
