Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2020-11-04 20:00:00, 47.595872, -60.566726, 2020, 309, 20, 0, 2020, 304, 11, 2, 5.4, 13, 14.52, 254, 3, 45, -33.7, 526B4022A5260B0B0D3A0A986BFFED0DBC5180
2020-11-04 19:00:00, 47.595872, -60.566726, 2020, 309, 19, 0, 2020, 304, 11, 2, 5.4, 11, 14.52, 254, 3, 41, -33.7, 526B3022A5260B0B0D3A0A986BFFE90BBC5180
2020-11-04 18:00:00, 47.595872, -60.566726, 2020, 309, 18, 0, 2020, 304, 11, 2, 5.4, 9, 14.52, 254, 3, 37, -33.7, 526B2022A5260B0B0D3A0A986BFFE509BC5180
2020-11-04 17:00:00, 47.595872, -60.566726, 2020, 309, 17, 0, 2020, 304, 11, 2, 5.5, 13, 14.52, 254, 3, 44, -33.7, 526B1022B5260B0B0D3A0A986BFFEC0DBC5180
2020-11-04 16:00:00, 47.595872, -60.566726, 2020, 309, 16, 0, 2020, 304, 11, 2, 5.4, 9, 14.52, 254, 3, 43, -33.7, 526B0022A5260B0B0D3A0A986BFFEB09BC5180
2020-11-04 15:00:00, 47.595872, -60.566726, 2020, 309, 15, 0, 2020, 304, 11, 2, 5.4, 17, 14.52, 254, 3, 44, -33.7, 526AF022A5260B0B0D3A0A986BFFEC11BC5180
2020-11-04 14:00:00, 47.595872, -60.566726, 2020, 309, 14, 0, 2020, 304, 11, 2, 5.4, 6, 14.52, 254, 3, 43, -33.7, 526AE022A5260B0B0D3A0A986BFFEB06BC5180
2020-11-04 13:00:00, 47.595872, -60.566726, 2020, 309, 13, 0, 2020, 304, 11, 2, 5.4, 14, 14.52, 254, 3, 43, -33.7, 526AD022A5260B0B0D3A0A986BFFEB0EBC5180
2020-11-04 12:00:00, 47.595872, -60.566726, 2020, 309, 12, 0, 2020, 304, 11, 2, 5.4, 9, 14.52, 254, 3, 42, -33.7, 526AC022A5260B0B0D3A0A986BFFEA09BC5180
2020-11-04 11:00:00, 47.595872, -60.566726, 2020, 309, 11, 0, 2020, 304, 11, 2, 5.4, 12, 14.52, 254, 3, 45, -33.7, 526AB022A5260B0B0D3A0A986BFFED0CBC5180
2020-11-04 10:00:00, 47.595872, -60.566726, 2020, 309, 10, 0, 2020, 304, 11, 2, 5.4, 7, 14.52, 254, 3, 44, -33.7, 526AA022A5260B0B0D3A0A986BFFEC07BC5180
