ID,Message ID,Device,Timestamp,Latitude,Longitude,Uptime (s),SNR,Sat Count,Alarm,Bearing,Speed (km/h),Speed (knots),HDOP
4303258,62547534,1004 300434064046670,Sep 10 2020 10:30:55.001 AM,48.622938,-68.701728,0,44,6,FALSE,3,1.44,0.778,1.8
4303260,62547593,1004 300434064046670,Sep 10 2020 10:40:10.001 AM,48.621485,-68.701152,13,35,6,FALSE,156,1.8,0.972,1.8
4303288,62548168,1004 300434064046670,Sep 10 2020 10:50:09.001 AM,48.624243,-68.703091,11,45,6,FALSE,324,1.08,0.583,1.8
4303297,62549118,1004 300434064046670,Sep 10 2020 11:04:19.001 AM,48.623994,-68.703053,13,38,6,FALSE,66,2.16,1.166,2.2
4303300,62549598,1004 300434064046670,Sep 10 2020 11:10:47.001 AM,48.624064,-68.702016,49,38,5,FALSE,75,0.72,0.389,3.2
4303309,62551589,1004 300434064046670,Sep 10 2020 11:22:36.001 AM,48.623437,-68.699885,158,43,5,FALSE,129,0.72,0.389,2.4
4303313,62551800,1004 300434064046670,Sep 10 2020 11:30:08.001 AM,48.622925,-68.698938,10,44,6,FALSE,213,1.08,0.583,1.8
4303317,62552051,1004 300434064046670,Sep 10 2020 11:40:12.001 AM,48.622003,-68.697818,14,44,6,FALSE,75,1.08,0.583,1.6
4303320,62552278,1004 300434064046670,Sep 10 2020 11:50:13.001 AM,48.621069,-68.695923,15,44,6,FALSE,81,1.08,0.583,1.6
4303323,62552440,1002 300434064049950,Sep 10 2020 11:55:30.001 AM,48.647968,-68.692774,7,40,5,FALSE,123,1.44,0.778,2
4303325,62552475,1006 300434064044960,Sep 10 2020 11:55:54.001 AM,48.647949,-68.692742,30,38,5,FALSE,132,1.44,0.778,3
4303328,62552529,1002 300434064049950,Sep 10 2020 12:00:09.001 PM,48.647674,-68.692077,10,42,5,FALSE,0,0.72,0.389,2
4303329,62552530,1004 300434064046670,Sep 10 2020 12:00:12.001 PM,48.620064,-68.694067,15,43,6,FALSE,6,1.08,0.583,1.4
4303394,62553178,1006 300434064044960,Sep 10 2020 12:00:13.001 PM,48.647718,-68.692224,15,38,5,FALSE,306,0.72,0.389,3.2
4303402,62553839,1004 300434064046670,Sep 10 2020 12:10:08.001 PM,48.618944,-68.69255,11,44,6,FALSE,189,1.08,0.583,1.2
4303419,62556113,1006 300434064044960,Sep 10 2020 12:10:08.001 PM,48.646598,-68.69143,11,36,5,FALSE,189,0.72,0.389,3.6
4303401,62553820,1002 300434064049950,Sep 10 2020 12:10:10.001 PM,48.646739,-68.691418,11,45,5,FALSE,129,1.08,0.583,2
4303412,62555087,1005 300434064149010,Sep 10 2020 12:15:05.001 PM,48.632691,-68.673331,23,38,6,FALSE,141,14.04,7.581,1.6
4303411,62555035,1010 300434064046920,Sep 10 2020 12:15:09.001 PM,48.63264,-68.673274,18,38,5,FALSE,138,13.68,7.387,1.8
4303414,62555833,1005 300434064149010,Sep 10 2020 12:20:10.001 PM,48.627872,-68.665619,13,40,5,FALSE,54,7.92,4.276,2.2
4303415,62555845,1010 300434064046920,Sep 10 2020 12:20:12.001 PM,48.627898,-68.66551,15,39,5,FALSE,57,7.56,4.082,2
4303417,62555921,1004 300434064046670,Sep 10 2020 12:20:36.001 PM,48.617747,-68.691085,39,45,5,FALSE,240,1.08,0.583,2
4303418,62555978,1002 300434064049950,Sep 10 2020 12:20:36.001 PM,48.645555,-68.690918,37,45,5,FALSE,330,0.72,0.389,2
4303426,62556349,1006 300434064044960,Sep 10 2020 12:24:17.001 PM,48.645178,-68.69079,11,38,5,FALSE,141,0.72,0.389,1.6
4303420,62556168,1010 300434064046920,Sep 10 2020 12:25:12.001 PM,48.627981,-68.663405,15,37,5,FALSE,0,0.36,0.194,2
4303421,62556246,1005 300434064149010,Sep 10 2020 12:30:08.001 PM,48.630022,-68.666464,11,35,6,FALSE,162,0.72,0.389,1.8
4303422,62556248,1002 300434064049950,Sep 10 2020 12:30:10.001 PM,48.644608,-68.690637,11,45,7,FALSE,114,0.72,0.389,1
