Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2020-11-25 12:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 12, 0, 2.95, 1, 15.2, 0, 44, 78, 13, 00296CB00FFE637FF0730DFF000A855A465C027B
2020-11-25 11:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 11, 0, 2.97, 1, 15.2, 0, 44, 28, 22, 00296CAC0FFE63BFF07316FF000A855A465C00EB
2020-11-25 10:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 10, 0, 3.00, 1, 15.2, 0, 40, 28, 8, 00296CA80FFE641FF07308FF000A855A465C00EA
2020-11-25 09:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 9, 0, 3.02, 1, 15.2, 0, 44, 42, 9, 00296CA40FFE645FF07309FF000A855A465C015B
2020-11-25 08:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 8, 0, 2.96, 2, 15.2, 0, 48, 42, 10, 00296CA00FFE639FF0B30AFF000A855A465C015C
2020-11-25 07:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 7, 0, 2.58, 1, 15.2, 0, 44, 54, 11, 00296C9C0FFE5EDFF0730BFF000A855A465C01BB
2020-11-25 06:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 6, 0, 2.35, 1, 15.2, 0, 44, 28, 11, 00296C980FFE5BFFF0730BFF000A855A465C00EB
2020-11-25 05:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 5, 0, 2.12, 1, 15.2, 0, 44, 28, 7, 00296C940FFE591FF07307FF000A855A465C00EB
2020-11-25 04:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 4, 0, 1.94, 3, 15.2, 0, 44, 28, 9, 00296C900FFE56DFF0F309FF000A855A465C00EB
2020-11-25 03:00:00, 47.899600, -64.723200, 0, 2020, 11, 25, 3, 0, 2.04, 2, 15.2, 0, 44, 24, 9, 00296C8C0FFE581FF0B309FF000A855A465C00CB
2020-11-25 02:00:00, 47.899400, -64.723400, 0, 2020, 11, 25, 2, 0, 1.93, 3, 15.2, 0, 48, 54, 8, 00296C880FFE56BFF0F308FF000A8559465BF9BC
2020-11-25 01:00:00, 47.899400, -64.723600, 0, 2020, 11, 25, 1, 0, 2.01, 3, 15.2, 0, 48, 46, 8, 00296C840FFE57BFF0F308FF000A8559465BF17C
2020-11-25 00:00:00, 47.899400, -64.723800, 0, 2020, 11, 25, 0, 0, 2.00, 4, 15.2, 0, 44, 54, 7, 00296C800FFE579FF13307FF000A8559465BE9BB
2020-11-24 23:00:00, 47.899400, -64.724000, 0, 2020, 11, 24, 23, 0, 2.07, 2, 15.2, 0, 44, 42, 7, 00296C5C0FFE587FF0B307FF000A8559465BE15B
2020-11-24 22:00:00, 47.899200, -64.724200, 0, 2020, 11, 24, 22, 0, 2.18, 2, 15.2, 0, 44, 54, 7, 00296C580FFE59DFF0B307FF000A8558465BD9BB
2020-11-24 21:00:00, 47.898600, -64.724800, 0, 2020, 11, 24, 21, 0, 2.35, 3, 15.2, 0, 44, 28, 7, 00296C540FFE5BFFF0F307FF000A8555465BC0EB
2020-11-24 20:00:00, 47.897200, -64.726200, 0, 2020, 11, 24, 20, 0, 2.89, 2, 15.2, 0, 44, 48, 9, 00296C500FFE62BFF0B309FF000A854E465B898B
2020-11-24 19:00:00, 47.895600, -64.727400, 0, 2020, 11, 24, 19, 0, 3.40, 3, 15.2, 0, 48, 28, 7, 00296C4C0FFE691FF0F307FF000A8546465B58EC
2020-11-24 18:00:00, 47.894000, -64.728800, 0, 2020, 11, 24, 18, 0, 3.43, 2, 15.2, 0, 48, 42, 8, 00296C480FFE697FF0B308FF000A853E465B215C
2020-11-24 17:00:00, 47.891200, -64.730400, 0, 2020, 11, 24, 17, 0, 3.24, 2, 15.2, 0, 48, 28, 11, 00296C440FFE671FF0B30BFF000A8530465AE0EC
2020-11-24 16:00:00, 47.888200, -64.732000, 0, 2020, 11, 24, 16, 0, 3.37, 2, 15.2, 0, 44, 58, 7, 00296C400FFE68BFF0B307FF000A8521465AA1DB
2020-11-24 15:00:00, 47.885400, -64.733400, 0, 2020, 11, 24, 15, 0, 3.27, 4, 15.2, 0, 44, 34, 9, 00296C3C0FFE677FF13309FF000A8513465A691B
2020-11-24 14:00:00, 47.882000, -64.735600, 0, 2020, 11, 24, 14, 0, 3.19, 4, 15.2, 0, 44, 24, 12, 00296C380FFE667FF1330CFF000A8502465A10CB
2020-11-24 13:00:00, 47.878600, -64.739400, 0, 2020, 11, 24, 13, 0, 3.18, 5, 15.2, 0, 44, 82, 9, 00296C340FFE665FF17309FF000A84F146597A9B
2020-11-24 12:00:00, 47.873800, -64.758000, 0, 2020, 11, 24, 12, 0, 3.25, 7, 15.2, 120, 44, 254, 12, 00296C300FFE673FF1F30CFF078A84D9465697FB
2020-11-24 11:00:00, 47.873800, -64.758000, 0, 2020, 11, 24, 11, 0, 3.44, 5, 15.2, 60, 44, 254, 9, 00296C2C0FFE699FF17309FF03CA84D9465697FB
2020-11-24 10:00:00, 47.873800, -64.758000, 0, 2020, 11, 24, 10, 0, 3.61, 4, 15.2, 0, 44, 198, 9, 00296C280FFE6BBFF13309FF000A84D94656963B
2020-11-24 09:00:00, 47.871600, -64.767600, 0, 2020, 11, 24, 9, 0, 3.80, 5, 15.2, 62, 44, 254, 10, 00296C240FFE6E1FF1730AFF03EA84CE465517FB
2020-11-24 08:00:00, 47.871600, -64.767600, 0, 2020, 11, 24, 8, 0, 3.69, 3, 15.2, 0, 48, 78, 10, 00296C200FFE6CBFF0F30AFF000A84CE4655127C
2020-11-24 07:00:00, 47.870600, -64.769400, 0, 2020, 11, 24, 7, 0, 3.76, 3, 15.2, 0, 44, 28, 10, 00296C1C0FFE6D9FF0F30AFF000A84C94654C8EB
2020-11-24 06:00:00, 47.870000, -64.770000, 0, 2020, 11, 24, 6, 0, 3.79, 3, 15.2, 0, 44, 96, 9, 00296C180FFE6DFFF0F309FF000A84C64654B30B
2020-11-24 05:00:00, 47.870000, -64.770200, 0, 2020, 11, 24, 5, 0, 3.74, 3, 15.2, 0, 44, 58, 12, 00296C140FFE6D5FF0F30CFF000A84C64654A9DB
2020-11-24 04:00:00, 47.870000, -64.770200, 0, 2020, 11, 24, 4, 0, 3.74, 3, 15.2, 0, 44, 42, 10, 00296C100FFE6D5FF0F30AFF000A84C64654A95B
2020-11-24 03:00:00, 47.869800, -64.770200, 0, 2020, 11, 24, 3, 0, 3.72, 1, 15.2, 0, 44, 24, 18, 00296C0C0FFE6D1FF07312FF000A84C54654A8CB
2020-11-24 02:00:00, 47.869800, -64.770200, 0, 2020, 11, 24, 2, 0, 3.86, 1, 15.2, 0, 48, 24, 6, 00296C080FFE6EDFF07306FF000A84C54654A8CC
2020-11-24 01:00:00, 47.869800, -64.770200, 0, 2020, 11, 24, 1, 0, 3.68, 1, 15.2, 0, 48, 24, 10, 00296C040FFE6C9FF0730AFF000A84C54654A8CC
2020-11-24 00:00:00, 47.869800, -64.770400, 0, 2020, 11, 24, 0, 0, 3.75, 1, 15.2, 0, 44, 24, 8, 00296C000FFE6D7FF07308FF000A84C54654A0CB
