Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2020-11-25 12:00:00, 50.208200, -63.172400, 0, 2020, 11, 25, 12, 0, -2.72, 15.2, 0, 44, 22, 17, 00296CB00FFE1C9FFFF311FF000AB271474E50BB
2020-11-25 11:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 11, 0, -2.64, 15.2, 0, 44, 24, 6, 00296CAC0FFE1D9FFFF306FF000AB271474E58CB
2020-11-25 10:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 10, 0, -2.53, 15.2, 0, 40, 24, 7, 00296CA80FFE1EFFFFF307FF000AB271474E58CA
2020-11-25 09:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 9, 0, -2.56, 15.2, 0, 44, 24, 10, 00296CA40FFE1E9FFFF30AFF000AB271474E58CB
2020-11-25 08:00:00, 50.208200, -63.172400, 0, 2020, 11, 25, 8, 0, -2.60, 15.2, 0, 44, 30, 9, 00296CA00FFE1E1FFFF309FF000AB271474E50FB
2020-11-25 07:00:00, 50.208200, -63.172400, 0, 2020, 11, 25, 7, 0, -2.61, 15.2, 0, 44, 30, 7, 00296C9C0FFE1DFFFFF307FF000AB271474E50FB
2020-11-25 06:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 6, 0, -2.66, 15.2, 0, 44, 24, 12, 00296C980FFE1D5FFFF30CFF000AB271474E58CB
2020-11-25 05:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 5, 0, -2.66, 15.2, 0, 40, 24, 11, 00296C940FFE1D5FFFF30BFF000AB271474E58CA
2020-11-25 04:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 4, 0, -2.58, 15.2, 0, 44, 24, 8, 00296C900FFE1E5FFFF308FF000AB271474E58CB
2020-11-25 03:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 3, 0, -2.48, 15.2, 0, 44, 30, 9, 00296C8C0FFE1F9FFFF309FF000AB271474E58FB
2020-11-25 02:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 2, 0, -2.25, 15.2, 0, 44, 30, 20, 00296C880FFE227FFFF314FF000AB271474E58FB
2020-11-25 01:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 1, 0, -2.10, 15.2, 0, 44, 30, 6, 00296C840FFE245FFFF306FF000AB271474E58FB
2020-11-25 00:00:00, 50.208200, -63.172200, 0, 2020, 11, 25, 0, 0, -1.81, 15.2, 0, 44, 30, 6, 00296C800FFE27FFFFF306FF000AB271474E58FB
2020-11-24 23:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 23, 0, -1.47, 15.2, 0, 44, 26, 9, 00296C5C0FFE2C3FFFF309FF000AB271474E58DB
2020-11-24 22:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 22, 0, -1.10, 15.2, 0, 44, 24, 9, 00296C580FFE30DFFFF309FF000AB271474E58CB
2020-11-24 21:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 21, 0, -0.83, 15.2, 0, 44, 24, 7, 00296C540FFE343FFFF307FF000AB271474E58CB
2020-11-24 20:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 20, 0, -0.60, 15.2, 0, 44, 24, 10, 00296C500FFE371FFFF30AFF000AB271474E58CB
2020-11-24 19:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 19, 0, -0.36, 15.2, 0, 44, 28, 7, 00296C4C0FFE3A1FFFF307FF000AB271474E58EB
2020-11-24 18:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 18, 0, -0.07, 15.2, 0, 44, 24, 16, 00296C480FFE3DBFFFF310FF000AB271474E58CB
2020-11-24 17:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 17, 0, 0.13, 15.2, 0, 44, 22, 12, 00296C440FFE403FFFF30CFF000AB271474E58BB
2020-11-24 16:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 16, 0, 0.51, 15.2, 0, 44, 24, 8, 00296C400FFE44FFFFF308FF000AB271474E58CB
2020-11-24 15:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 15, 0, 0.76, 15.2, 0, 44, 24, 15, 00296C3C0FFE481FFFF30FFF000AB271474E58CB
2020-11-24 14:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 14, 0, 0.87, 15.2, 0, 44, 24, 9, 00296C380FFE497FFFF309FF000AB271474E58CB
2020-11-24 13:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 13, 0, 1.01, 15.2, 0, 44, 30, 15, 00296C340FFE4B3FFFF30FFF000AB271474E58FB
2020-11-24 12:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 12, 0, 1.12, 15.2, 0, 44, 42, 6, 00296C300FFE4C9FFFF306FF000AB271474E595B
2020-11-24 11:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 11, 0, 1.15, 15.2, 0, 44, 42, 7, 00296C2C0FFE4CFFFFF307FF000AB271474E595B
2020-11-24 10:00:00, 50.208200, -63.172400, 0, 2020, 11, 24, 10, 0, 1.07, 15.2, 0, 40, 24, 1, 00296C280FFE4BFFFFF301FF000AB271474E50CA
2020-11-24 09:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 9, 0, 0.97, 15.2, 0, 40, 24, 18, 00296C240FFE4ABFFFF312FF000AB271474E58CA
2020-11-24 08:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 8, 0, 0.87, 15.2, 0, 44, 30, 8, 00296C200FFE497FFFF308FF000AB271474E58FB
2020-11-24 07:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 7, 0, 0.75, 15.2, 0, 44, 28, 17, 00296C1C0FFE47FFFFF311FF000AB271474E58EB
2020-11-24 06:00:00, 50.208200, -63.172400, 0, 2020, 11, 24, 6, 0, 0.61, 15.2, 0, 44, 24, 7, 00296C180FFE463FFFF307FF000AB271474E50CB
2020-11-24 05:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 5, 0, 0.41, 15.2, 0, 40, 24, 11, 00296C140FFE43BFFFF30BFF000AB271474E58CA
2020-11-24 04:00:00, 50.208200, -63.172400, 0, 2020, 11, 24, 4, 0, 0.30, 15.2, 0, 44, 24, 6, 00296C100FFE425FFFF306FF000AB271474E50CB
2020-11-24 03:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 3, 0, 0.28, 15.2, 0, 44, 30, 8, 00296C0C0FFE421FFFF308FF000AB271474E58FB
2020-11-24 02:00:00, 50.208200, -63.172400, 0, 2020, 11, 24, 2, 0, 0.26, 15.2, 0, 44, 30, 9, 00296C080FFE41DFFFF309FF000AB271474E50FB
2020-11-24 01:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 1, 0, 0.25, 15.2, 0, 44, 26, 9, 00296C040FFE41BFFFF309FF000AB271474E58DB
2020-11-24 00:00:00, 50.208200, -63.172200, 0, 2020, 11, 24, 0, 0, 0.23, 15.2, 0, 44, 24, 9, 00296C000FFE417FFFF309FF000AB271474E58CB
2020-11-23 23:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 23, 0, 0.19, 15.2, 0, 40, 24, 9, 00296BDC0FFE40FFFFF309FF000AB271474E58CA
2020-11-23 22:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 22, 0, -0.01, 15.2, 0, 40, 30, 6, 00296BD80FFE3E7FFFF306FF000AB271474E58FA
2020-11-23 21:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 21, 0, -0.25, 15.2, 0, 44, 28, 9, 00296BD40FFE3B7FFFF309FF000AB271474E58EB
2020-11-23 20:00:00, 50.208200, -63.172400, 0, 2020, 11, 23, 20, 0, -0.31, 15.2, 0, 44, 26, 10, 00296BD00FFE3ABFFFF30AFF000AB271474E50DB
2020-11-23 19:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 19, 0, -0.36, 15.2, 0, 44, 26, 22, 00296BCC0FFE3A1FFFF316FF000AB271474E58DB
2020-11-23 18:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 18, 0, -0.36, 15.2, 0, 44, 28, 8, 00296BC80FFE3A1FFFF308FF000AB271474E58EB
2020-11-23 17:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 17, 0, -0.35, 15.2, 0, 44, 26, 6, 00296BC40FFE3A3FFFF306FF000AB271474E58DB
2020-11-23 16:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 16, 0, -0.50, 15.2, 0, 44, 22, 7, 00296BC00FFE385FFFF307FF000AB271474E58BB
2020-11-23 15:00:00, 50.208200, -63.172400, 0, 2020, 11, 23, 15, 0, -0.65, 15.2, 0, 44, 24, 1, 00296BBC0FFE367FFFF301FF000AB271474E50CB
2020-11-23 14:00:00, 50.208200, -63.172400, 0, 2020, 11, 23, 14, 0, -0.80, 15.2, 0, 44, 24, 9, 00296BB80FFE349FFFF309FF000AB271474E50CB
2020-11-23 13:00:00, 50.208200, -63.172400, 0, 2020, 11, 23, 13, 0, -0.96, 15.2, 0, 44, 30, 8, 00296BB40FFE329FFFF308FF000AB271474E50FB
2020-11-23 12:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 12, 0, -1.23, 15.2, 0, 44, 42, 8, 00296BB00FFE2F3FFFF308FF000AB271474E595B
2020-11-23 11:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 11, 0, -1.50, 15.2, 0, 44, 28, 8, 00296BAC0FFE2BDFFFF308FF000AB271474E58EB
2020-11-23 10:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 10, 0, -1.77, 15.2, 0, 44, 24, 21, 00296BA80FFE287FFFF315FF000AB271474E58CB
2020-11-23 09:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 9, 0, -2.12, 15.2, 0, 44, 24, 2, 00296BA40FFE241FFFF302FF000AB271474E58CB
2020-11-23 08:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 8, 0, -2.19, 15.2, 0, 44, 30, 6, 00296BA00FFE233FFFF306FF000AB271474E58FB
2020-11-23 07:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 7, 0, -2.29, 15.2, 0, 44, 28, 7, 00296B9C0FFE21FFFFF307FF000AB271474E58EB
2020-11-23 06:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 6, 0, -2.36, 15.2, 0, 44, 24, 10, 00296B980FFE211FFFF30AFF000AB271474E58CB
2020-11-23 05:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 5, 0, -2.17, 15.2, 0, 40, 24, 12, 00296B940FFE237FFFF30CFF000AB271474E58CA
2020-11-23 04:00:00, 50.208200, -63.172400, 0, 2020, 11, 23, 4, 0, -2.01, 15.2, 0, 44, 24, 10, 00296B900FFE257FFFF30AFF000AB271474E50CB
2020-11-23 03:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 3, 0, -1.93, 15.2, 0, 44, 30, 10, 00296B8C0FFE267FFFF30AFF000AB271474E58FB
2020-11-23 02:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 2, 0, -1.98, 15.2, 0, 44, 30, 7, 00296B880FFE25DFFFF307FF000AB271474E58FB
2020-11-23 01:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 1, 0, -1.98, 15.2, 0, 44, 28, 9, 00296B840FFE25DFFFF309FF000AB271474E58EB
2020-11-23 00:00:00, 50.208200, -63.172200, 0, 2020, 11, 23, 0, 0, -1.93, 15.2, 0, 44, 24, 8, 00296B800FFE267FFFF308FF000AB271474E58CB
2020-11-22 23:00:00, 50.208200, -63.172200, 0, 2020, 11, 22, 23, 0, -1.90, 15.2, 0, 44, 28, 6, 00296B5C0FFE26DFFFF306FF000AB271474E58EB
