Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2021-12-09 09:00:00, 44.354360, -61.694186, 2021, 343, 9, 0, 2021, 343, 9, 0, 9.6, 6, 15.00, 24, 2, 45, -34.0, 56AE9025456AE902FAD28A7ED08CAD06C85000
2021-12-09 08:00:00, 44.364766, -61.665806, 2021, 343, 8, 0, 2021, 343, 8, 0, 9.7, 9, 15.00, 24, 2, 45, -34.0, 56AE8025556AE802FAE1AA7F758CAD09C85000
2021-12-09 07:00:00, 44.375344, -61.635104, 2021, 343, 7, 0, 2021, 343, 7, 0, 9.6, 8, 15.00, 24, 2, 46, -34.0, 56AE7025456AE702FAF10A80280CAE08C85000
2021-12-09 06:00:00, 44.385578, -61.607412, 2021, 343, 6, 0, 2021, 343, 6, 0, 9.7, 10, 15.00, 24, 2, 46, -34.0, 56AE6025556AE602FAFFEA80C90CAE0AC85000
2021-12-09 04:00:00, 44.399338, -61.557704, 2021, 343, 4, 0, 2021, 343, 4, 1, 9.7, 8, 15.00, 54, 2, 45, -34.0, 56AE4025556AE406FB13EA81EA1BAD08C85000
2021-12-09 03:00:00, 44.403380, -61.535516, 2021, 343, 3, 0, 2021, 343, 3, 0, 9.7, 9, 15.00, 34, 3, 46, -34.0, 56AE3025556AE302FB19CA826B11EE09C85000
2021-12-09 02:00:00, 44.405530, -61.514446, 2021, 343, 2, 0, 2021, 343, 2, 0, 9.7, 7, 15.00, 24, 3, 45, -34.0, 56AE2025556AE202FB1CEA82E58CED07C85000
2021-12-09 01:00:00, 44.405702, -61.494408, 2021, 343, 1, 0, 2021, 343, 1, 0, 9.7, 10, 15.00, 24, 2, 45, -34.0, 56AE1025556AE102FB1D2A835A0CAD0AC85000
2021-12-09 00:00:00, 44.403896, -61.475574, 2021, 343, 0, 0, 2021, 343, 0, 0, 9.8, 7, 15.00, 24, 2, 46, -34.0, 56AE0025656AE002FB1A8A83C78CAE07C85000
2021-12-08 23:00:00, 44.402606, -61.458374, 2021, 342, 23, 0, 2021, 342, 23, 0, 9.8, 11, 15.00, 24, 2, 46, -34.0, 56AD7025656AD702FB18AA842B8CAE0BC85000
2021-12-08 22:00:00, 44.401402, -61.442894, 2021, 342, 22, 0, 2021, 342, 22, 0, 9.7, 8, 15.00, 24, 2, 45, -34.0, 56AD6025556AD602FB16EA84858CAD08C85000
2021-12-08 21:00:00, 44.400542, -61.429650, 2021, 342, 21, 0, 2021, 342, 21, 0, 9.7, 8, 15.00, 24, 3, 46, -34.0, 56AD5025556AD502FB15AA84D28CEE08C85000
2021-12-08 20:00:00, 44.398908, -61.419330, 2021, 342, 20, 0, 2021, 342, 20, 0, 9.7, 10, 15.00, 24, 2, 46, -34.0, 56AD4025556AD402FB134A850E8CAE0AC85000
2021-12-08 19:00:00, 44.397274, -61.411332, 2021, 342, 19, 0, 2021, 342, 19, 0, 9.7, 7, 15.00, 24, 2, 46, -34.0, 56AD3025556AD302FB10EA853D0CAE07C85000
2021-12-08 18:00:00, 44.396414, -61.404968, 2021, 342, 18, 0, 2021, 342, 18, 0, 9.7, 9, 15.00, 36, 2, 48, -34.0, 56AD2025556AD202FB0FAA856212B009C85000
2021-12-08 17:00:00, 44.395984, -61.400238, 2021, 342, 17, 0, 2021, 342, 17, 0, 9.6, 9, 15.00, 22, 2, 47, -34.0, 56AD1025456AD102FB0F0A857D8BAF09C85000
2021-12-08 16:00:00, 44.394608, -61.398518, 2021, 342, 16, 0, 2021, 342, 16, 0, 9.7, 8, 15.00, 24, 2, 48, -34.0, 56AD0025556AD002FB0D0A85878CB008C85000
2021-12-08 15:00:00, 44.391770, -61.397056, 2021, 342, 15, 0, 2021, 342, 15, 0, 9.6, 8, 15.00, 24, 3, 47, -34.0, 56ACF025456ACF02FB08EA85900CEF08C85000
2021-12-08 14:00:00, 44.387728, -61.395594, 2021, 342, 14, 0, 2021, 342, 14, 0, 9.7, 10, 15.00, 24, 2, 45, -34.0, 56ACE025556ACE02FB030A85988CAD0AC85000
2021-12-08 13:00:00, 44.383600, -61.394992, 2021, 342, 13, 0, 2021, 342, 13, 0, 9.7, 8, 15.00, 24, 2, 46, -34.0, 56ACD025556ACD02FAFD0A859C0CAE08C85000
2021-12-08 12:00:00, 44.378354, -61.395078, 2021, 342, 12, 0, 2021, 342, 12, 0, 9.7, 9, 15.00, 24, 2, 46, -34.0, 56ACC025556ACC02FAF56A859B8CAE09C85000
2021-12-08 11:00:00, 44.372162, -61.394820, 2021, 342, 11, 0, 2021, 342, 11, 0, 9.7, 10, 15.00, 24, 3, 45, -34.0, 56ACB025556ACB02FAEC6A859D0CED0AC85000
