"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"5884392","100159833","300434065937970","Sep 5 2021 12:11:04.001 PM","48.579488","-68.526272","7","42","6","false","0.0","0.000","0.000","2.6"
"5884511","100162806","300434065937970","Sep 5 2021 12:20:13.001 PM","48.580250","-68.525254","16","38","6","false","0.0","0.360","0.194","2.8"
"5884582","100163187","300434065937970","Sep 5 2021 12:48:04.001 PM","48.583981","-68.520557","42","40","6","false","0.0","1.080","0.583","1.4"
"5884583","100163187","300434065937970","Sep 5 2021 12:50:06.001 PM","48.584147","-68.520205","8","40","6","false","33.0","0.720","0.389","1.0"
"5884595","100163819","300434065937970","Sep 5 2021 01:05:46.001 PM","48.585882","-68.517478","11","38","8","false","27.0","1.080","0.583","1.0"
"5884596","100163819","300434065937970","Sep 5 2021 01:07:56.001 PM","48.586125","-68.517114","8","38","7","false","6.0","1.080","0.583","1.0"
"5884604","100164226","300434065937970","Sep 5 2021 01:10:06.001 PM","48.586323","-68.516851","8","36","6","false","15.0","1.800","0.972","1.2"
"5884627","100165304","300434065937970","Sep 5 2021 01:15:06.001 PM","48.586880","-68.516064","8","41","8","false","15.0","1.440","0.778","1.0"
"5884643","100166091","300434065937970","Sep 5 2021 01:20:06.001 PM","48.587418","-68.515341","8","41","8","false","12.0","1.080","0.583","1.0"
"5884661","100166707","300434065937970","Sep 5 2021 01:25:06.001 PM","48.587878","-68.514624","8","43","5","false","156.0","1.440","0.778","2.2"
"5884700","100166972","300434065937970","Sep 5 2021 01:30:05.001 PM","48.588173","-68.514010","7","40","5","false","9.0","1.800","0.972","2.2"
"5884772","100167430","300434065937970","Sep 5 2021 01:37:16.001 PM","48.588883","-68.512928","8","39","5","false","54.0","0.360","0.194","2.2"
"5884773","100167430","300434065937970","Sep 5 2021 01:40:05.001 PM","48.589133","-68.512544","7","40","5","false","0.0","1.440","0.778","2.0"
"5884844","100168479","300434065937970","Sep 5 2021 01:58:33.001 PM","48.590586","-68.510464","11","40","5","false","48.0","1.080","0.583","2.0"
"5884845","100168479","300434065937970","Sep 5 2021 02:00:05.001 PM","48.590720","-68.510310","7","39","5","false","24.0","1.080","0.583","2.0"
"5884846","100168479","300434065937970","Sep 5 2021 02:05:40.001 PM","48.591258","-68.509754","27","40","6","false","18.0","1.080","0.583","1.0"
"5884900","100170553","300434065937970","Sep 5 2021 02:10:42.001 PM","48.591584","-68.509318","7","39","6","false","69.0","3.240","1.749","1.6"
"5884901","100170553","300434065937970","Sep 5 2021 02:15:06.001 PM","48.592013","-68.508992","8","43","7","false","195.0","0.720","0.389","1.0"
"5884923","100170890","300434065937970","Sep 5 2021 02:22:46.001 PM","48.592614","-68.508307","6","39","7","false","9.0","1.800","0.972","1.8"
"5884924","100170890","300434065937970","Sep 5 2021 02:25:07.001 PM","48.592787","-68.508198","8","39","7","false","0.0","0.360","0.194","1.0"
"5884943","100170952","300434065937970","Sep 5 2021 02:30:06.001 PM","48.593101","-68.507840","7","40","7","false","282.0","0.720","0.389","1.8"
