Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-03-25 19:00:00, 40.111600, -67.784000, 0, 2022, 3, 25, 19, 0, 9.55, 1000.2, -1.8, 3, 14.8, 0, 44, 82, 7, 002C6CCC0BBCB5EED0F107FF0009ED3E447DC29B
2022-03-25 18:00:00, 40.103600, -67.789200, 0, 2022, 3, 25, 18, 0, 9.62, 1001.0, -2.9, 3, 14.8, 0, 44, 200, 18, 002C6CC80BCCB6CE20F112FF0009ED16447CF64B
2022-03-25 17:00:00, 40.097800, -67.795000, 0, 2022, 3, 25, 17, 0, 9.61, 1001.6, -3.3, 3, 14.8, 0, 48, 130, 11, 002C6CC40BD8B6ADE0F10BFF0009ECF9447C0C1C
2022-03-25 16:00:00, 40.093200, -67.798200, 0, 2022, 3, 25, 16, 0, 9.61, 1002.0, -3.3, 3, 14.8, 0, 48, 138, 9, 002C6CC00BE0B6ADE0F109FF0009ECE2447B8C5C
2022-03-25 15:00:00, 40.089800, -67.801000, 0, 2022, 3, 25, 15, 0, 9.51, 1003.9, -1.4, 2, 14.8, 0, 44, 88, 10, 002C6CBC0C06B56F10B10AFF0009ECD1447B1ACB
2022-03-25 14:00:00, 40.087000, -67.803800, 0, 2022, 3, 25, 14, 0, 9.52, 1005.0, -0.5, 5, 14.8, 0, 44, 172, 8, 002C6CB80C1CB58FA17108FF0009ECC3447AAD6B
2022-03-25 13:00:00, 40.085400, -67.806200, 0, 2022, 3, 25, 13, 0, 9.49, 1005.3, -0.3, 4, 14.8, 0, 48, 114, 8, 002C6CB40C22B52FC13108FF0009ECBB447A4B9C
2022-03-25 12:00:00, 40.085600, -67.812200, 0, 2022, 3, 25, 12, 0, 9.39, 1005.3, -1.3, 3, 14.8, 0, 44, 200, 15, 002C6CB00C22B3EF20F10FFF0009ECBC44795E4B
2022-03-25 11:00:00, 40.084400, -67.819400, 0, 2022, 3, 25, 11, 0, 9.41, 1005.4, -1.4, 3, 14.8, 0, 44, 78, 19, 002C6CAC0C24B42F10F113FF0009ECB644783A7B
2022-03-25 10:00:00, 40.083200, -67.830200, 0, 2022, 3, 25, 10, 0, 9.40, 1005.6, -2.7, 3, 14.8, 0, 48, 86, 8, 002C6CA80C28B40E40F108FF0009ECB044768ABC
2022-03-25 09:00:00, 40.082600, -67.840600, 0, 2022, 3, 25, 9, 0, 9.38, 1006.5, -2.9, 3, 14.8, 0, 48, 154, 9, 002C6CA40C3AB3CE20F109FF0009ECAD4474ECDC
2022-03-25 08:00:00, 40.080200, -67.851400, 0, 2022, 3, 25, 8, 0, 9.35, 1006.8, -3.6, 4, 14.8, 0, 48, 114, 11, 002C6CA00C40B36DB1310BFF0009ECA144733B9C
2022-03-25 07:00:00, 40.076200, -67.862000, 0, 2022, 3, 25, 7, 0, 9.30, 1008.3, -3.0, 3, 14.8, 0, 44, 226, 17, 002C6C9C0C5EB2CE10F111FF0009EC8D4471971B
2022-03-25 06:00:00, 40.074000, -67.871400, 0, 2022, 3, 25, 6, 0, 9.36, 1009.4, -2.9, 3, 14.8, 0, 44, 130, 11, 002C6C980C74B38E20F10BFF0009EC8244701C1B
2022-03-25 05:00:00, 40.071800, -67.880600, 0, 2022, 3, 25, 5, 0, 9.35, 1010.4, -3.1, 4, 14.8, 0, 48, 114, 12, 002C6C940C88B36E01310CFF0009EC77446EAB9C
2022-03-25 04:00:00, 40.068200, -67.893200, 0, 2022, 3, 25, 4, 0, 9.39, 1011.3, -3.4, 3, 14.8, 0, 44, 142, 7, 002C6C900C9AB3EDD0F107FF0009EC65446CB47B
2022-03-25 03:00:00, 40.064400, -67.908400, 0, 2022, 3, 25, 3, 0, 9.35, 1012.3, -2.7, 4, 14.8, 0, 44, 112, 19, 002C6C8C0CAEB36E413113FF0009EC52446A538B
