Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2021-11-04 17:00:00, 48.485600, -64.152200, 0, 2021, 11, 4, 17, 0, 8.67, 2, 15.2, 0, 44, 28, 9, 002B62440FFEAAFFF0B309FF000A90CC46B538EB
2021-11-04 16:00:00, 48.485600, -64.152200, 0, 2021, 11, 4, 16, 0, 8.57, 1, 15.2, 0, 44, 22, 13, 002B62400FFEA9BFF0730DFF000A90CC46B538BB
2021-11-02 13:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 13, 0, 9.20, 3, 15.2, 0, 44, 122, 8, 002B61340FFEB19FF0F308FF000A90CC46B53BDB
2021-11-02 12:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 12, 0, 9.15, 4, 15.2, 0, 44, 82, 7, 002B61300FFEB0FFF13307FF000A90CC46B53A9B
2021-11-02 11:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 11, 0, 9.08, 4, 15.2, 241, 44, 254, 16, 002B612C0FFEB01FF13310FF0F1A90CC46B53FFB
2021-11-02 10:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 10, 0, 9.13, 5, 15.2, 181, 40, 254, 15, 002B61280FFEB0BFF1730FFF0B5A90CC46B53FFA
2021-11-02 09:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 9, 0, 9.13, 5, 15.2, 121, 40, 254, 4, 002B61240FFEB0BFF17304FF079A90CC46B53FFA
2021-11-02 08:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 8, 0, 9.13, 4, 15.2, 61, 32, 254, 4, 002B61200FFEB0BFF13304FF03DA90CC46B53FF8
2021-11-02 07:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 7, 0, 9.18, 3, 15.2, 0, 44, 142, 9, 002B611C0FFEB15FF0F309FF000A90CC46B53C7B
2021-11-02 06:00:00, 48.485600, -64.152200, 0, 2021, 11, 2, 6, 0, 9.18, 3, 15.2, 0, 44, 76, 7, 002B61180FFEB15FF0F307FF000A90CC46B53A6B
