Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-10-13 10:00:00, 55.837200, -10.626200, 0, 2022, 10, 13, 10, 0, 13.25, 1006.8, -0.2, 12, 14.4, 120, 44, 254, 17, 002D46A80C40E42FD32F11FF078B20626760AFFB
2022-10-13 09:00:00, 55.837200, -10.626200, 0, 2022, 10, 13, 9, 0, 13.25, 1006.3, -1.6, 7, 14.4, 60, 44, 254, 9, 002D46A40C36E42EF1EF09FF03CB20626760AFFB
2022-10-13 08:00:00, 55.837200, -10.626200, 0, 2022, 10, 13, 8, 0, 13.24, 1005.7, -3.9, 6, 14.4, 0, 44, 200, 10, 002D46A00C2AE40D81AF0AFF000B20626760AE4B
2022-10-13 07:00:00, 55.832200, -10.625200, 0, 2022, 10, 13, 7, 0, 13.22, 1007.0, -4.1, 8, 14.4, 0, 48, 118, 7, 002D469C0C44E3CD622F07FF000B20496760D3BC
2022-10-13 06:00:00, 55.827400, -10.627600, 0, 2022, 10, 13, 6, 0, 13.22, 1007.9, -3.9, 6, 14.4, 0, 36, 224, 16, 002D46980C56E3CD81AF10FF000B203167607709
2022-10-13 05:00:00, 55.824200, -10.636000, 0, 2022, 10, 13, 5, 0, 13.22, 1009.6, -3.1, 6, 14.4, 0, 44, 174, 11, 002D46940C78E3CE01AF0BFF000B2021675F257B
2022-10-13 04:00:00, 55.821200, -10.648400, 0, 2022, 10, 13, 4, 0, 13.22, 1011.1, -2.4, 7, 14.4, 0, 44, 218, 8, 002D46900C96E3CE71EF08FF000B2012675D36DB
2022-10-13 03:00:00, 55.813200, -10.659000, 0, 2022, 10, 13, 3, 0, 13.23, 1011.8, -1.8, 10, 14.4, 0, 48, 194, 8, 002D468C0CA4E3EED2AF08FF000B1FEA675B8E1C
2022-10-13 02:00:00, 55.773200, -10.660400, 0, 2022, 10, 13, 2, 0, 13.23, 1012.7, -0.9, 7, 14.4, 181, 36, 254, 16, 002D46880CB6E3EF61EF10FF0B5B1F22675B57F9
2022-10-13 01:00:00, 55.773200, -10.660400, 0, 2022, 10, 13, 1, 0, 13.23, 1013.5, -0.2, 7, 14.4, 121, 44, 254, 12, 002D46840CC6E3EFD1EF0CFF079B1F22675B57FB
2022-10-13 00:00:00, 55.773200, -10.660400, 0, 2022, 10, 13, 0, 0, 13.24, 1013.6, 0.0, 6, 14.4, 61, 32, 254, 18, 002D46800CC8E40FF1AF12FF03DB1F22675B57F8
2022-10-12 23:00:00, 55.773200, -10.660400, 0, 2022, 10, 12, 23, 0, 13.24, 1013.6, -0.2, 6, 14.4, 0, 44, 136, 7, 002D465C0CC8E40FD1AF07FF000B1F22675B544B
2022-10-12 22:00:00, 55.768800, -10.652600, 0, 2022, 10, 12, 22, 0, 13.24, 1013.8, 0.0, 8, 14.4, 0, 44, 170, 12, 002D46580CCCE40FF22F0CFF000B1F0C675C8D5B
2022-10-12 21:00:00, 55.765000, -10.646200, 0, 2022, 10, 12, 21, 0, 13.24, 1013.6, -0.1, 7, 14.4, 0, 44, 200, 9, 002D46540CC8E40FE1EF09FF000B1EF9675D8E4B
2022-10-12 20:00:00, 55.761000, -10.641400, 0, 2022, 10, 12, 20, 0, 13.24, 1013.7, 0.2, 6, 14.4, 0, 44, 130, 7, 002D46500CCAE41011AF07FF000B1EE5675E4C1B
2022-10-12 19:00:00, 55.760400, -10.650200, 0, 2022, 10, 12, 19, 0, 13.25, 1013.8, 0.1, 7, 14.4, 60, 44, 254, 9, 002D464C0CCCE43001EF09FF03CB1EE2675CEFFB
2022-10-12 18:00:00, 55.760400, -10.650200, 0, 2022, 10, 12, 18, 0, 13.25, 1013.7, -0.5, 11, 14.4, 0, 44, 200, 17, 002D46480CCAE42FA2EF11FF000B1EE2675CEE4B
2022-10-12 17:00:00, 55.757400, -10.664000, 0, 2022, 10, 12, 17, 0, 13.26, 1013.6, -1.1, 8, 14.4, 0, 44, 202, 7, 002D46440CC8E44F422F07FF000B1ED3675AC65B
2022-10-12 16:00:00, 55.752000, -10.684400, 0, 2022, 10, 12, 16, 0, 13.26, 1013.6, -1.0, 6, 14.4, 0, 44, 164, 10, 002D46400CC8E44F51AF0AFF000B1EB86757952B
2022-10-12 15:00:00, 55.732200, -10.709600, 0, 2022, 10, 12, 15, 0, 13.26, 1014.2, -0.7, 6, 14.4, 61, 36, 254, 9, 002D463C0CD4E44F81AF09FF03DB1E556753A7F9
2022-10-12 14:00:00, 55.732200, -10.709600, 0, 2022, 10, 12, 14, 0, 13.26, 1014.6, -0.1, 9, 14.4, 0, 44, 134, 7, 002D46380CDCE44FE26F07FF000B1E556753A43B
2022-10-12 13:00:00, 55.715200, -10.712200, 0, 2022, 10, 12, 13, 0, 13.25, 1014.6, 0.2, 6, 14.4, 60, 44, 254, 9, 002D46340CDCE43011AF09FF03CB1E0067533FFB
2022-10-12 12:00:00, 55.715200, -10.712200, 0, 2022, 10, 12, 12, 0, 13.24, 1014.9, 1.3, 6, 14.4, 0, 44, 204, 8, 002D46300CE2E410C1AF08FF000B1E0067533E6B
2022-10-12 11:00:00, 55.701200, -10.702200, 0, 2022, 10, 12, 11, 0, 13.24, 1014.7, 1.1, 8, 14.4, 61, 44, 254, 20, 002D462C0CDEE410A22F14FF03DB1DBA6754CFFB
2022-10-12 10:00:00, 55.701200, -10.702200, 0, 2022, 10, 12, 10, 0, 13.23, 1014.4, 1.3, 11, 14.4, 0, 40, 168, 9, 002D46280CD8E3F0C2EF09FF000B1DBA6754CD4A
2022-10-12 09:00:00, 55.696000, -10.697000, 0, 2022, 10, 12, 9, 0, 13.22, 1013.7, 1.3, 5, 14.4, 0, 36, 166, 11, 002D46240CCAE3D0C16F0BFF000B1DA067559D39
2022-10-12 08:00:00, 55.688200, -10.699000, 0, 2022, 10, 12, 8, 0, 13.22, 1013.6, 1.9, 6, 14.4, 61, 44, 254, 7, 002D46200CC8E3D121AF07FF03DB1D7967554FFB
2022-10-12 07:00:00, 55.688200, -10.699000, 0, 2022, 10, 12, 7, 0, 13.23, 1013.1, 1.9, 6, 14.4, 0, 44, 144, 7, 002D461C0CBEE3F121AF07FF000B1D7967554C8B
2022-10-12 06:00:00, 55.684400, -10.702200, 0, 2022, 10, 12, 6, 0, 13.23, 1012.4, 1.7, 9, 14.4, 0, 40, 170, 7, 002D46180CB0E3F1026F07FF000B1D666754CD5A
2022-10-12 05:00:00, 55.680400, -10.709000, 0, 2022, 10, 12, 5, 0, 13.24, 1011.7, 2.0, 6, 14.4, 0, 40, 228, 11, 002D46140CA2E41131AF0BFF000B1D526753BF2A
2022-10-12 04:00:00, 55.677000, -10.715200, 0, 2022, 10, 12, 4, 0, 13.23, 1011.2, 3.1, 5, 14.4, 0, 44, 206, 18, 002D46100C98E3F1E16F12FF000B1D416752C67B
