Data Date (UTC), Latitude, Longitude, Voltage, Sea Surface Temperature, Report Body
2021-10-17 23:19:33, 49.072420, -61.936950, 13.555, 11.62, latitude=49.07242;longitude=-61.93695;fixValid=True;timeToFix=41;fixTime=1634512773;orientation=0;voltage=13.555;temperature=11.61719
2021-10-17 22:18:56, 49.072480, -61.936980, 13.555, 11.6, latitude=49.07248;longitude=-61.93698;fixValid=True;timeToFix=14;fixTime=1634509136;orientation=0;voltage=13.555;temperature=11.60157
2021-10-17 21:18:46, 49.072420, -61.936980, 13.555, 11.65, latitude=49.07242;longitude=-61.93698;fixValid=True;timeToFix=27;fixTime=1634505526;orientation=0;voltage=13.555;temperature=11.64844
2021-10-17 20:18:23, 49.072420, -61.936950, 13.555, 11.76, latitude=49.07242;longitude=-61.93695;fixValid=True;timeToFix=13;fixTime=1634501903;orientation=0;voltage=13.555;temperature=11.75782
2021-10-17 19:18:14, 49.072430, -61.936950, 13.555, 11.93, latitude=49.07243;longitude=-61.93695;fixValid=True;timeToFix=13;fixTime=1634498294;orientation=0;voltage=13.555;temperature=11.92969
2021-10-17 18:18:05, 49.072420, -61.936980, 13.555, 11.88, latitude=49.07242;longitude=-61.93698;fixValid=True;timeToFix=44;fixTime=1634494685;orientation=0;voltage=13.555;temperature=11.875
2021-10-17 17:17:25, 49.072480, -61.936820, 13.555, 11.84, latitude=49.07248;longitude=-61.93682;fixValid=True;timeToFix=13;fixTime=1634491045;orientation=0;voltage=13.555;temperature=11.83594
2021-10-17 16:17:16, 49.072390, -61.936920, 13.555, 11.81, latitude=49.07239;longitude=-61.93692;fixValid=True;timeToFix=26;fixTime=1634487436;orientation=0;voltage=13.555;temperature=11.8125
2021-10-17 15:16:53, 49.072430, -61.936990, 13.555, 11.73, latitude=49.07243;longitude=-61.93699;fixValid=True;timeToFix=14;fixTime=1634483813;orientation=0;voltage=13.555;temperature=11.72656
2021-10-17 14:16:46, 49.072430, -61.936980, 13.555, 11.32, latitude=49.07243;longitude=-61.93698;fixValid=True;timeToFix=11;fixTime=1634480206;orientation=0;voltage=13.555;temperature=11.32031
2021-10-17 13:16:37, 49.072430, -61.936990, 13.555, 11.08, latitude=49.07243;longitude=-61.93699;fixValid=True;timeToFix=40;fixTime=1634476597;orientation=0;voltage=13.555;temperature=11.07813
2021-10-17 12:16:02, 49.072710, -61.936950, 13.555, 10.65, latitude=49.07271;longitude=-61.93695;fixValid=True;timeToFix=19;fixTime=1634472962;orientation=0;voltage=13.555;temperature=10.64844
2021-10-17 11:15:46, 49.072360, -61.937080, 13.555, 10.69, latitude=49.07236;longitude=-61.93708;fixValid=True;timeToFix=24;fixTime=1634469346;orientation=0;voltage=13.555;temperature=10.6875
2021-10-17 10:15:26, 49.072610, -61.937020, 13.555, 10.47, latitude=49.07261;longitude=-61.93702;fixValid=True;timeToFix=13;fixTime=1634465726;orientation=0;voltage=13.555;temperature=10.46875
2021-10-17 09:15:16, 49.072430, -61.937050, 13.555, 10.29, latitude=49.07243;longitude=-61.93705;fixValid=True;timeToFix=34;fixTime=1634462116;orientation=0;voltage=13.555;temperature=10.28906
2021-10-17 08:14:46, 49.072470, -61.937070, 13.555, 10.2, latitude=49.07247;longitude=-61.93707;fixValid=True;timeToFix=24;fixTime=1634458486;orientation=0;voltage=13.555;temperature=10.20313
2021-10-17 07:14:26, 49.072360, -61.936890, 13.555, 9.98, latitude=49.07236;longitude=-61.93689;fixValid=True;timeToFix=14;fixTime=1634454866;orientation=0;voltage=13.555;temperature=9.976563
