Data Date (UTC), Latitude, Longitude, Voltage, Sea Surface Temperature, Report Body
2022-02-21 00:36:02, 90.0100200, 180.0300000, 12.847, 16.74, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645403762;orientation=0;voltage=12.847;temperature=16.74219
2022-02-20 23:32:55, 90.0100200, 180.0300000, 12.847, 16.84, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645399975;orientation=1;voltage=12.847;temperature=16.83594
2022-02-20 22:29:49, 90.0100200, 180.0300000, 12.847, 16.9, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645396189;orientation=0;voltage=12.847;temperature=16.89844
2022-02-20 21:26:43, 90.0100200, 180.0300000, 12.847, 16.95, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645392403;orientation=0;voltage=12.847;temperature=16.94531
2022-02-20 20:23:37, 90.0100200, 180.0300000, 12.847, 16.98, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645388617;orientation=1;voltage=12.847;temperature=16.97657
2022-02-20 19:20:31, 90.0100200, 180.0300000, 12.847, 17.02, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645384831;orientation=0;voltage=12.847;temperature=17.01563
2022-02-20 18:17:26, 90.0100200, 180.0300000, 12.847, 17.06, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645381046;orientation=0;voltage=12.847;temperature=17.0625
2022-02-20 17:14:20, 90.0100200, 180.0300000, 12.906, 17.15, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645377260;orientation=0;voltage=12.906;temperature=17.14844
2022-02-20 16:11:14, 90.0100200, 180.0300000, 12.906, 17.15, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645373474;orientation=0;voltage=12.906;temperature=17.14844
2022-02-20 15:08:07, 90.0100200, 180.0300000, 12.906, 17.1, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645369687;orientation=1;voltage=12.906;temperature=17.10156
2022-02-20 14:05:01, 90.0100200, 180.0300000, 12.906, 17.17, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645365901;orientation=0;voltage=12.906;temperature=17.17188
2022-02-20 13:01:56, 90.0100200, 180.0300000, 12.906, 17.18, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645362116;orientation=1;voltage=12.906;temperature=17.17969
2022-02-20 11:58:49, 90.0100200, 180.0300000, 12.906, 17.07, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645358329;orientation=0;voltage=12.906;temperature=17.07032
2022-02-20 10:55:43, 90.0100200, 180.0300000, 12.906, 17.07, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645354543;orientation=0;voltage=12.906;temperature=17.07032
2022-02-20 09:52:38, 90.0100200, 180.0300000, 12.906, 17.13, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645350758;orientation=0;voltage=12.906;temperature=17.13281
2022-02-20 08:49:31, 90.0100200, 180.0300000, 12.906, 17.14, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=199;fixTime=1645346971;orientation=1;voltage=12.906;temperature=17.14063
2022-02-20 07:47:07, 90.0100200, 180.0300000, 12.906, 17.16, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645343227;orientation=1;voltage=12.906;temperature=17.16406
2022-02-20 06:44:01, 90.0100200, 180.0300000, 12.906, 17.2, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645339441;orientation=0;voltage=12.906;temperature=17.19531
2022-02-20 05:40:54, 90.0100200, 180.0300000, 12.906, 17.19, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645335654;orientation=0;voltage=12.906;temperature=17.1875
2022-02-20 04:37:48, 90.0100200, 180.0300000, 12.906, 17.15, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645331868;orientation=1;voltage=12.906;temperature=17.14844
2022-02-20 03:34:43, 90.0100200, 180.0300000, 12.906, 17.19, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645328083;orientation=0;voltage=12.906;temperature=17.1875
2022-02-20 02:31:38, 90.0100200, 180.0300000, 12.906, 17.1, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645324298;orientation=1;voltage=12.906;temperature=17.10156
2022-02-20 01:28:31, 90.0100200, 180.0300000, 12.906, 17.19, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645320511;orientation=0;voltage=12.906;temperature=17.1875
2022-02-20 00:25:24, 90.0100200, 180.0300000, 12.906, 17.12, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645316724;orientation=1;voltage=12.906;temperature=17.125
2022-02-19 23:22:19, 90.0100200, 180.0300000, 12.906, 16.91, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645312939;orientation=1;voltage=12.906;temperature=16.90625
2022-02-19 22:19:13, 90.0100200, 180.0300000, 12.906, 16.95, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645309153;orientation=1;voltage=12.906;temperature=16.94531
2022-02-19 21:16:07, 90.0100200, 180.0300000, 12.906, 17.02, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645305367;orientation=0;voltage=12.906;temperature=17.01563
2022-02-19 20:13:01, 90.0100200, 180.0300000, 12.906, 17.06, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645301581;orientation=0;voltage=12.906;temperature=17.0625
2022-02-19 19:09:54, 90.0100200, 180.0300000, 12.965, 17.11, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645297794;orientation=1;voltage=12.965;temperature=17.10937
2022-02-19 18:06:49, 90.0100200, 180.0300000, 12.965, 17.09, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645294009;orientation=0;voltage=12.965;temperature=17.08594
2022-02-19 17:03:43, 90.0100200, 180.0300000, 12.965, 16.94, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645290223;orientation=1;voltage=12.965;temperature=16.9375
2022-02-19 16:00:37, 90.0100200, 180.0300000, 12.965, 16.88, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=242;fixTime=1645286437;orientation=0;voltage=12.965;temperature=16.88281
2022-02-19 14:57:31, 90.0100200, 180.0300000, 12.965, 16.83, latitude=90.01002;longitude=180.03;fixValid=False;timeToFix=241;fixTime=1645282651;orientation=0;voltage=12.965;temperature=16.82813
