Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2022-10-13 10:00:00, 43.585950, -69.529560, 2022, 286, 10, 0, 2022, 286, 10, 0, 12.4, 12, 14.68, 24, 3, 46, -33.9, 5A3CA02705A3CA02F675A9CCDE0CEE0CC05080
2022-10-13 09:00:00, 43.585090, -69.522336, 2022, 286, 9, 0, 2022, 286, 9, 0, 12.5, 7, 14.68, 24, 2, 46, -33.9, 5A3C902715A3C902F67469CD080CAE07C05080
2022-10-13 08:00:00, 43.583628, -69.514252, 2022, 286, 8, 0, 2022, 286, 8, 0, 12.5, 7, 14.68, 24, 2, 45, -33.9, 5A3C802715A3C802F67249CD370CAD07C05080
2022-10-13 07:00:00, 43.582424, -69.506942, 2022, 286, 7, 0, 2022, 286, 7, 0, 12.4, 9, 14.68, 24, 2, 45, -33.9, 5A3C702705A3C702F67089CD618CAD09C05080
2022-10-13 06:00:00, 43.580790, -69.499374, 2022, 286, 6, 0, 2022, 286, 6, 0, 12.4, 10, 14.68, 24, 2, 46, -33.9, 5A3C602705A3C602F66E29CD8D8CAE0AC05080
2022-10-13 05:00:00, 43.578382, -69.492064, 2022, 286, 5, 0, 2022, 286, 5, 0, 12.4, 8, 14.68, 24, 3, 45, -33.9, 5A3C502705A3C502F66AA9CDB80CED08C05080
2022-10-13 04:00:00, 43.574426, -69.485700, 2022, 286, 4, 0, 2022, 286, 4, 0, 12.4, 8, 14.68, 34, 2, 46, -33.8, 5A3C402705A3C402F664E9CDDD11AE08C05100
2022-10-13 03:00:00, 43.569180, -69.479680, 2022, 286, 3, 0, 2022, 286, 3, 0, 12.4, 8, 14.68, 24, 2, 47, -33.9, 5A3C302705A3C302F65D49CE000CAF08C05080
2022-10-13 02:00:00, 43.563934, -69.475638, 2022, 286, 2, 0, 2022, 286, 2, 0, 12.4, 11, 14.68, 24, 2, 47, -33.8, 5A3C202705A3C202F655A9CE178CAF0BC05100
2022-10-13 01:00:00, 43.558344, -69.474606, 2022, 286, 1, 0, 2022, 286, 1, 0, 12.4, 10, 14.68, 24, 3, 46, -33.8, 5A3C102705A3C102F64D89CE1D8CEE0AC05100
2022-10-13 00:00:00, 43.552840, -69.473058, 2022, 286, 0, 0, 2022, 286, 0, 0, 12.5, 7, 14.68, 24, 2, 46, -33.9, 5A3C002715A3C002F64589CE268CAE07C05080
2022-10-12 23:00:00, 43.547594, -69.470048, 2022, 285, 23, 0, 2022, 285, 23, 0, 12.5, 10, 14.68, 24, 2, 46, -33.9, 5A3B702715A3B702F63DE9CE380CAE0AC05080
2022-10-12 22:00:00, 43.543810, -69.465576, 2022, 285, 22, 0, 2022, 285, 22, 0, 12.7, 10, 14.68, 24, 2, 46, -33.9, 5A3B602735A3B602F63869CE520CAE0AC05080
2022-10-12 21:00:00, 43.541660, -69.459470, 2022, 285, 21, 0, 2022, 285, 21, 0, 13.0, 7, 14.68, 24, 2, 48, -33.9, 5A3B502765A3B502F63549CE758CB007C05080
2022-10-12 20:00:00, 43.540456, -69.453622, 2022, 285, 20, 0, 2022, 285, 20, 0, 13.3, 7, 14.68, 36, 2, 48, -33.9, 5A3B402795A3B402F63389CE9792B007C05080
2022-10-12 19:00:00, 43.540456, -69.446570, 2022, 285, 19, 0, 2022, 285, 19, 0, 13.3, 13, 14.68, 24, 2, 48, -33.9, 5A3B302795A3B302F63389CEC08CB00DC05080
2022-10-12 18:00:00, 43.539166, -69.438400, 2022, 285, 18, 0, 2022, 285, 18, 0, 13.3, 7, 14.68, 24, 3, 47, -33.9, 5A3B202795A3B202F631A9CEF00CEF07C05080
2022-10-12 17:00:00, 43.537274, -69.429542, 2022, 285, 17, 0, 2022, 285, 17, 0, 13.3, 12, 14.68, 22, 2, 45, -33.9, 5A3B102795A3B102F62EE9CF238BAD0CC05080
2022-10-12 16:00:00, 43.535468, -69.419996, 2022, 285, 16, 0, 2022, 285, 16, 0, 12.9, 7, 14.68, 24, 2, 45, -33.8, 5A3B002755A3B002F62C49CF5B0CAD07C05100
2022-10-12 15:00:00, 43.532372, -69.410622, 2022, 285, 15, 0, 2022, 285, 15, 0, 12.7, 7, 14.68, 34, 2, 47, -33.9, 5A3AF02735A3AF02F627C9CF9191AF07C05080
2022-10-12 14:00:00, 43.528502, -69.402452, 2022, 285, 14, 0, 2022, 285, 14, 0, 12.6, 9, 14.68, 24, 3, 47, -33.9, 5A3AE02725A3AE02F62229CFC10CEF09C05080
2022-10-12 13:00:00, 43.524116, -69.393336, 2022, 285, 13, 0, 2022, 285, 13, 0, 12.4, 9, 14.68, 36, 2, 45, -33.9, 5A3AD02705A3AD02F61BC9CFF612AD09C05080
2022-10-12 12:00:00, 43.520848, -69.384478, 2022, 285, 12, 0, 2022, 285, 12, 0, 12.4, 8, 14.68, 24, 2, 45, -33.8, 5A3AC02705A3AC02F61709D0298CAD08C05100
2022-10-12 11:00:00, 43.519644, -69.376824, 2022, 285, 11, 0, 2022, 285, 11, 0, 12.4, 7, 14.68, 34, 2, 45, -33.9, 5A3AB02705A3AB02F61549D05611AD07C05080
2022-10-12 10:00:00, 43.520676, -69.370374, 2022, 285, 10, 0, 2022, 285, 10, 0, 12.4, 6, 14.68, 24, 2, 46, -33.9, 5A3AA02705A3AA02F616C9D07B8CAE06C05080
2022-10-12 09:00:00, 43.523858, -69.365128, 2022, 285, 9, 0, 2022, 285, 9, 0, 12.4, 7, 14.68, 24, 2, 46, -33.9, 5A3A902705A3A902F61B69D09A0CAE07C05080
2022-10-12 08:00:00, 43.528330, -69.361602, 2022, 285, 8, 0, 2022, 285, 8, 0, 12.4, 8, 14.68, 24, 2, 46, -33.9, 5A3A802705A3A802F621E9D0AE8CAE08C05080
2022-10-12 07:00:00, 43.532028, -69.356958, 2022, 285, 7, 0, 2022, 285, 7, 0, 12.5, 8, 14.68, 24, 2, 45, -33.9, 5A3A702715A3A702F62749D0C98CAD08C05080
2022-10-12 06:00:00, 43.533920, -69.351024, 2022, 285, 6, 0, 2022, 285, 6, 0, 12.5, 7, 14.68, 24, 2, 46, -33.9, 5A3A602715A3A602F62A09D0EC0CAE07C05080
2022-10-12 05:00:00, 43.533834, -69.344058, 2022, 285, 5, 0, 2022, 285, 5, 0, 12.5, 6, 14.68, 24, 3, 45, -33.8, 5A3A502715A3A502F629E9D1148CED06C05100
2022-10-12 04:00:00, 43.532286, -69.335544, 2022, 285, 4, 0, 2022, 285, 4, 0, 12.5, 9, 14.68, 36, 2, 46, -33.9, 5A3A402715A3A402F627A9D14612AE09C05080
2022-10-12 03:00:00, 43.529964, -69.326428, 2022, 285, 3, 0, 2022, 285, 3, 0, 12.5, 10, 14.68, 24, 2, 47, -33.9, 5A3A302715A3A302F62449D17B0CAF0AC05080
2022-10-12 02:00:00, 43.527126, -69.319462, 2022, 285, 2, 0, 2022, 285, 2, 0, 12.6, 11, 14.68, 24, 2, 47, -33.9, 5A3A202725A3A202F62029D1A38CAF0BC05080
2022-10-12 01:00:00, 43.522396, -69.314388, 2022, 285, 1, 0, 2022, 285, 1, 0, 12.6, 7, 14.68, 20, 3, 46, -33.9, 5A3A102725A3A102F61949D1C10AEE07C05080
2022-10-12 00:00:00, 43.518698, -69.310174, 2022, 285, 0, 0, 2022, 285, 0, 0, 12.7, 7, 14.68, 24, 2, 46, -33.9, 5A3A002735A3A002F613E9D1D98CAE07C05080
2022-10-11 23:00:00, 43.518096, -69.305874, 2022, 284, 23, 0, 2022, 284, 23, 0, 12.7, 8, 14.68, 24, 2, 46, -33.9, 5A39702735A39702F61309D1F28CAE08C05080
