"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"7284090","147395782","Osker 1212","Sep 13 2022 12:20:09.001 PM","44.420416","-66.926080","9","34","8","false","297.0","2.160","1.166","1.0"
"7284098","147396568","Osker 1212","Sep 13 2022 12:30:09.001 PM","44.424288","-66.930861","9","33","5","false","327.0","4.680","2.527","1.8"
"7284117","147396704","OPP_SIO_SOO 1212","Sep 13 2022 12:40:11.001 PM","44.428102","-66.934925","11","30","4","false","333.0","5.400","2.916","2.8"
"7284170","147396832","OPP_SIO_SOO 1212","Sep 13 2022 12:51:03.001 PM","44.432102","-66.938918","63","33","4","false","336.0","5.400","2.916","4.2"
"7284173","147396952","OPP_SIO_SOO 1212","Sep 13 2022 12:55:05.001 PM","44.433421","-66.940314","7","33","5","false","228.0","1.080","0.583","1.6"
"7284184","147396998","OPP_SIO_SOO 1212","Sep 13 2022 01:00:07.001 PM","44.435014","-66.942099","9","34","5","false","321.0","3.240","1.749","1.6"
"7284231","147397253","OPP_SIO_SOO 1212","Sep 13 2022 01:05:05.001 PM","44.436448","-66.943789","7","32","5","false","0.0","1.080","0.583","1.6"
"7284244","147398425","OPP_SIO_SOO 1212","Sep 13 2022 01:10:10.001 PM","44.438074","-66.945459","12","32","5","false","312.0","1.440","0.778","1.6"
"7284253","147399489","OPP_SIO_SOO 1212","Sep 13 2022 01:15:06.001 PM","44.439706","-66.947091","8","33","5","false","357.0","10.800","5.832","1.4"
"7284262","147400456","OPP_SIO_SOO 1212","Sep 13 2022 01:20:06.001 PM","44.441434","-66.948614","8","33","5","false","348.0","4.320","2.333","1.4"
"7284268","147401165","OPP_SIO_SOO 1212","Sep 13 2022 01:25:05.001 PM","44.442893","-66.950054","7","33","5","false","333.0","1.080","0.583","1.4"
"7284274","147401248","OPP_SIO_SOO 1212","Sep 13 2022 01:30:06.001 PM","44.444480","-66.951699","8","32","5","false","312.0","9.720","5.248","1.4"
"7284278","147401324","OPP_SIO_SOO 1212","Sep 13 2022 01:35:06.001 PM","44.446125","-66.953037","8","32","4","false","111.0","4.680","2.527","2.8"
"7284284","147401406","OPP_SIO_SOO 1212","Sep 13 2022 01:40:33.001 PM","44.447872","-66.954342","35","32","6","false","339.0","2.160","1.166","1.6"
"7284291","147401471","OPP_SIO_SOO 1212","Sep 13 2022 01:45:06.001 PM","44.449517","-66.955264","8","33","6","false","66.0","1.800","0.972","1.6"
"7284297","147401539","OPP_SIO_SOO 1212","Sep 13 2022 01:50:06.001 PM","44.451322","-66.956064","8","33","5","false","339.0","7.920","4.276","1.8"
"7284301","147401646","OPP_SIO_SOO 1212","Sep 13 2022 01:55:06.001 PM","44.453498","-66.957229","8","32","6","false","333.0","3.960","2.138","1.4"
"7284376","147401784","OPP_SIO_SOO 1212","Sep 13 2022 02:02:33.001 PM","44.456845","-66.958886","155","32","5","false","351.0","1.800","0.972","1.4"
"7284379","147401977","OPP_SIO_SOO 1212","Sep 13 2022 02:05:07.001 PM","44.458093","-66.959117","9","32","5","false","351.0","3.600","1.944","1.4"
"7284386","147403074","OPP_SIO_SOO 1212","Sep 13 2022 02:10:06.001 PM","44.460608","-66.959642","8","32","5","false","306.0","9.000","4.860","1.4"
"7284389","147405110","OPP_SIO_SOO 1212","Sep 13 2022 02:20:06.001 PM","44.465350","-66.959782","8","33","5","false","42.0","17.640","9.525","2.0"
"7284393","147405856","OPP_SIO_SOO 1212","Sep 13 2022 02:25:09.001 PM","44.467533","-66.959776","11","31","5","false","360.0","2.880","1.555","2.0"
"7284404","147406021","OPP_SIO_SOO 1212","Sep 13 2022 02:30:16.001 PM","44.469862","-66.960019","18","33","5","false","3.0","2.880","1.555","2.0"
"7284407","147406092","OPP_SIO_SOO 1212","Sep 13 2022 02:38:06.001 PM","44.472877","-66.960461","9","32","6","false","354.0","3.240","1.749","2.8"
"7284408","147406092","OPP_SIO_SOO 1212","Sep 13 2022 02:40:08.001 PM","44.473690","-66.960506","10","34","6","false","183.0","1.080","0.583","2.0"
"7284410","147406134","OPP_SIO_SOO 1212","Sep 13 2022 02:45:06.001 PM","44.475827","-66.960909","8","33","7","false","345.0","2.520","1.361","2.6"
"7284412","147406197","OPP_SIO_SOO 1212","Sep 13 2022 02:50:06.001 PM","44.478355","-66.961395","8","34","7","false","339.0","7.200","3.888","2.4"
"7284415","147406303","OPP_SIO_SOO 1212","Sep 13 2022 02:55:06.001 PM","44.480819","-66.961741","8","34","6","false","357.0","4.320","2.333","2.6"
"7284420","147406350","OPP_SIO_SOO 1212","Sep 13 2022 03:00:06.001 PM","44.483078","-66.961971","8","34","7","false","348.0","6.120","3.305","2.2"
"7284459","147406636","OPP_SIO_SOO 1212","Sep 13 2022 03:05:06.001 PM","44.485562","-66.961850","8","34","7","false","336.0","6.840","3.693","2.0"
"7284488","147407736","OPP_SIO_SOO 1212","Sep 13 2022 03:10:06.001 PM","44.488141","-66.961171","8","35","5","false","12.0","5.760","3.110","3.6"
"7284491","147408853","OPP_SIO_SOO 1212","Sep 13 2022 03:15:16.001 PM","44.491123","-66.960742","18","35","7","false","21.0","4.680","2.527","2.0"
"7284495","147409721","OPP_SIO_SOO 1212","Sep 13 2022 03:20:06.001 PM","44.493786","-66.960608","7","33","7","false","333.0","5.040","2.721","1.8"
"7284506","147410605","OPP_SIO_SOO 1212","Sep 13 2022 03:25:06.001 PM","44.496506","-66.960627","8","33","6","false","348.0","4.680","2.527","2.2"
"7284512","147410680","OPP_SIO_SOO 1212","Sep 13 2022 03:32:28.001 PM","44.500326","-66.960883","6","36","6","false","27.0","6.840","3.693","2.2"
"7284513","147410680","OPP_SIO_SOO 1212","Sep 13 2022 03:35:05.001 PM","44.501645","-66.960762","6","34","6","false","345.0","5.400","2.916","2.0"
"7284514","147410721","OPP_SIO_SOO 1212","Sep 13 2022 03:40:05.001 PM","44.504410","-66.960890","6","35","6","false","330.0","3.960","2.138","2.2"
"7284519","147410797","OPP_SIO_SOO 1212","Sep 13 2022 03:45:06.001 PM","44.506963","-66.960691","7","34","6","false","6.0","2.880","1.555","2.2"
"7284523","147410873","OPP_SIO_SOO 1212","Sep 13 2022 03:50:06.001 PM","44.508941","-66.960301","7","33","5","false","105.0","5.760","3.110","2.8"
"7284531","147410991","OPP_SIO_SOO 1212","Sep 13 2022 03:55:05.001 PM","44.510726","-66.959789","6","34","6","false","354.0","5.040","2.721","2.4"
"7284563","147411095","OPP_SIO_SOO 1212","Sep 13 2022 04:00:06.001 PM","44.512134","-66.959539","7","33","6","false","318.0","5.760","3.110","2.6"
"7284679","147415732","OPP_SIO_SOO 1212","Sep 13 2022 05:00:19.001 PM","44.528576","-66.957894","20","35","4","false","0.0","1.080","0.583","2.8"
"7284801","147420546","OPP_SIO_SOO 1212","Sep 13 2022 06:02:03.001 PM","44.536806","-66.960077","124","34","5","false","0.0","0.360","0.194","2.8"
"7285109","147430770","OPP_SIO_SOO 1212","Sep 13 2022 07:12:33.001 PM","44.520621","-66.972742","89","30","5","false","204.0","3.240","1.749","1.4"
"7285110","147430770","OPP_SIO_SOO 1212","Sep 13 2022 08:00:10.001 PM","44.498317","-66.990342","12","35","5","false","210.0","3.960","2.138","2.0"
"7285166","147434406","OPP_SIO_SOO 1212","Sep 13 2022 09:01:03.001 PM","44.469856","-67.030656","65","35","4","false","228.0","4.680","2.527","2.4"
"7285294","147439164","OPP_SIO_SOO 1212","Sep 13 2022 10:00:47.001 PM","44.450586","-67.067917","50","31","6","false","237.0","3.600","1.944","1.2"
"7285401","147443892","OPP_SIO_SOO 1212","Sep 13 2022 11:00:10.001 PM","44.440710","-67.107059","11","35","6","false","249.0","2.880","1.555","1.6"
"7285823","147448852","OPP_SIO_SOO 1212","Sep 14 2022 12:01:27.001 AM","44.437050","-67.137779","88","30","5","false","294.0","1.800","0.972","2.0"
"7286723","147453778","OPP_SIO_SOO 1212","Sep 14 2022 01:00:21.001 AM","44.445824","-67.150739","21","33","5","false","345.0","2.160","1.166","1.6"
"7286909","147463813","OPP_SIO_SOO 1212","Sep 14 2022 02:24:41.001 AM","44.473549","-67.145440","149","32","5","false","12.0","3.240","1.749","1.4"
"7286910","147463813","OPP_SIO_SOO 1212","Sep 14 2022 03:00:16.001 AM","44.488058","-67.137606","16","31","5","false","78.0","4.680","2.527","2.0"
"7286948","147467518","OPP_SIO_SOO 1212","Sep 14 2022 04:00:40.001 AM","44.512672","-67.120678","39","35","5","false","27.0","3.960","2.138","2.0"
"7287043","147471918","OPP_SIO_SOO 1212","Sep 14 2022 05:01:10.001 AM","44.536640","-67.102573","69","34","5","false","6.0","2.520","1.361","4.8"
"7287168","147476500","OPP_SIO_SOO 1212","Sep 14 2022 06:01:53.001 AM","44.543846","-67.098477","112","33","5","false","294.0","0.360","0.194","1.4"
"7287286","147481187","OPP_SIO_SOO 1212","Sep 14 2022 07:01:02.001 AM","44.535898","-67.104230","64","32","5","false","234.0","2.160","1.166","2.0"
"7287405","147485903","OPP_SIO_SOO 1212","Sep 14 2022 08:00:34.001 AM","44.517453","-67.125037","36","42","10","false","225.0","2.160","1.166","1.0"
"7287516","147490616","OPP_SIO_SOO 1212","Sep 14 2022 09:00:08.001 AM","44.497338","-67.154867","10","41","6","false","228.0","3.600","1.944","1.8"
"7287592","147495152","OPP_SIO_SOO 1212","Sep 14 2022 10:00:25.001 AM","44.480909","-67.180960","26","32","5","false","228.0","2.520","1.361","2.0"
"7287752","147500761","OPP_SIO_SOO 1212","Sep 14 2022 11:00:38.001 AM","44.472525","-67.200230","39","42","8","false","264.0","1.800","0.972","1.2"
"7287902","147504553","OPP_SIO_SOO 1212","Sep 14 2022 12:03:01.001 PM","44.471923","-67.208819","182","30","7","false","165.0","1.800","0.972","1.4"
"7288134","147509241","OPP_SIO_SOO 1212","Sep 14 2022 01:00:33.001 PM","44.478886","-67.207360","33","41","6","false","30.0","1.440","0.778","1.2"
"7288345","147513994","OPP_SIO_SOO 1212","Sep 14 2022 02:00:11.001 PM","44.493139","-67.197146","11","40","5","false","33.0","1.440","0.778","3.2"
"7288437","147518714","OPP_SIO_SOO 1212","Sep 14 2022 03:00:33.001 PM","44.517286","-67.176122","33","33","7","false","33.0","6.120","3.305","1.8"
"7288584","147523366","OPP_SIO_SOO 1212","Sep 14 2022 04:00:10.001 PM","44.548506","-67.151987","9","42","6","false","42.0","2.520","1.361","2.8"
"7288654","147527883","OPP_SIO_SOO 1212","Sep 14 2022 05:00:33.001 PM","44.569235","-67.123085","32","42","6","false","51.0","2.160","1.166","1.8"
"7288818","147532799","OPP_SIO_SOO 1212","Sep 14 2022 06:00:34.001 PM","44.579462","-67.098822","33","33","5","false","90.0","1.800","0.972","1.6"
"7288941","147537457","OPP_SIO_SOO 1212","Sep 14 2022 07:00:40.001 PM","44.582746","-67.080954","39","33","5","false","63.0","5.400","2.916","1.4"
