Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-10-13 10:00:00, 44.391000, -66.627600, 0, 2022, 10, 13, 10, 0, 12.34, 1022.2, 0.9, 4, 15.6, 0, 44, 70, 14, 002D46A80D74D8D081350EFF000A40D34532723B
2022-10-13 09:00:00, 44.418800, -66.588600, 0, 2022, 10, 13, 9, 0, 12.37, 1021.7, 0.2, 4, 15.6, 0, 48, 46, 7, 002D46A40D6AD930113507FF000A415E4538897C
2022-10-13 08:00:00, 44.452800, -66.560600, 0, 2022, 10, 13, 8, 0, 12.43, 1021.3, -0.3, 3, 15.6, 0, 44, 26, 6, 002D46A00D62D9EFC0F506FF000A4208453CE8DB
2022-10-13 07:00:00, 44.475800, -66.546000, 0, 2022, 10, 13, 7, 0, 12.43, 1021.3, -0.2, 3, 15.6, 0, 48, 26, 7, 002D469C0D62D9EFD0F507FF000A427B453F30DC
2022-10-13 06:00:00, 44.484200, -66.539800, 0, 2022, 10, 13, 6, 0, 12.45, 1021.4, -0.1, 4, 15.6, 0, 44, 30, 7, 002D46980D64DA2FE13507FF000A42A5454028FB
2022-10-13 05:00:00, 44.479600, -66.547400, 0, 2022, 10, 13, 5, 0, 12.37, 1021.6, -0.1, 3, 15.6, 0, 44, 50, 10, 002D46940D68D92FE0F50AFF000A428E453EF99B
2022-10-13 04:00:00, 44.460200, -66.571200, 0, 2022, 10, 13, 4, 0, 12.39, 1021.5, -0.3, 3, 15.6, 0, 44, 22, 10, 002D46900D66D96FC0F50AFF000A422D453B40BB
2022-10-13 03:00:00, 44.429200, -66.598800, 0, 2022, 10, 13, 3, 0, 12.39, 1021.5, -0.2, 2, 15.6, 0, 48, 52, 7, 002D468C0D66D96FD0B507FF000A41924536F1AC
2022-10-13 02:00:00, 44.400800, -66.618600, 0, 2022, 10, 13, 2, 0, 12.42, 1021.7, -0.2, 2, 15.6, 0, 48, 22, 20, 002D46880D6AD9CFD0B514FF000A41044533D8BC
2022-10-13 01:00:00, 44.379400, -66.629200, 0, 2022, 10, 13, 1, 0, 12.34, 1021.7, 0.2, 3, 15.6, 0, 44, 22, 14, 002D46840D6AD8D010F50EFF000A4099453230BB
2022-10-13 00:00:00, 44.367800, -66.627000, 0, 2022, 10, 13, 0, 0, 12.36, 1021.7, 0.2, 2, 15.6, 0, 48, 28, 10, 002D46800D6AD91010B50AFF000A405F453288EC
2022-10-12 23:00:00, 44.366800, -66.607000, 0, 2022, 10, 12, 23, 0, 12.59, 1021.9, 0.2, 2, 15.6, 0, 48, 52, 14, 002D465C0D6EDBF010B50EFF000A405A4535A9AC
2022-10-12 22:00:00, 44.379800, -66.585000, 0, 2022, 10, 12, 22, 0, 12.57, 1021.5, -0.2, 2, 15.6, 0, 48, 22, 10, 002D46580D66DBAFD0B50AFF000A409B453918BC
2022-10-12 21:00:00, 44.401400, -66.565400, 0, 2022, 10, 12, 21, 0, 12.38, 1021.5, -0.6, 2, 15.6, 0, 48, 20, 6, 002D46540D66D94F90B506FF000A4107453C28AC
2022-10-12 20:00:00, 44.428800, -66.541000, 0, 2022, 10, 12, 20, 0, 12.43, 1021.7, -0.7, 3, 15.6, 0, 52, 22, 7, 002D46500D6AD9EF80F507FF000A4190453FF8BD
2022-10-12 19:00:00, 44.458800, -66.527600, 0, 2022, 10, 12, 19, 0, 12.46, 1021.7, -1.2, 3, 15.6, 0, 48, 46, 6, 002D464C0D6ADA4F30F506FF000A42264542117C
2022-10-12 18:00:00, 44.484200, -66.527800, 0, 2022, 10, 12, 18, 0, 12.44, 1022.1, -1.3, 4, 15.6, 0, 48, 26, 7, 002D46480D72DA0F213507FF000A42A5454208DC
2022-10-12 17:00:00, 44.497000, -66.543600, 0, 2022, 10, 12, 17, 0, 12.52, 1022.4, -1.1, 2, 15.6, 0, 48, 22, 11, 002D46440D78DB0F40B50BFF000A42E5453F90BC
2022-10-12 16:00:00, 44.495400, -66.574600, 0, 2022, 10, 12, 16, 0, 12.79, 1022.9, -0.5, 2, 15.6, 0, 44, 22, 8, 002D46400D82DE6FA0B508FF000A42DD453AB8BB
2022-10-12 15:00:00, 44.480000, -66.620200, 0, 2022, 10, 12, 15, 0, 12.56, 1023.4, 0.2, 2, 15.6, 0, 48, 22, 6, 002D463C0D8CDB9010B506FF000A4290453398BC
2022-10-12 14:00:00, 44.453000, -66.666800, 0, 2022, 10, 12, 14, 0, 12.49, 1023.5, 0.3, 2, 15.6, 0, 48, 22, 7, 002D46380D8EDAB020B507FF000A4209452C50BC
2022-10-12 13:00:00, 44.426400, -66.702800, 0, 2022, 10, 12, 13, 0, 12.24, 1023.4, 0.0, 2, 15.6, 0, 44, 20, 9, 002D46340D8CD78FF0B509FF000A41844526B0AB
2022-10-12 12:00:00, 44.404600, -66.715800, 0, 2022, 10, 12, 12, 0, 12.12, 1023.2, 0.2, 3, 15.6, 0, 44, 22, 12, 002D46300D88D61010F50CFF000A41174524A8BB
2022-10-12 11:00:00, 44.393400, -66.707400, 0, 2022, 10, 12, 11, 0, 12.11, 1023.3, 0.6, 3, 15.6, 0, 48, 22, 7, 002D462C0D8AD5F050F507FF000A40DF4525F8BC
2022-10-12 10:00:00, 44.397800, -66.677200, 0, 2022, 10, 12, 10, 0, 12.13, 1023.4, 0.9, 3, 15.6, 0, 48, 40, 6, 002D46280D8CD63080F506FF000A40F5452AB14C
2022-10-12 09:00:00, 44.418400, -66.631600, 0, 2022, 10, 12, 9, 0, 12.18, 1023.0, 0.6, 3, 15.6, 0, 48, 54, 7, 002D46240D84D6D050F507FF000A415C4531D1BC
2022-10-12 08:00:00, 44.451600, -66.580200, 0, 2022, 10, 12, 8, 0, 12.27, 1022.7, 0.2, 3, 15.6, 0, 48, 22, 6, 002D46200D7ED7F010F506FF000A42024539D8BC
2022-10-12 07:00:00, 44.492800, -66.546200, 0, 2022, 10, 12, 7, 0, 12.31, 1022.4, 0.2, 3, 15.6, 0, 40, 26, 6, 002D461C0D78D87010F506FF000A42D0453F28DA
2022-10-12 06:00:00, 44.529000, -66.529000, 0, 2022, 10, 12, 6, 0, 12.47, 1022.4, -0.1, 3, 15.6, 0, 48, 22, 7, 002D46180D78DA6FE0F507FF000A43854541D8BC
2022-10-12 05:00:00, 44.547600, -66.517200, 0, 2022, 10, 12, 5, 0, 12.81, 1022.4, -0.4, 3, 15.6, 0, 44, 40, 6, 002D46140D78DEAFB0F506FF000A43E24543B14B
2022-10-12 04:00:00, 44.551000, -66.503600, 0, 2022, 10, 12, 4, 0, 12.91, 1022.3, -0.7, 4, 15.6, 0, 44, 100, 8, 002D46100D76DFEF813508FF000A43F34545D32B
2022-10-12 03:00:00, 44.525600, -66.523600, 0, 2022, 10, 12, 3, 0, 12.58, 1022.5, -0.5, 3, 15.6, 0, 48, 56, 10, 002D460C0D7ADBCFA0F50AFF000A43744542B1CC
