Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-10-13 10:00:00, 46.119000, -51.354600, 0, 2022, 10, 13, 10, 0, 14.11, 1025.3, 1.2, 3, 14.8, 0, 48, 56, 7, 002D46A80DB2EEF0B0F107FF000A62934E84D9CC
2022-10-13 09:00:00, 46.121200, -51.346800, 0, 2022, 10, 13, 9, 0, 14.11, 1025.0, 1.3, 3, 14.8, 0, 48, 52, 10, 002D46A40DACEEF0C0F10AFF000A629E4E8611AC
2022-10-13 08:00:00, 46.125600, -51.340400, 0, 2022, 10, 13, 8, 0, 14.13, 1024.5, 0.7, 3, 14.8, 0, 48, 52, 8, 002D46A00DA2EF3060F108FF000A62B44E8711AC
2022-10-13 07:00:00, 46.131400, -51.337800, 0, 2022, 10, 13, 7, 0, 14.12, 1024.1, 0.5, 4, 14.8, 0, 44, 32, 11, 002D469C0D9AEF1041310BFF000A62D14E87790B
2022-10-13 06:00:00, 46.137800, -51.340000, 0, 2022, 10, 13, 6, 0, 14.13, 1023.7, 0.5, 3, 14.8, 0, 48, 60, 7, 002D46980D92EF3040F107FF000A62F14E8721EC
2022-10-13 05:00:00, 46.143200, -51.346400, 0, 2022, 10, 13, 5, 0, 14.14, 1023.8, 0.6, 3, 14.8, 0, 44, 50, 7, 002D46940D94EF5050F107FF000A630C4E86219B
2022-10-13 04:00:00, 46.146800, -51.355200, 0, 2022, 10, 13, 4, 0, 14.13, 1023.5, 0.9, 3, 14.8, 0, 48, 80, 21, 002D46900D8EEF3080F115FF000A631E4E84C28C
2022-10-13 03:00:00, 46.149000, -51.365400, 0, 2022, 10, 13, 3, 0, 14.13, 1023.2, 0.7, 4, 14.8, 0, 48, 100, 13, 002D468C0D88EF3061310DFF000A63294E832B2C
2022-10-13 02:00:00, 46.149000, -51.375000, 0, 2022, 10, 13, 2, 0, 14.12, 1023.1, 0.8, 3, 14.8, 0, 48, 52, 9, 002D46880D86EF1070F109FF000A63294E81A9AC
2022-10-13 01:00:00, 46.146600, -51.380800, 0, 2022, 10, 13, 1, 0, 14.11, 1022.7, 0.8, 4, 14.8, 0, 44, 128, 8, 002D46840D7EEEF0713108FF000A631D4E80C40B
2022-10-13 00:00:00, 46.143000, -51.382600, 0, 2022, 10, 13, 0, 0, 14.11, 1022.5, 1.4, 3, 14.8, 0, 44, 110, 16, 002D46800D7AEEF0D0F110FF000A630B4E807B7B
2022-10-12 23:00:00, 46.139800, -51.381000, 0, 2022, 10, 12, 23, 0, 14.12, 1022.3, 1.6, 4, 14.8, 0, 48, 60, 7, 002D465C0D76EF10F13107FF000A62FB4E80B9EC
2022-10-12 22:00:00, 46.137800, -51.376200, 0, 2022, 10, 12, 22, 0, 14.13, 1021.9, 1.6, 4, 14.8, 0, 48, 72, 8, 002D46580D6EEF30F13108FF000A62F14E817A4C
2022-10-12 21:00:00, 46.137000, -51.367800, 0, 2022, 10, 12, 21, 0, 14.15, 1021.2, 1.0, 4, 14.8, 0, 48, 52, 7, 002D46540D60EF70913107FF000A62ED4E82C9AC
2022-10-12 20:00:00, 46.138400, -51.359400, 0, 2022, 10, 12, 20, 0, 14.15, 1020.7, 0.8, 4, 14.8, 0, 48, 86, 9, 002D46500D56EF70713109FF000A62F44E841ABC
2022-10-12 19:00:00, 46.142600, -51.352200, 0, 2022, 10, 12, 19, 0, 14.17, 1020.4, 0.6, 4, 14.8, 0, 44, 58, 11, 002D464C0D50EFB051310BFF000A63094E8539DB
2022-10-12 18:00:00, 46.147400, -51.346600, 0, 2022, 10, 12, 18, 0, 14.18, 1020.2, 0.0, 3, 14.8, 0, 44, 104, 8, 002D46480D4CEFCFF0F108FF000A63214E861B4B
2022-10-12 17:00:00, 46.153200, -51.342200, 0, 2022, 10, 12, 17, 0, 14.17, 1019.9, -0.3, 4, 14.8, 0, 44, 152, 11, 002D46440D46EFAFC1310BFF000A633E4E86CCCB
2022-10-12 16:00:00, 46.159400, -51.341000, 0, 2022, 10, 12, 16, 0, 14.15, 1019.8, -0.3, 4, 14.8, 0, 48, 100, 7, 002D46400D44EF6FC13107FF000A635D4E86FB2C
2022-10-12 15:00:00, 46.165400, -51.343600, 0, 2022, 10, 12, 15, 0, 14.11, 1020.3, 0.3, 4, 14.8, 0, 44, 106, 7, 002D463C0D4EEEF0213107FF000A637B4E86935B
2022-10-12 14:00:00, 46.169800, -51.347800, 0, 2022, 10, 12, 14, 0, 14.10, 1020.2, 0.5, 3, 14.8, 0, 44, 140, 19, 002D46380D4CEED040F113FF000A63914E85EC6B
2022-10-12 13:00:00, 46.173000, -51.352200, 0, 2022, 10, 12, 13, 0, 14.08, 1020.0, 0.3, 3, 14.8, 0, 44, 52, 11, 002D46340D48EE9020F10BFF000A63A14E8539AB
2022-10-12 12:00:00, 46.175400, -51.355800, 0, 2022, 10, 12, 12, 0, 14.06, 1020.0, -0.1, 5, 14.8, 0, 48, 106, 7, 002D46300D48EE4FE17107FF000A63AD4E84AB5C
2022-10-12 11:00:00, 46.177600, -51.358400, 0, 2022, 10, 12, 11, 0, 14.06, 1019.7, -0.4, 4, 14.8, 0, 44, 116, 10, 002D462C0D42EE4FB1310AFF000A63B84E8443AB
2022-10-12 10:00:00, 46.178600, -51.358800, 0, 2022, 10, 12, 10, 0, 14.06, 1019.8, -0.4, 4, 14.8, 0, 44, 100, 10, 002D46280D44EE4FB1310AFF000A63BD4E84332B
2022-10-12 09:00:00, 46.179600, -51.358000, 0, 2022, 10, 12, 9, 0, 14.07, 1020.1, -0.3, 5, 14.8, 0, 44, 82, 7, 002D46240D4AEE6FC17107FF000A63C24E84529B
2022-10-12 08:00:00, 46.180600, -51.357200, 0, 2022, 10, 12, 8, 0, 14.08, 1020.1, -0.6, 4, 14.8, 0, 44, 90, 7, 002D46200D4AEE8F913107FF000A63C74E8472DB
2022-10-12 07:00:00, 46.181600, -51.356800, 0, 2022, 10, 12, 7, 0, 14.08, 1020.2, -0.8, 3, 14.8, 0, 32, 80, 7, 002D461C0D4CEE8F70F107FF000A63CC4E848288
2022-10-12 06:00:00, 46.182000, -51.357400, 0, 2022, 10, 12, 6, 0, 14.09, 1020.3, -0.7, 6, 14.8, 0, 48, 194, 8, 002D46180D4EEEAF81B108FF000A63CE4E846E1C
2022-10-12 05:00:00, 46.182000, -51.358000, 0, 2022, 10, 12, 5, 0, 14.10, 1020.7, -0.6, 5, 14.8, 0, 44, 164, 7, 002D46140D56EECF917107FF000A63CE4E84552B
2022-10-12 04:00:00, 46.182600, -51.359400, 0, 2022, 10, 12, 4, 0, 14.11, 1021.0, -0.6, 5, 14.8, 0, 40, 86, 8, 002D46100D5CEEEF917108FF000A63D14E841ABA
2022-10-12 03:00:00, 46.184200, -51.361200, 0, 2022, 10, 12, 3, 0, 14.12, 1021.1, -0.7, 3, 14.8, 0, 48, 130, 10, 002D460C0D5EEF0F80F10AFF000A63D94E83D41C
2022-10-12 02:00:00, 46.186400, -51.363200, 0, 2022, 10, 12, 2, 0, 14.14, 1021.3, -0.6, 5, 14.8, 0, 48, 110, 10, 002D46080D62EF4F91710AFF000A63E44E83837C
