Data Date (UTC), Latitude, Longitude, Voltage, Sea Surface Temperature, Report Body
2022-10-09 23:37:16, 44.704110, -65.747700, 14.263, 9.27, latitude=44.70411;longitude=-65.7477;fixValid=True;timeToFix=13;fixTime=1665358636;orientation=1;voltage=14.263;temperature=9.273437
2022-10-09 22:37:07, 44.704110, -65.747710, 14.204, 9.48, latitude=44.70411;longitude=-65.74771;fixValid=True;timeToFix=42;fixTime=1665355027;orientation=1;voltage=14.204;temperature=9.484377
2022-10-09 21:36:29, 44.704460, -65.747920, 14.263, 11.23, latitude=44.70446;longitude=-65.74792;fixValid=True;timeToFix=19;fixTime=1665351389;orientation=1;voltage=14.263;temperature=11.22656
2022-10-09 20:36:15, 44.703980, -65.747790, 14.263, 12.9, latitude=44.70398;longitude=-65.74779;fixValid=True;timeToFix=34;fixTime=1665347775;orientation=1;voltage=14.263;temperature=12.89844
2022-10-09 19:35:46, 44.704060, -65.747800, 14.263, 13.84, latitude=44.70406;longitude=-65.7478;fixValid=True;timeToFix=30;fixTime=1665344146;orientation=1;voltage=14.263;temperature=13.84375
2022-10-09 18:35:21, 44.704100, -65.747670, 14.263, 12.59, latitude=44.7041;longitude=-65.74767;fixValid=True;timeToFix=13;fixTime=1665340521;orientation=1;voltage=14.263;temperature=12.58594
2022-10-09 17:35:12, 44.704130, -65.747640, 14.263, 14.02, latitude=44.70413;longitude=-65.74764;fixValid=True;timeToFix=14;fixTime=1665336912;orientation=1;voltage=14.263;temperature=14.01562
2022-10-09 16:35:02, 44.704110, -65.747630, 14.263, 14.85, latitude=44.70411;longitude=-65.74763;fixValid=True;timeToFix=41;fixTime=1665333302;orientation=1;voltage=14.263;temperature=14.85157
2022-10-09 15:34:25, 44.704130, -65.747660, 14.263, 11.16, latitude=44.70413;longitude=-65.74766;fixValid=True;timeToFix=13;fixTime=1665329665;orientation=1;voltage=14.263;temperature=11.15625
2022-10-09 14:34:16, 44.703850, -65.747830, 14.204, 11.8, latitude=44.70385;longitude=-65.74783;fixValid=True;timeToFix=25;fixTime=1665326056;orientation=1;voltage=14.204;temperature=11.79688
2022-10-09 13:33:55, 44.703950, -65.747800, 14.204, 4.77, latitude=44.70395;longitude=-65.7478;fixValid=True;timeToFix=13;fixTime=1665322435;orientation=0;voltage=14.204;temperature=4.765624
2022-10-09 12:33:46, 44.703920, -65.747730, 14.204, 3.38, latitude=44.70392;longitude=-65.74773;fixValid=True;timeToFix=35;fixTime=1665318826;orientation=0;voltage=14.204;temperature=3.375005
2022-10-09 11:33:16, 44.703910, -65.747730, 14.204, 2.21, latitude=44.70391;longitude=-65.74773;fixValid=True;timeToFix=27;fixTime=1665315196;orientation=0;voltage=14.204;temperature=2.210939
2022-10-09 10:32:53, 44.703880, -65.747840, 14.204, 2.22, latitude=44.70388;longitude=-65.74784;fixValid=True;timeToFix=13;fixTime=1665311573;orientation=0;voltage=14.204;temperature=2.218751
2022-10-09 09:32:43, 44.703920, -65.747820, 14.204, 3.07, latitude=44.70392;longitude=-65.74782;fixValid=True;timeToFix=13;fixTime=1665307963;orientation=0;voltage=14.204;temperature=3.070316
2022-10-09 08:32:34, 44.703890, -65.747790, 14.204, 4.26, latitude=44.70389;longitude=-65.74779;fixValid=True;timeToFix=41;fixTime=1665304354;orientation=0;voltage=14.204;temperature=4.257816
2022-10-09 07:31:57, 44.703850, -65.747720, 14.204, 5.45, latitude=44.70385;longitude=-65.74772;fixValid=True;timeToFix=16;fixTime=1665300717;orientation=0;voltage=14.204;temperature=5.453127
2022-10-09 06:31:45, 44.703880, -65.747770, 14.263, 6.52, latitude=44.70388;longitude=-65.74777;fixValid=True;timeToFix=11;fixTime=1665297105;orientation=0;voltage=14.263;temperature=6.523434
2022-10-09 05:31:37, 44.703890, -65.747800, 14.204, 7.48, latitude=44.70389;longitude=-65.7478;fixValid=True;timeToFix=41;fixTime=1665293497;orientation=0;voltage=14.204;temperature=7.48438
2022-10-09 04:31:00, 44.703850, -65.747620, 14.204, 7.62, latitude=44.70385;longitude=-65.74762;fixValid=True;timeToFix=21;fixTime=1665289860;orientation=0;voltage=14.204;temperature=7.617185
2022-10-09 03:30:46, 44.703890, -65.747800, 14.204, 8.2, latitude=44.70389;longitude=-65.7478;fixValid=True;timeToFix=35;fixTime=1665286246;orientation=0;voltage=14.204;temperature=8.20313
2022-10-09 02:30:16, 44.704040, -65.748180, 14.263, 12.12, latitude=44.70404;longitude=-65.74818;fixValid=True;timeToFix=47;fixTime=1665282616;orientation=1;voltage=14.263;temperature=12.11719
2022-10-09 01:29:33, 44.705080, -65.753910, 14.263, 12.42, latitude=44.70508;longitude=-65.75391;fixValid=True;timeToFix=15;fixTime=1665278973;orientation=1;voltage=14.263;temperature=12.42188
2022-10-09 00:29:23, 44.704100, -65.774970, 14.263, 12.41, latitude=44.7041;longitude=-65.77497;fixValid=True;timeToFix=12;fixTime=1665275363;orientation=1;voltage=14.263;temperature=12.41406
2022-10-08 23:29:14, 44.682830, -65.825420, 14.263, 12.43, latitude=44.68283;longitude=-65.82542;fixValid=True;timeToFix=11;fixTime=1665271754;orientation=1;voltage=14.263;temperature=12.42969
2022-10-08 22:29:07, 44.655800, -65.871060, 14.263, 12.5, latitude=44.6558;longitude=-65.87106;fixValid=True;timeToFix=39;fixTime=1665268147;orientation=1;voltage=14.263;temperature=12.5
2022-10-08 21:28:33, 44.635590, -65.913200, 14.263, 12.55, latitude=44.63559;longitude=-65.9132;fixValid=True;timeToFix=14;fixTime=1665264513;orientation=1;voltage=14.263;temperature=12.54688
