Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2022-06-16 10:00:00, 48.297202, -50.548930, 2022, 167, 10, 0, 2022, 167, 10, 0, 4.0, 10, 15.00, 22, 2, 47, -34.1, 594EA021C594EA0311356B7BEE8BAF0AC84F80
2022-06-16 09:00:00, 48.296428, -50.552800, 2022, 167, 9, 0, 2022, 167, 9, 0, 4.0, 18, 15.00, 22, 2, 46, -34.1, 594E9021C594E90311344B7BD80BAE12C84F80
2022-06-16 08:00:00, 48.294622, -50.557702, 2022, 167, 8, 0, 2022, 167, 8, 0, 3.9, 7, 15.00, 28, 2, 47, -34.1, 594E8021B594E8031131AB7BBB8EAF07C84F80
2022-06-16 07:00:00, 48.290666, -50.563980, 2022, 167, 7, 0, 2022, 167, 7, 0, 4.0, 8, 15.00, 22, 2, 47, -34.1, 594E7021C594E703112BEB7B970BAF08C84F80
2022-06-16 06:00:00, 48.284904, -50.569656, 2022, 167, 6, 0, 2022, 167, 6, 0, 4.0, 8, 15.00, 22, 2, 48, -34.1, 594E6021C594E60311238B7B760BB008C84F80
2022-06-16 05:00:00, 48.279572, -50.574730, 2022, 167, 5, 0, 2022, 167, 5, 0, 4.0, 9, 15.00, 20, 2, 49, -34.1, 594E5021C594E503111BCB7B588AB109C84F80
2022-06-16 04:00:00, 48.272176, -50.581438, 2022, 167, 4, 0, 2022, 167, 4, 0, 4.0, 7, 15.00, 22, 2, 49, -34.1, 594E4021C594E40311110B7B318BB107C84F80
2022-06-16 03:00:00, 48.265296, -50.585566, 2022, 167, 3, 0, 2022, 167, 3, 0, 4.0, 7, 15.00, 24, 3, 48, -34.1, 594E3021C594E30311070B7B198CF007C84F80
2022-06-16 02:00:00, 48.259448, -50.585738, 2022, 167, 2, 0, 2022, 167, 2, 0, 4.0, 9, 15.00, 22, 3, 48, -34.1, 594E2021C594E20310FE8B7B188BF009C84F80
2022-06-16 01:00:00, 48.255148, -50.581696, 2022, 167, 1, 0, 2022, 167, 1, 0, 4.0, 11, 15.00, 46, 2, 47, -34.1, 594E1021C594E10310F84B7B3017AF0BC84F80
2022-06-16 00:00:00, 48.253686, -50.577396, 2022, 167, 0, 0, 2022, 167, 0, 0, 4.0, 9, 15.00, 22, 2, 47, -34.1, 594E0021C594E00310F62B7B490BAF09C84F80
2022-06-15 23:00:00, 48.253600, -50.571806, 2022, 166, 23, 0, 2022, 166, 23, 0, 4.1, 7, 15.00, 22, 2, 46, -34.1, 594D7021D594D70310F60B7B698BAE07C84F80
2022-06-15 22:00:00, 48.254632, -50.564840, 2022, 166, 22, 0, 2022, 166, 22, 0, 4.3, 7, 15.00, 22, 2, 47, -34.1, 594D6021F594D60310F78B7B920BAF07C84F80
