Data Date (UTC), Latitude, Longitude, Voltage, Sea Surface Temperature, Report Body
2022-05-25 10:32:15, 48.568360, -53.695990, 14.145, 4.17, latitude=48.56836;longitude=-53.69599;fixValid=True;timeToFix=34;fixTime=1653474735;orientation=0;voltage=14.145;temperature=4.171879
2022-05-25 09:31:46, 48.568290, -53.696020, 14.145, 1.47, latitude=48.56829;longitude=-53.69602;fixValid=True;timeToFix=13;fixTime=1653471106;orientation=0;voltage=14.145;temperature=1.468745
2022-05-25 08:31:37, 48.568290, -53.696040, 14.145, -2.47, latitude=48.56829;longitude=-53.69604;fixValid=True;timeToFix=33;fixTime=1653467497;orientation=0;voltage=14.145;temperature=-2.468757
2022-05-25 07:31:09, 48.568260, -53.696040, 14.145, -2.8, latitude=48.56826;longitude=-53.69604;fixValid=True;timeToFix=17;fixTime=1653463869;orientation=0;voltage=14.145;temperature=-2.796881
2022-05-25 06:30:56, 48.568260, -53.696040, 14.145, -2.23, latitude=48.56826;longitude=-53.69604;fixValid=True;timeToFix=14;fixTime=1653460256;orientation=0;voltage=14.145;temperature=-2.234382
2022-05-25 05:30:46, 48.568260, -53.696030, 14.145, -2.23, latitude=48.56826;longitude=-53.69603;fixValid=True;timeToFix=11;fixTime=1653456646;orientation=0;voltage=14.145;temperature=-2.22657
2022-05-25 04:30:38, 48.568260, -53.696040, 14.145, -2.06, latitude=48.56826;longitude=-53.69604;fixValid=True;timeToFix=44;fixTime=1653453038;orientation=0;voltage=14.145;temperature=-2.062498
2022-05-25 03:30:00, 48.568120, -53.695890, 14.145, -1.68, latitude=48.56812;longitude=-53.69589;fixValid=True;timeToFix=18;fixTime=1653449400;orientation=0;voltage=14.145;temperature=-1.679694
2022-05-25 02:29:46, 48.568330, -53.695910, 14.145, -1.32, latitude=48.56833;longitude=-53.69591;fixValid=True;timeToFix=35;fixTime=1653445786;orientation=0;voltage=14.145;temperature=-1.320315
2022-05-25 01:29:16, 48.568250, -53.696040, 14.145, -0.62, latitude=48.56825;longitude=-53.69604;fixValid=True;timeToFix=31;fixTime=1653442156;orientation=0;voltage=14.145;temperature=-0.6249997
2022-05-25 00:28:48, 48.568290, -53.696030, 14.145, 0.63, latitude=48.56829;longitude=-53.69603;fixValid=True;timeToFix=14;fixTime=1653438528;orientation=0;voltage=14.145;temperature=0.6328138
