"ID","Message ID","Device","Timestamp","Latitude","Longitude","Uptime (s)","SNR","Sat Count","Alarm","Bearing","Speed (km/h)","Speed (knots)","HDOP"
"6382364","113579432","300434065939950","Dec 7 2021 02:20:14.001 PM","47.203584","-48.862637","6","40","8","false","261.0","3.240","1.749","1.4"
"6382271","113574957","300434065939950","Dec 7 2021 01:50:39.001 PM","47.192320","-48.867392","54","36","8","false","357.0","6.480","3.499","1.0"
"6382110","113565839","300434065939950","Dec 7 2021 12:40:09.001 PM","47.168998","-48.872550","12","40","7","false","84.0","2.160","1.166","1.2"
"6382103","113565117","300434065939950","Dec 7 2021 12:32:43.001 PM","47.166931","-48.873165","6","39","7","false","6.0","2.160","1.166","1.2"
"6381210","113518949","300434065939950","Dec 7 2021 07:22:12.001 AM","47.078816","-48.887610","57","39","6","false","9.0","4.680","2.527","1.0"
"6380885","113503761","300434065939950","Dec 7 2021 05:40:06.001 AM","47.055123","-48.895878","9","39","5","false","9.0","3.240","1.749","1.4"
"6380819","113497355","300434065939950","Dec 7 2021 05:00:36.001 AM","47.048205","-48.900691","39","39","9","false","351.0","1.080","0.583","1.0"
"6380756","113495773","300434065939950","Dec 7 2021 04:50:10.001 AM","47.046643","-48.902035","12","39","6","false","60.0","0.720","0.389","1.2"
"6380752","113495440","300434065939950","Dec 7 2021 04:40:34.001 AM","47.045184","-48.903347","36","38","8","false","0.0","0.720","0.389","1.0"
"6380735","113494598","300434065939950","Dec 7 2021 04:25:45.001 AM","47.043078","-48.905722","40","37","7","false","75.0","1.800","0.972","1.0"
"6380473","113478488","300434065939950","Dec 7 2021 03:00:37.001 AM","47.033562","-48.918899","39","37","5","false","21.0","3.240","1.749","1.6"
"6380432","113476910","300434065939950","Dec 7 2021 02:40:16.001 AM","47.032186","-48.922381","18","38","5","false","267.0","2.160","1.166","1.8"
"6380409","113475702","300434065939950","Dec 7 2021 02:30:15.001 AM","47.031597","-48.923923","17","38","5","false","111.0","1.440","0.778","2.0"
"6380412","113475817","300434065939950","Dec 7 2021 02:30:15.001 AM","47.031597","-48.923923","17","38","5","false","111.0","1.440","0.778","2.0"
"6380376","113474255","300434065939950","Dec 7 2021 02:20:37.001 AM","47.030970","-48.925664","39","39","5","false","165.0","2.160","1.166","2.2"
"6380379","113474485","300434065939950","Dec 7 2021 02:20:37.001 AM","47.030970","-48.925664","39","39","5","false","165.0","2.160","1.166","2.2"
"6380352","113471784","300434065939950","Dec 7 2021 02:10:15.001 AM","47.030483","-48.927501","17","38","5","false","42.0","2.880","1.555","3.0"
"6380355","113472056","300434065939950","Dec 7 2021 02:10:15.001 AM","47.030483","-48.927501","17","38","5","false","42.0","2.880","1.555","3.0"
"6380351","113471784","300434065939950","Dec 7 2021 02:07:23.001 AM","47.030304","-48.928013","30","39","5","false","48.0","2.880","1.555","3.4"
"6380354","113472056","300434065939950","Dec 7 2021 02:07:23.001 AM","47.030304","-48.928013","30","39","5","false","48.0","2.880","1.555","3.4"
"6380139","113460429","300434065936970","Dec 7 2021 12:52:46.001 AM","47.030931","-48.949952","169","26","6","false","69.0","2.880","1.555","1.0"
"6378734","113431436","300434065936970","Dec 6 2021 09:30:09.001 PM","47.023776","-49.002662","11","35","5","false","57.0","8.280","4.471","1.0"
"6378719","113429945","300434065936970","Dec 6 2021 09:20:33.001 PM","47.023322","-49.004998","35","29","5","false","84.0","2.880","1.555","1.0"
"6378714","113428802","300434065936970","Dec 6 2021 09:10:09.001 PM","47.022931","-49.007411","12","32","5","false","141.0","3.240","1.749","2.2"
"6378641","113425219","300434065936970","Dec 6 2021 09:00:44.001 PM","47.022362","-49.009798","46","31","5","false","51.0","2.520","1.361","2.6"
"6378615","113424672","300434065936970","Dec 6 2021 08:50:50.001 PM","47.021651","-49.012077","53","31","4","false","264.0","1.080","0.583","3.4"
"6378592","113423545","300434065936970","Dec 6 2021 08:40:09.001 PM","47.020960","-49.014445","11","28","5","false","174.0","6.840","3.693","2.6"
"6378572","113422659","300434065936970","Dec 6 2021 08:31:57.001 PM","47.020550","-49.016499","120","30","4","false","102.0","3.960","2.138","3.6"
"6378548","113421488","300434065936970","Dec 6 2021 08:22:33.001 PM","47.020115","-49.018720","155","30","6","false","351.0","3.960","2.138","1.2"
"6378530","113418204","300434065936970","Dec 6 2021 08:10:40.001 PM","47.020269","-49.021830","42","32","5","false","165.0","6.120","3.305","11.6"
"6378469","113416164","300434065936970","Dec 6 2021 08:00:09.001 PM","47.019002","-49.024109","11","30","5","false","357.0","2.160","1.166","1.2"
