Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, RANGE, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2022-02-11 08:00:00, 44.357200, -51.592200, 0, 2022, 2, 11, 8, 0, 4.89, 1016.3, 1.8, 4, 15.0, 0, 48, 106, 12, 002C45A00CFE7BB111320CFF000A402A4E5FBB5C
2022-02-11 07:00:00, 44.356000, -51.590800, 0, 2022, 2, 11, 7, 0, 4.89, 1015.7, 1.4, 4, 15.0, 0, 44, 50, 7, 002C459C0CF27BB0D13207FF000A40244E5FF19B
2022-02-11 06:00:00, 44.354800, -51.588400, 0, 2022, 2, 11, 6, 0, 4.90, 1016.0, 1.5, 3, 15.0, 0, 48, 76, 12, 002C45980CF87BD0E0F20CFF000A401E4E60526C
2022-02-11 05:00:00, 44.354200, -51.586400, 0, 2022, 2, 11, 5, 0, 4.89, 1014.5, 0.1, 4, 15.0, 0, 48, 50, 7, 002C45940CDA7BB0013207FF000A401B4E60A19C
2022-02-11 04:00:00, 44.353800, -51.583800, 0, 2022, 2, 11, 4, 0, 4.88, 1014.3, -0.5, 3, 15.0, 0, 44, 26, 8, 002C45900CD67B8FA0F208FF000A40194E6108DB
2022-02-11 03:00:00, 44.353400, -51.582200, 0, 2022, 2, 11, 3, 0, 4.90, 1014.5, 0.0, 4, 15.0, 0, 48, 50, 8, 002C458C0CDA7BCFF13208FF000A40174E61499C
2022-02-11 02:00:00, 44.353000, -51.581400, 0, 2022, 2, 11, 2, 0, 4.90, 1014.4, -0.8, 4, 15.0, 0, 48, 28, 10, 002C45880CD87BCF71320AFF000A40154E6168EC
2022-02-11 01:00:00, 44.352000, -51.581600, 0, 2022, 2, 11, 1, 0, 4.90, 1014.8, -1.3, 4, 15.0, 0, 48, 110, 11, 002C45840CE07BCF21320BFF000A40104E61637C
2022-02-11 00:00:00, 44.350200, -51.582600, 0, 2022, 2, 11, 0, 0, 4.90, 1014.5, -2.7, 4, 15.0, 0, 44, 80, 13, 002C45800CDA7BCE41320DFF000A40074E613A8B
2022-02-10 23:00:00, 44.348000, -51.584200, 0, 2022, 2, 10, 23, 0, 4.90, 1015.2, -1.9, 3, 15.0, 0, 44, 94, 8, 002C455C0CE87BCEC0F208FF000A3FFC4E60FAFB
2022-02-10 22:00:00, 44.345200, -51.585600, 0, 2022, 2, 10, 22, 0, 4.89, 1016.0, -1.1, 4, 15.0, 0, 44, 76, 7, 002C45580CF87BAF413207FF000A3FEE4E60C26B
2022-02-10 21:00:00, 44.341800, -51.585800, 0, 2022, 2, 10, 21, 0, 4.89, 1017.2, -0.3, 4, 15.0, 0, 44, 52, 14, 002C45540D107BAFC1320EFF000A3FDD4E60B9AB
2022-02-10 20:00:00, 44.337800, -51.585200, 0, 2022, 2, 10, 20, 0, 4.90, 1017.1, -2.0, 6, 15.0, 0, 48, 112, 11, 002C45500D0E7BCEB1B20BFF000A3FC94E60D38C
2022-02-10 19:00:00, 44.333600, -51.583200, 0, 2022, 2, 10, 19, 0, 4.91, 1017.1, -2.6, 4, 15.0, 0, 48, 112, 9, 002C454C0D0E7BEE513209FF000A3FB44E61238C
2022-02-10 18:00:00, 44.329800, -51.579600, 0, 2022, 2, 10, 18, 0, 4.91, 1017.5, -2.6, 5, 15.0, 0, 48, 106, 7, 002C45480D167BEE517207FF000A3FA14E61B35C
2022-02-10 17:00:00, 44.326800, -51.574400, 0, 2022, 2, 10, 17, 0, 4.91, 1019.1, -1.8, 5, 15.0, 0, 44, 106, 9, 002C45440D367BEED17209FF000A3F924E62835B
2022-02-10 16:00:00, 44.325400, -51.568200, 0, 2022, 2, 10, 16, 0, 4.91, 1019.8, -0.6, 5, 15.0, 0, 48, 112, 10, 002C45400D447BEF91720AFF000A3F8B4E637B8C
2022-02-10 15:00:00, 44.324800, -51.561600, 0, 2022, 2, 10, 15, 0, 4.91, 1020.1, 0.0, 5, 15.0, 0, 48, 56, 11, 002C453C0D4A7BEFF1720BFF000A3F884E6481CC
