Data Date (UTC), Latitude, Longitude, Voltage, Temperature, Report Body
2022-02-11 08:45:20, 47.751400, -35.327330, 13.26, 12.38, latitude=47.7514;longitude=-35.32733;fixValid=True;timeToFix=83;fixTime=1644569120;orientation=0;voltage=13.26;temperature=12.38281
2022-02-11 07:44:02, 47.757310, -35.337920, 13.26, 12.39, latitude=47.75731;longitude=-35.33792;fixValid=True;timeToFix=16;fixTime=1644565442;orientation=0;voltage=13.26;temperature=12.39063
2022-02-11 06:43:49, 47.761910, -35.349670, 13.26, 12.44, latitude=47.76191;longitude=-35.34967;fixValid=True;timeToFix=15;fixTime=1644561829;orientation=1;voltage=13.26;temperature=12.4375
2022-02-11 05:43:38, 47.765520, -35.362980, 13.26, 12.43, latitude=47.76552;longitude=-35.36298;fixValid=True;timeToFix=34;fixTime=1644558218;orientation=0;voltage=13.26;temperature=12.42969
2022-02-11 04:43:09, 47.766360, -35.378270, 13.26, 12.44, latitude=47.76636;longitude=-35.37827;fixValid=True;timeToFix=46;fixTime=1644554589;orientation=1;voltage=13.26;temperature=12.4375
2022-02-11 03:42:27, 47.765380, -35.395200, 13.26, 12.4, latitude=47.76538;longitude=-35.3952;fixValid=True;timeToFix=42;fixTime=1644550947;orientation=1;voltage=13.26;temperature=12.39844
2022-02-11 02:41:48, 47.765030, -35.412620, 13.26, 12.38, latitude=47.76503;longitude=-35.41262;fixValid=True;timeToFix=19;fixTime=1644547308;orientation=1;voltage=13.26;temperature=12.38281
2022-02-11 01:41:33, 47.768140, -35.428600, 13.26, 12.4, latitude=47.76814;longitude=-35.4286;fixValid=True;timeToFix=57;fixTime=1644543693;orientation=0;voltage=13.26;temperature=12.39844
2022-02-11 00:40:39, 47.771820, -35.437550, 13.26, 12.41, latitude=47.77182;longitude=-35.43755;fixValid=True;timeToFix=30;fixTime=1644540039;orientation=0;voltage=13.26;temperature=12.40625
2022-02-10 23:40:13, 47.775030, -35.445180, 13.26, 12.41, latitude=47.77503;longitude=-35.44518;fixValid=True;timeToFix=74;fixTime=1644536413;orientation=0;voltage=13.26;temperature=12.41406
2022-02-10 22:39:02, 47.779770, -35.452880, 13.26, 12.49, latitude=47.77977;longitude=-35.45288;fixValid=True;timeToFix=18;fixTime=1644532742;orientation=1;voltage=13.26;temperature=12.49219
2022-02-10 21:38:48, 47.783850, -35.461140, 13.319, 12.48, latitude=47.78385;longitude=-35.46114;fixValid=True;timeToFix=15;fixTime=1644529128;orientation=0;voltage=13.319;temperature=12.48438
2022-02-10 20:38:38, 47.787540, -35.467970, 13.26, 12.46, latitude=47.78754;longitude=-35.46797;fixValid=True;timeToFix=62;fixTime=1644525518;orientation=1;voltage=13.26;temperature=12.46093
2022-02-10 19:37:40, 47.791450, -35.476210, 13.26, 12.48, latitude=47.79145;longitude=-35.47621;fixValid=True;timeToFix=22;fixTime=1644521860;orientation=0;voltage=13.26;temperature=12.47657
2022-02-10 18:37:21, 47.797810, -35.487560, 13.26, 12.52, latitude=47.79781;longitude=-35.48756;fixValid=True;timeToFix=17;fixTime=1644518241;orientation=1;voltage=13.26;temperature=12.51562
2022-02-10 17:37:08, 47.804060, -35.501010, 13.26, 12.53, latitude=47.80406;longitude=-35.50101;fixValid=True;timeToFix=75;fixTime=1644514628;orientation=1;voltage=13.26;temperature=12.53125
2022-02-10 16:35:58, 47.809310, -35.516760, 13.26, 12.51, latitude=47.80931;longitude=-35.51676;fixValid=True;timeToFix=18;fixTime=1644510958;orientation=0;voltage=13.26;temperature=12.50781
2022-02-10 15:35:44, 47.811610, -35.534180, 13.26, 12.52, latitude=47.81161;longitude=-35.53418;fixValid=True;timeToFix=155;fixTime=1644507344;orientation=0;voltage=13.26;temperature=12.51562
2022-02-10 14:33:12, 47.813280, -35.553170, 13.319, 12.55, latitude=47.81328;longitude=-35.55317;fixValid=True;timeToFix=90;fixTime=1644503592;orientation=1;voltage=13.319;temperature=12.54688
2022-02-10 13:31:46, 47.815600, -35.571960, 13.319, 12.55, latitude=47.8156;longitude=-35.57196;fixValid=True;timeToFix=21;fixTime=1644499906;orientation=0;voltage=13.319;temperature=12.55469
2022-02-10 12:31:29, 47.816040, -35.589790, 13.319, 12.57, latitude=47.81604;longitude=-35.58979;fixValid=True;timeToFix=62;fixTime=1644496289;orientation=0;voltage=13.319;temperature=12.57031
2022-02-10 11:30:31, 47.816460, -35.608670, 13.319, 12.59, latitude=47.81646;longitude=-35.60867;fixValid=True;timeToFix=76;fixTime=1644492631;orientation=0;voltage=13.319;temperature=12.58594
2022-02-10 10:29:19, 47.814400, -35.626310, 13.319, 12.59, latitude=47.8144;longitude=-35.62631;fixValid=True;timeToFix=18;fixTime=1644488959;orientation=1;voltage=13.319;temperature=12.59375
2022-02-10 09:29:05, 47.803340, -35.629230, 13.26, 12.62, latitude=47.80334;longitude=-35.62923;fixValid=True;timeToFix=13;fixTime=1644485345;orientation=1;voltage=13.26;temperature=12.61718
2022-02-10 08:28:55, 47.790620, -35.622480, 13.319, 12.59, latitude=47.79062;longitude=-35.62248;fixValid=True;timeToFix=60;fixTime=1644481735;orientation=1;voltage=13.319;temperature=12.59375
2022-02-10 07:27:59, 47.778230, -35.612500, 13.319, 12.58, latitude=47.77823;longitude=-35.6125;fixValid=True;timeToFix=17;fixTime=1644478079;orientation=0;voltage=13.319;temperature=12.57813
2022-02-10 06:27:46, 47.766690, -35.608900, 13.319, 12.56, latitude=47.76669;longitude=-35.6089;fixValid=True;timeToFix=38;fixTime=1644474466;orientation=0;voltage=13.319;temperature=12.5625
2022-02-10 05:27:12, 47.756100, -35.604070, 13.319, 12.54, latitude=47.7561;longitude=-35.60407;fixValid=True;timeToFix=13;fixTime=1644470832;orientation=1;voltage=13.319;temperature=12.53906
2022-02-10 04:27:02, 47.745970, -35.601690, 13.319, 12.5, latitude=47.74597;longitude=-35.60169;fixValid=True;timeToFix=47;fixTime=1644467222;orientation=1;voltage=13.319;temperature=12.5
2022-02-10 03:26:19, 47.734220, -35.599590, 13.319, 12.49, latitude=47.73422;longitude=-35.59959;fixValid=True;timeToFix=14;fixTime=1644463579;orientation=0;voltage=13.319;temperature=12.49219
2022-02-10 02:26:08, 47.721130, -35.597870, 13.319, 12.5, latitude=47.72113;longitude=-35.59787;fixValid=True;timeToFix=68;fixTime=1644459968;orientation=1;voltage=13.319;temperature=12.5
2022-02-10 01:25:04, 47.705620, -35.591930, 13.319, 12.52, latitude=47.70562;longitude=-35.59193;fixValid=True;timeToFix=20;fixTime=1644456304;orientation=0;voltage=13.319;temperature=12.51562
2022-02-10 00:24:47, 47.692020, -35.583980, 13.319, 12.5, latitude=47.69202;longitude=-35.58398;fixValid=True;timeToFix=38;fixTime=1644452687;orientation=0;voltage=13.319;temperature=12.5
