Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2022-05-26 08:00:00, 48.048318, -51.132268, 2022, 146, 8, 0, 2022, 146, 8, 0, 3.4, 8, 15.24, 22, 2, 47, -34.0, 59248021659248030FCBAB6EAF0BAF08CE5000
2022-05-26 07:00:00, 48.047114, -51.135708, 2022, 146, 7, 0, 2022, 146, 7, 0, 3.4, 10, 15.24, 22, 2, 49, -34.0, 59247021659247030FC9EB6E9B0BB10ACE5000
2022-05-26 06:00:00, 48.046254, -51.137342, 2022, 146, 6, 0, 2022, 146, 6, 0, 3.5, 7, 15.24, 22, 2, 49, -34.0, 59246021759246030FC8AB6E918BB107CE5000
2022-05-26 05:00:00, 48.046426, -51.138030, 2022, 146, 5, 0, 2022, 146, 5, 0, 3.5, 11, 15.24, 22, 2, 48, -34.0, 59245021759245030FC8EB6E8D8BB00BCE5000
2022-05-26 04:00:00, 48.047114, -51.140180, 2022, 146, 4, 0, 2022, 146, 4, 0, 3.5, 7, 15.24, 22, 2, 48, -34.0, 59244021759244030FC9EB6E810BB007CE5000
2022-05-26 03:00:00, 48.047974, -51.144136, 2022, 146, 3, 0, 2022, 146, 3, 0, 3.5, 7, 15.24, 20, 2, 47, -34.0, 59243021759243030FCB2B6E6A0AAF07CE5000
2022-05-26 02:00:00, 48.047716, -51.147232, 2022, 146, 2, 0, 2022, 146, 2, 0, 3.6, 8, 15.24, 22, 2, 47, -34.0, 59242021859242030FCACB6E580BAF08CE5000
2022-05-26 01:00:00, 48.047458, -51.150156, 2022, 146, 1, 0, 2022, 146, 1, 0, 3.6, 10, 15.24, 22, 2, 46, -34.0, 59241021859241030FCA6B6E470BAE0ACE5000
2022-05-26 00:00:00, 48.047200, -51.154542, 2022, 146, 0, 0, 2022, 146, 0, 0, 3.6, 8, 15.24, 22, 2, 46, -34.0, 59240021859240030FCA0B6E2D8BAE08CE5000
2022-05-25 23:00:00, 48.046340, -51.159444, 2022, 145, 23, 0, 2022, 145, 23, 0, 3.7, 12, 15.24, 22, 2, 46, -34.0, 59237021959237030FC8CB6E110BAE0CCE5000
2022-05-25 22:00:00, 48.044448, -51.164260, 2022, 145, 22, 0, 2022, 145, 22, 0, 3.7, 7, 15.24, 24, 2, 46, -34.0, 59236021959236030FC60B6DF50CAE07CE5000
2022-05-25 21:00:00, 48.042126, -51.167184, 2022, 145, 21, 0, 2022, 145, 21, 0, 3.8, 10, 15.24, 32, 2, 47, -34.0, 59235021A59235030FC2AB6DE410AF0ACE5000
2022-05-25 20:00:00, 48.040062, -51.167700, 2022, 145, 20, 0, 2022, 145, 20, 0, 3.7, 6, 15.24, 22, 2, 47, -34.0, 59234021959234030FBFAB6DE10BAF06CE5000
2022-05-25 19:00:00, 48.039030, -51.166840, 2022, 145, 19, 0, 2022, 145, 19, 0, 3.6, 7, 15.24, 22, 2, 47, -34.0, 59233021859233030FBE2B6DE60BAF07CE5000
2022-05-25 18:00:00, 48.038084, -51.164862, 2022, 145, 18, 0, 2022, 145, 18, 0, 3.6, 7, 15.24, 22, 3, 47, -34.0, 59232021859232030FBCCB6DF18BEF07CE5000
2022-05-25 17:00:00, 48.037826, -51.162712, 2022, 145, 17, 0, 2022, 145, 17, 0, 3.5, 7, 15.24, 22, 2, 46, -34.0, 59231021759231030FBC6B6DFE0BAE07CE5000
2022-05-25 16:00:00, 48.038256, -51.159702, 2022, 145, 16, 0, 2022, 145, 16, 0, 3.5, 7, 15.24, 22, 2, 47, -34.0, 59230021759230030FBD0B6E0F8BAF07CE5000
2022-05-25 15:00:00, 48.038600, -51.155316, 2022, 145, 15, 0, 2022, 145, 15, 0, 3.4, 7, 15.24, 22, 2, 47, -34.0, 5922F02165922F030FBD8B6E290BAF07CE5000
2022-05-25 14:00:00, 48.039546, -51.150070, 2022, 145, 14, 0, 2022, 145, 14, 0, 3.3, 10, 15.24, 22, 3, 47, -34.0, 5922E02155922E030FBEEB6E478BEF0ACE5000
2022-05-25 13:00:00, 48.041008, -51.145254, 2022, 145, 13, 0, 2022, 145, 13, 0, 3.3, 7, 15.24, 24, 2, 47, -34.0, 5922D02155922D030FC10B6E638CAF07CE5000
2022-05-25 12:00:00, 48.043330, -51.141986, 2022, 145, 12, 0, 2022, 145, 12, 0, 3.3, 7, 15.24, 22, 2, 48, -34.0, 5922C02155922C030FC46B6E768BB007CE5000
2022-05-25 11:00:00, 48.046082, -51.140180, 2022, 145, 11, 0, 2022, 145, 11, 0, 3.2, 10, 15.24, 22, 2, 47, -34.0, 5922B02145922B030FC86B6E810BAF0ACE5000
2022-05-25 10:00:00, 48.048748, -51.139406, 2022, 145, 10, 0, 2022, 145, 10, 0, 3.2, 7, 15.24, 22, 2, 47, -34.0, 5922A02145922A030FCC4B6E858BAF07CE5000
2022-05-25 09:00:00, 48.051070, -51.138890, 2022, 145, 9, 0, 2022, 145, 9, 0, 3.2, 7, 15.24, 22, 3, 47, -34.0, 59229021459229030FCFAB6E888BEF07CE5000
2022-05-25 08:00:00, 48.053564, -51.139664, 2022, 145, 8, 0, 2022, 145, 8, 0, 3.2, 6, 15.24, 22, 2, 48, -34.0, 59228021459228030FD34B6E840BB006CE5000
2022-05-25 07:00:00, 48.055972, -51.140352, 2022, 145, 7, 0, 2022, 145, 7, 0, 3.2, 7, 15.24, 22, 2, 49, -34.0, 59227021459227030FD6CB6E800BB107CE5000
2022-05-25 06:00:00, 48.057606, -51.139406, 2022, 145, 6, 0, 2022, 145, 6, 0, 3.2, 7, 15.24, 22, 3, 49, -34.0, 59226021459226030FD92B6E858BF107CE5000
2022-05-25 05:00:00, 48.059498, -51.136998, 2022, 145, 5, 0, 2022, 145, 5, 0, 3.2, 10, 15.24, 22, 2, 47, -34.0, 59225021459225030FDBEB6E938BAF0ACE5000
2022-05-25 04:00:00, 48.060616, -51.132956, 2022, 145, 4, 0, 2022, 145, 4, 0, 3.2, 7, 15.24, 22, 2, 48, -34.0, 59224021459224030FDD8B6EAB0BB007CE5000
2022-05-25 03:00:00, 48.062852, -51.129860, 2022, 145, 3, 0, 2022, 145, 3, 0, 3.2, 7, 15.24, 22, 3, 46, -34.0, 59223021459223030FE0CB6EBD0BEE07CE5000
2022-05-25 02:00:00, 48.065432, -51.126850, 2022, 145, 2, 0, 2022, 145, 2, 0, 3.2, 7, 15.24, 26, 3, 47, -34.0, 59222021459222030FE48B6ECE8DEF07CE5000
2022-05-25 01:00:00, 48.067238, -51.125388, 2022, 145, 1, 0, 2022, 145, 1, 0, 3.2, 7, 15.24, 22, 2, 46, -34.0, 59221021459221030FE72B6ED70BAE07CE5000
2022-05-25 00:00:00, 48.067582, -51.123410, 2022, 145, 0, 0, 2022, 145, 0, 0, 3.2, 9, 15.32, 22, 2, 46, -34.0, 59220021459220030FE7AB6EE28BAE09D05000
2022-05-24 23:00:00, 48.066636, -51.121346, 2022, 144, 23, 0, 2022, 144, 23, 0, 3.2, 6, 15.24, 22, 2, 46, -34.0, 59217021459217030FE64B6EEE8BAE06CE5000
2022-05-24 22:00:00, 48.065518, -51.117476, 2022, 144, 22, 0, 2022, 144, 22, 0, 3.2, 7, 15.24, 22, 2, 47, -34.0, 59216021459216030FE4AB6F050BAF07CE5000
2022-05-24 21:00:00, 48.064228, -51.112488, 2022, 144, 21, 0, 2022, 144, 21, 0, 3.2, 8, 15.32, 32, 2, 46, -34.0, 59215021459215030FE2CB6F2210AE08D05000
